,counter_hero,disadv,certain_win,num_match
0,Viper,3.75%,51.06%,"68,481"
1,Anti-Mage,3.71%,49.86%,"73,459"
2,Ancient Apparition,3.47%,45.41%,"62,428"
3,Sniper,3.28%,50.35%,"99,936"
4,Pugna,3.04%,52.25%,"29,428"
5,Drow Ranger,2.89%,47.87%,"77,822"
6,Medusa,2.85%,47.93%,"61,690"
7,Death Prophet,2.82%,54.38%,"19,473"
8,Skywrath Mage,2.82%,49.66%,"53,630"
9,Silencer,2.67%,47.28%,"63,511"
10,Chen,2.15%,56.64%,"3,519"
11,Pudge,2.10%,51.13%,"162,690"
12,Grimstroke,2.09%,51.29%,"52,173"
13,Shadow Fiend,1.95%,53.42%,"89,189"
14,Visage,1.94%,50.46%,"5,747"
15,Dazzle,1.81%,48.23%,"57,412"
16,Oracle,1.79%,54.22%,"19,162"
17,Terrorblade,1.71%,53.73%,"29,872"
18,Arc Warden,1.66%,48.58%,"20,555"
19,Nature's Prophet,1.64%,59.53%,"37,625"
20,Doom,1.61%,55.59%,"34,676"
21,Shadow Demon,1.56%,54.05%,"16,772"
22,Lina,1.55%,54.58%,"81,190"
23,Leshrac,1.43%,54.51%,"26,697"
24,Beastmaster,1.37%,58.51%,"5,765"
25,Crystal Maiden,1.22%,51.66%,"72,461"
26,Techies,1.22%,53.39%,"59,260"
27,Luna,1.14%,49.64%,"71,039"
28,Undying,1.09%,51.94%,"33,563"
29,Lich,1.06%,53.06%,"43,652"
30,Dark Willow,1.01%,51.53%,"41,862"
31,Snapfire,0.99%,56.00%,"44,625"
32,Gyrocopter,0.93%,53.81%,"34,084"
33,Underlord,0.91%,46.96%,"30,535"
34,Batrider,0.91%,58.48%,"8,774"
35,Warlock,0.89%,50.61%,"34,587"
36,Disruptor,0.89%,52.50%,"42,960"
37,Sven,0.88%,55.17%,"39,660"
38,Dark Seer,0.80%,46.96%,"19,455"
39,Enchantress,0.80%,57.05%,"24,389"
40,Zeus,0.77%,50.66%,"71,974"
41,Tinker,0.73%,52.51%,"44,676"
42,Hoodwink,0.71%,51.39%,"64,991"
43,Enigma,0.68%,48.44%,"27,885"
44,Faceless Void,0.66%,53.25%,"76,615"
45,Queen of Pain,0.51%,55.74%,"48,432"
46,Venomancer,0.41%,52.53%,"44,137"
47,Lone Druid,0.38%,57.60%,"8,492"
48,Invoker,0.38%,53.41%,"108,800"
49,Pangolier,0.33%,55.59%,"23,857"
50,Shadow Shaman,0.31%,51.27%,"83,724"
51,Clinkz,0.29%,50.27%,"31,808"
52,Morphling,0.27%,54.12%,"53,661"
53,Ogre Magi,0.17%,50.20%,"113,908"
54,Witch Doctor,0.12%,54.03%,"81,952"
55,Lion,0.11%,53.51%,"143,280"
56,Bane,0.10%,54.69%,"12,074"
57,Dawnbreaker,0.07%,53.40%,"37,677"
58,Io,0.07%,58.68%,"11,830"
59,Jakiro,0.06%,51.68%,"45,539"
60,Phoenix,0.05%,56.62%,"25,438"
61,Keeper of the Light,0.03%,55.93%,"23,487"
62,Templar Assassin,0.00%,54.22%,"50,307"
63,Storm Spirit,-0.01%,56.31%,"53,389"
64,Slardar,-0.04%,52.92%,"47,535"
65,Troll Warlord,-0.05%,54.97%,"32,733"
66,Sand King,-0.05%,49.94%,"54,125"
67,Weaver,-0.06%,54.46%,"41,911"
68,Nyx Assassin,-0.08%,50.99%,"38,549"
69,Phantom Assassin,-0.09%,56.23%,"96,442"
70,Earthshaker,-0.15%,55.72%,"57,337"
71,Windranger,-0.19%,52.44%,"104,056"
72,Vengeful Spirit,-0.19%,53.04%,"32,196"
73,Mars,-0.25%,56.26%,"56,388"
74,Riki,-0.29%,50.40%,"50,613"
75,Alchemist,-0.33%,57.49%,"23,041"
76,Lycan,-0.35%,58.91%,"6,128"
77,Centaur Warrunner,-0.40%,51.89%,"47,969"
78,Wraith King,-0.41%,50.31%,"86,674"
79,Chaos Knight,-0.41%,50.47%,"44,830"
80,Monkey King,-0.45%,56.71%,"53,969"
81,Elder Titan,-0.47%,52.22%,"11,644"
82,Timbersaw,-0.52%,56.12%,"48,927"
83,Tidehunter,-0.58%,53.96%,"43,141"
84,Night Stalker,-0.63%,53.32%,"19,466"
85,Juggernaut,-0.63%,52.92%,"119,319"
86,Brewmaster,-0.67%,53.67%,"7,774"
87,Outworld Destroyer,-0.67%,53.82%,"38,019"
88,Kunkka,-0.68%,54.83%,"44,921"
89,Ursa,-0.68%,53.81%,"65,584"
90,Earth Spirit,-0.70%,57.01%,"21,187"
91,Legion Commander,-0.76%,54.04%,"84,199"
92,Treant Protector,-0.77%,51.54%,"39,229"
93,Clockwerk,-0.79%,54.80%,"30,562"
94,Mirana,-0.82%,52.48%,"80,264"
95,Puck,-1.03%,55.24%,"57,996"
96,Bloodseeker,-1.06%,52.75%,"36,498"
97,Abaddon,-1.06%,51.34%,"32,440"
98,Magnus,-1.06%,56.38%,"41,011"
99,Bristleback,-1.09%,52.56%,"111,347"
100,Tusk,-1.15%,58.86%,"29,899"
101,Lifestealer,-1.17%,53.48%,"54,850"
102,Rubick,-1.27%,59.22%,"74,487"
103,Ember Spirit,-1.41%,58.67%,"43,246"
104,Bounty Hunter,-1.49%,54.90%,"52,916"
105,Axe,-1.72%,53.06%,"104,823"
106,Void Spirit,-1.74%,57.60%,"31,348"
107,Razor,-1.86%,54.82%,"30,023"
108,Dragon Knight,-1.86%,53.91%,"64,770"
109,Winter Wyvern,-1.92%,52.09%,"61,302"
110,Tiny,-2.12%,61.44%,"40,925"
111,Broodmother,-2.52%,55.21%,"14,331"
112,Spirit Breaker,-2.59%,55.17%,"56,563"
113,Phantom Lancer,-2.63%,54.92%,"55,958"
114,Slark,-3.78%,56.34%,"81,134"
115,Meepo,-3.79%,51.98%,"14,361"
116,Omniknight,-3.90%,54.45%,"16,504"
117,Spectre,-3.99%,53.62%,"79,902"
118,Naga Siren,-4.64%,56.26%,"14,356"
119,Huskar,-6.15%,57.76%,"53,225"
