,counter_hero,disadv,certain_win,num_match
0,Naga Siren,5.97%,42.85%,"6,647"
1,Meepo,4.44%,41.14%,"6,006"
2,Terrorblade,2.80%,49.90%,"14,494"
3,Broodmother,2.73%,47.20%,"6,687"
4,Troll Warlord,2.61%,49.55%,"14,340"
5,Huskar,2.57%,46.42%,"18,034"
6,Bloodseeker,2.36%,46.71%,"16,950"
7,Chaos Knight,2.18%,45.35%,"20,261"
8,Wraith King,2.14%,45.33%,"38,882"
9,Ogre Magi,2.06%,45.84%,"45,887"
10,Templar Assassin,1.88%,49.65%,"24,081"
11,Luna,1.84%,46.39%,"32,741"
12,Phoenix,1.67%,52.18%,"12,877"
13,Spirit Breaker,1.64%,48.30%,"22,576"
14,Spectre,1.60%,45.66%,"34,504"
15,Dark Willow,1.43%,48.46%,"19,735"
16,Bane,1.36%,50.65%,"5,956"
17,Razor,1.33%,48.92%,"15,421"
18,Phantom Lancer,1.31%,48.38%,"25,944"
19,Gyrocopter,1.24%,50.74%,"15,691"
20,Dragon Knight,1.24%,48.22%,"28,934"
21,Bounty Hunter,1.15%,49.58%,"22,642"
22,Enchantress,1.13%,53.82%,"10,108"
23,Treant Protector,1.12%,47.06%,"16,545"
24,Alchemist,1.12%,53.14%,"9,521"
25,Techies,1.10%,50.77%,"23,850"
26,Venomancer,1.07%,49.20%,"20,600"
27,Lycan,1.06%,54.54%,"2,763"
28,Beastmaster,0.99%,55.95%,"2,724"
29,Viper,0.95%,51.04%,"29,688"
30,Windranger,0.90%,48.75%,"45,109"
31,Sven,0.90%,52.33%,"17,314"
32,Arc Warden,0.85%,46.84%,"9,085"
33,Necrophos,0.77%,46.67%,"19,465"
34,Tiny,0.76%,55.62%,"19,045"
35,Winter Wyvern,0.74%,46.91%,"28,356"
36,Lone Druid,0.66%,54.40%,"3,829"
37,Mirana,0.65%,48.42%,"34,793"
38,Medusa,0.64%,47.51%,"27,258"
39,Invoker,0.59%,50.50%,"49,604"
40,Slardar,0.58%,49.63%,"22,557"
41,Visage,0.57%,49.21%,"2,668"
42,Sniper,0.56%,50.23%,"42,784"
43,Dark Seer,0.54%,44.76%,"9,324"
44,Bristleback,0.52%,48.37%,"41,656"
45,Lich,0.43%,50.96%,"20,491"
46,Shadow Demon,0.40%,52.45%,"8,071"
47,Shadow Fiend,0.38%,52.15%,"38,028"
48,Weaver,0.25%,51.40%,"17,610"
49,Sand King,0.25%,47.08%,"26,224"
50,Omniknight,0.22%,47.61%,"6,750"
51,Vengeful Spirit,0.18%,49.97%,"13,727"
52,Enigma,0.16%,46.43%,"12,628"
53,Centaur Warrunner,0.14%,48.72%,"21,780"
54,Batrider,0.13%,56.34%,"4,327"
55,Phantom Assassin,0.12%,53.22%,"40,765"
56,Abaddon,0.12%,47.57%,"14,215"
57,Undying,0.09%,50.25%,"13,760"
58,Keeper of the Light,0.08%,53.05%,"10,870"
59,Clinkz,0.08%,47.89%,"13,220"
60,Warlock,0.07%,48.81%,"15,696"
61,Lina,0.06%,53.21%,"37,469"
62,Crystal Maiden,0.05%,50.11%,"32,793"
63,Dawnbreaker,0.04%,50.72%,"16,969"
64,Kunkka,0.01%,51.39%,"19,937"
65,Io,-0.01%,55.81%,"5,017"
66,Underlord,-0.03%,45.42%,"14,829"
67,Leshrac,-0.04%,53.19%,"13,344"
68,Magnus,-0.09%,52.62%,"20,490"
69,Morphling,-0.12%,51.74%,"21,594"
70,Elder Titan,-0.12%,49.22%,"5,480"
71,Lion,-0.14%,51.03%,"68,479"
72,Disruptor,-0.14%,50.83%,"21,593"
73,Shadow Shaman,-0.21%,49.13%,"39,328"
74,Zeus,-0.22%,48.99%,"31,127"
75,Faceless Void,-0.23%,51.38%,"35,849"
76,Jakiro,-0.26%,49.35%,"20,969"
77,Earth Spirit,-0.30%,53.76%,"9,523"
78,Tusk,-0.31%,55.13%,"13,741"
79,Pudge,-0.41%,50.67%,"67,501"
80,Witch Doctor,-0.42%,51.80%,"35,581"
81,Death Prophet,-0.43%,54.82%,"9,336"
82,Legion Commander,-0.47%,51.04%,"37,087"
83,Chen,-0.49%,56.42%,"1,535"
84,Brewmaster,-0.50%,50.79%,"3,981"
85,Pugna,-0.58%,53.10%,"12,630"
86,Outworld Destroyer,-0.62%,51.05%,"18,181"
87,Riki,-0.62%,48.13%,"21,974"
88,Clockwerk,-0.63%,51.88%,"14,696"
89,Snapfire,-0.66%,54.77%,"21,477"
90,Ember Spirit,-0.71%,55.09%,"20,314"
91,Axe,-0.73%,49.48%,"45,517"
92,Rubick,-0.74%,55.79%,"34,859"
93,Skywrath Mage,-0.78%,50.54%,"26,385"
94,Nature's Prophet,-0.78%,58.90%,"15,426"
95,Tidehunter,-0.79%,51.44%,"21,359"
96,Silencer,-0.83%,48.13%,"27,211"
97,Hoodwink,-0.84%,50.24%,"31,825"
98,Dazzle,-0.90%,48.32%,"25,227"
99,Grimstroke,-1.00%,51.63%,"26,399"
100,Queen of Pain,-1.05%,54.44%,"21,681"
101,Doom,-1.11%,55.45%,"18,363"
102,Anti-Mage,-1.18%,51.88%,"31,170"
103,Oracle,-1.32%,54.57%,"10,543"
104,Monkey King,-1.34%,54.74%,"24,885"
105,Ancient Apparition,-1.37%,47.60%,"35,212"
106,Tinker,-1.37%,51.88%,"19,120"
107,Pangolier,-1.37%,54.50%,"12,692"
108,Ursa,-1.37%,51.77%,"30,353"
109,Slark,-1.44%,51.37%,"34,363"
110,Drow Ranger,-1.44%,49.44%,"31,284"
111,Lifestealer,-1.50%,51.11%,"24,828"
112,Earthshaker,-1.57%,54.29%,"26,268"
113,Timbersaw,-1.57%,54.33%,"20,936"
114,Mars,-1.58%,54.72%,"29,158"
115,Nyx Assassin,-1.63%,49.90%,"18,416"
116,Void Spirit,-2.20%,55.21%,"14,805"
117,Storm Spirit,-2.32%,55.73%,"23,133"
118,Juggernaut,-2.61%,52.06%,"53,618"
119,Puck,-3.48%,54.84%,"28,836"
