,counter_hero,disadv,certain_win,num_match
0,Lone Druid,2.79%,54.13%,"7,124"
1,Beastmaster,2.72%,56.15%,"5,373"
2,Chen,2.15%,55.64%,"2,924"
3,Lifestealer,2.03%,49.41%,"52,385"
4,Templar Assassin,1.97%,51.36%,"51,992"
5,Juggernaut,1.91%,49.65%,"109,916"
6,Slardar,1.81%,50.17%,"45,507"
7,Clinkz,1.79%,47.85%,"26,874"
8,Riki,1.70%,47.51%,"44,948"
9,Night Stalker,1.63%,50.10%,"18,416"
10,Legion Commander,1.61%,50.82%,"71,061"
11,Visage,1.43%,50.07%,"5,458"
12,Broodmother,1.41%,50.25%,"13,768"
13,Kunkka,1.37%,51.85%,"39,534"
14,Venomancer,1.31%,50.71%,"40,778"
15,Omniknight,1.20%,48.31%,"13,009"
16,Shadow Shaman,1.17%,49.54%,"75,767"
17,Lycan,1.12%,56.40%,"5,126"
18,Faceless Void,1.11%,51.89%,"70,870"
19,Drow Ranger,1.07%,48.72%,"61,247"
20,Lion,1.07%,51.73%,"140,390"
21,Monkey King,1.02%,54.31%,"48,738"
22,Ogre Magi,0.97%,48.54%,"95,964"
23,Sven,0.96%,54.11%,"32,081"
24,Vengeful Spirit,0.92%,50.98%,"27,307"
25,Dragon Knight,0.91%,50.26%,"56,352"
26,Magnus,0.91%,53.49%,"43,583"
27,Keeper of the Light,0.88%,54.11%,"21,282"
28,Rubick,0.88%,56.17%,"71,938"
29,Zeus,0.82%,49.69%,"62,557"
30,Huskar,0.82%,49.84%,"34,361"
31,Axe,0.78%,49.77%,"87,004"
32,Bloodseeker,0.77%,49.99%,"29,141"
33,Bane,0.73%,53.11%,"11,346"
34,Io,0.72%,57.01%,"9,981"
35,Ember Spirit,0.67%,55.66%,"42,330"
36,Shadow Fiend,0.63%,53.74%,"76,104"
37,Meepo,0.58%,46.63%,"11,593"
38,Ursa,0.56%,51.68%,"61,536"
39,Disruptor,0.55%,51.93%,"41,109"
40,Jakiro,0.54%,50.29%,"41,417"
41,Grimstroke,0.54%,51.91%,"52,598"
42,Slark,0.54%,51.24%,"71,148"
43,Tiny,0.53%,57.84%,"40,747"
44,Tidehunter,0.52%,51.94%,"39,779"
45,Pangolier,0.50%,54.53%,"27,136"
46,Underlord,0.49%,46.50%,"27,821"
47,Tusk,0.47%,56.27%,"27,715"
48,Bounty Hunter,0.45%,52.05%,"52,253"
49,Nature's Prophet,0.44%,59.70%,"29,903"
50,Sand King,0.44%,48.55%,"51,278"
51,Arc Warden,0.44%,48.92%,"18,401"
