,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,4.17%,47.89%,"154,768"
1,Naga Siren,2.91%,48.21%,"35,742"
2,Chaos Knight,2.55%,48.91%,"118,783"
3,Nature's Prophet,2.43%,59.52%,"100,710"
4,Meepo,2.25%,47.09%,"38,593"
5,Anti-Mage,2.16%,50.73%,"212,897"
6,Broodmother,1.89%,51.88%,"31,573"
7,Tidehunter,1.57%,51.74%,"135,422"
8,Oracle,1.56%,54.61%,"53,161"
9,Techies,1.56%,53.20%,"168,865"
10,Doom,1.40%,57.11%,"76,907"
11,Tusk,1.35%,57.04%,"78,530"
12,Tinker,1.26%,53.99%,"156,987"
13,Shadow Demon,1.23%,54.04%,"46,037"
14,Viper,1.21%,54.29%,"174,681"
15,Rubick,1.21%,57.68%,"207,992"
16,Chen,1.20%,54.46%,"12,299"
17,Puck,1.16%,54.61%,"122,799"
18,Warlock,1.15%,50.94%,"72,901"
19,Storm Spirit,1.12%,54.48%,"137,660"
20,Huskar,1.08%,50.09%,"113,869"
21,Alchemist,1.08%,56.57%,"55,627"
22,Slark,1.07%,49.82%,"268,163"
23,Legion Commander,1.07%,51.23%,"232,176"
24,Enigma,1.07%,48.07%,"93,035"
25,Pudge,1.05%,51.67%,"472,083"
26,Abaddon,1.03%,49.02%,"95,805"
27,Dark Willow,0.99%,52.14%,"124,756"
28,Invoker,0.98%,53.73%,"318,730"
29,Magnus,0.97%,54.23%,"120,776"
30,Io,0.96%,55.80%,"31,064"
31,Lone Druid,0.95%,55.64%,"21,949"
32,Death Prophet,0.94%,57.49%,"40,976"
33,Witch Doctor,0.94%,53.47%,"227,446"
34,Sand King,0.88%,49.16%,"165,747"
35,Phoenix,0.86%,55.90%,"56,570"
36,Lich,0.84%,53.06%,"130,084"
37,Lifestealer,0.84%,52.48%,"137,328"
38,Beastmaster,0.83%,53.23%,"26,867"
39,Brewmaster,0.82%,51.68%,"27,202"
40,Snapfire,0.81%,56.90%,"85,252"
41,Terrorblade,0.80%,56.56%,"63,990"
42,Juggernaut,0.77%,51.74%,"300,614"
43,Ember Spirit,0.75%,57.25%,"105,198"
