,counter_hero,disadv,certain_win,num_match
0,Necrophos,4.16%,45.55%,"16,504"
1,Outworld Destroyer,3.67%,48.99%,"13,430"
2,Pugna,2.84%,51.84%,"9,587"
3,Ancient Apparition,2.62%,45.96%,"24,093"
4,Underlord,2.34%,45.27%,"10,293"
5,Dark Seer,2.23%,45.25%,"7,056"
6,Beastmaster,2.10%,56.91%,"2,119"
7,Sand King,2.02%,47.53%,"18,633"
8,Timbersaw,2.00%,52.97%,"16,380"
9,Huskar,1.85%,49.28%,"14,376"
10,Grimstroke,1.81%,51.05%,"18,853"
11,Lich,1.81%,51.74%,"15,194"
12,Undying,1.74%,50.75%,"11,140"
13,Doom,1.73%,54.76%,"12,873"
14,Morphling,1.72%,52.09%,"17,660"
15,Shadow Fiend,1.67%,53.06%,"29,608"
16,Crystal Maiden,1.63%,50.75%,"24,935"
17,Weaver,1.59%,52.22%,"14,493"
18,Bloodseeker,1.57%,49.65%,"12,885"
19,Pangolier,1.57%,53.69%,"8,620"
20,Enigma,1.50%,47.28%,"9,914"
21,Anti-Mage,1.43%,51.53%,"23,318"
22,Earthshaker,1.37%,53.58%,"19,422"
23,Tinker,1.36%,51.35%,"14,712"
24,Razor,1.33%,51.07%,"10,649"
25,Rubick,1.33%,55.93%,"24,664"
26,Keeper of the Light,1.32%,53.94%,"8,017"
27,Snapfire,1.15%,55.12%,"15,464"
28,Shadow Demon,1.13%,53.84%,"6,111"
29,Io,1.09%,56.81%,"4,119"
30,Sniper,1.06%,51.90%,"34,891"
31,Nature's Prophet,1.05%,59.17%,"12,932"
32,Brewmaster,1.00%,51.42%,"2,952"
33,Lina,0.98%,54.46%,"27,335"
34,Enchantress,0.98%,56.08%,"8,237"
35,Techies,0.87%,53.12%,"20,945"
36,Faceless Void,0.86%,52.49%,"27,647"
37,Phantom Lancer,0.81%,51.01%,"19,094"
38,Terrorblade,0.71%,54.09%,"10,270"
39,Death Prophet,0.70%,55.79%,"6,949"
40,Drow Ranger,0.70%,49.58%,"26,757"
41,Windranger,0.68%,51.10%,"33,271"
42,Luna,0.65%,49.70%,"25,731"
43,Leshrac,0.60%,54.67%,"9,683"
44,Viper,0.54%,53.56%,"23,885"
45,Medusa,0.51%,49.80%,"21,012"
46,Silencer,0.44%,49.07%,"22,103"
47,Dark Willow,0.37%,51.64%,"14,683"
48,Meepo,0.37%,47.40%,"4,869"
49,Disruptor,0.35%,52.48%,"15,137"
50,Ogre Magi,0.34%,49.61%,"38,082"
51,Kunkka,0.34%,53.19%,"14,227"
52,Monkey King,0.28%,55.28%,"18,706"
53,Elder Titan,0.23%,51.02%,"4,328"
54,Invoker,0.13%,53.06%,"37,127"
55,Tiny,0.12%,58.33%,"13,025"
56,Treant Protector,0.03%,50.29%,"12,821"
57,Visage,0.00%,51.93%,"2,068"
58,Dawnbreaker,-0.02%,52.91%,"13,113"
59,Venomancer,-0.11%,52.49%,"16,426"
60,Witch Doctor,-0.16%,53.68%,"28,427"
61,Bristleback,-0.17%,51.17%,"30,373"
62,Riki,-0.19%,49.88%,"16,581"
63,Skywrath Mage,-0.19%,52.11%,"18,922"
64,Gyrocopter,-0.22%,54.31%,"12,073"
65,Night Stalker,-0.24%,52.39%,"6,750"
66,Broodmother,-0.26%,52.34%,"4,710"
67,Lycan,-0.27%,57.99%,"2,209"
68,Mars,-0.33%,55.63%,"19,039"
69,Queen of Pain,-0.34%,55.85%,"16,502"
70,Zeus,-0.37%,51.27%,"23,792"
71,Sven,-0.38%,55.70%,"13,960"
72,Centaur Warrunner,-0.39%,51.38%,"15,075"
73,Dazzle,-0.43%,50.02%,"20,188"
74,Winter Wyvern,-0.45%,50.21%,"20,643"
75,Clockwerk,-0.54%,53.92%,"10,158"
76,Lion,-0.56%,53.53%,"51,336"
77,Alchemist,-0.56%,56.92%,"7,310"
78,Storm Spirit,-0.60%,56.16%,"17,214"
79,Ursa,-0.60%,53.16%,"22,086"
80,Arc Warden,-0.61%,50.45%,"7,060"
81,Juggernaut,-0.64%,52.39%,"39,834"
82,Troll Warlord,-0.67%,54.92%,"11,160"
83,Magnus,-0.68%,55.32%,"14,200"
84,Warlock,-0.75%,51.76%,"12,103"
85,Bane,-0.76%,54.91%,"4,518"
86,Jakiro,-0.81%,52.04%,"16,188"
87,Hoodwink,-0.82%,52.36%,"22,532"
88,Dragon Knight,-0.94%,52.46%,"19,841"
89,Naga Siren,-0.94%,51.94%,"5,040"
90,Lifestealer,-0.95%,52.72%,"17,799"
91,Tusk,-1.02%,57.92%,"9,736"
92,Spirit Breaker,-1.02%,53.04%,"18,078"
93,Phoenix,-1.03%,56.97%,"9,230"
94,Oracle,-1.06%,56.41%,"7,279"
95,Mirana,-1.07%,52.20%,"26,637"
96,Templar Assassin,-1.12%,54.70%,"16,451"
97,Vengeful Spirit,-1.13%,53.40%,"11,258"
98,Axe,-1.14%,52.00%,"32,683"
99,Wraith King,-1.23%,50.66%,"27,761"
100,Chen,-1.23%,59.28%,"1,326"
101,Chaos Knight,-1.27%,50.88%,"15,438"
102,Nyx Assassin,-1.28%,51.71%,"13,008"
103,Pudge,-1.29%,53.57%,"53,076"
104,Earth Spirit,-1.30%,56.88%,"7,170"
105,Slardar,-1.31%,53.60%,"16,494"
106,Slark,-1.33%,53.40%,"27,519"
107,Bounty Hunter,-1.40%,54.20%,"17,167"
108,Batrider,-1.43%,59.99%,"3,187"
109,Puck,-1.45%,55.01%,"19,138"
110,Abaddon,-1.56%,51.39%,"10,808"
111,Void Spirit,-1.63%,56.75%,"10,493"
112,Phantom Assassin,-1.64%,56.97%,"31,813"
113,Shadow Shaman,-1.71%,52.69%,"29,012"
114,Clinkz,-1.74%,51.84%,"10,445"
115,Ember Spirit,-2.02%,58.47%,"14,277"
116,Tidehunter,-2.34%,55.09%,"14,931"
117,Spectre,-2.46%,51.68%,"23,782"
118,Legion Commander,-3.10%,55.65%,"27,296"
119,Lone Druid,-3.34%,60.53%,"3,071"
