,counter_hero,disadv,certain_win,num_match
0,Razor,3.32%,43.70%,"13,587"
1,Chen,2.85%,49.81%,"1,875"
2,Shadow Demon,2.73%,46.86%,"8,897"
3,Outworld Destroyer,2.64%,44.60%,"18,408"
4,Templar Assassin,2.64%,45.67%,"28,488"
5,Death Prophet,2.59%,48.55%,"8,750"
6,Lycan,2.59%,49.76%,"2,894"
7,Bristleback,2.55%,43.21%,"41,890"
8,Alchemist,2.48%,48.54%,"9,306"
9,Naga Siren,2.24%,43.34%,"6,809"
10,Io,2.21%,50.35%,"6,143"
11,Lone Druid,2.12%,49.69%,"3,892"
12,Chaos Knight,2.06%,42.22%,"19,852"
13,Meepo,1.80%,40.50%,"7,592"
14,Riki,1.67%,42.65%,"22,673"
15,Anti-Mage,1.65%,45.93%,"36,013"
16,Tusk,1.62%,49.97%,"14,828"
17,Vengeful Spirit,1.59%,45.33%,"14,936"
18,Beastmaster,1.57%,52.12%,"2,836"
19,Broodmother,1.56%,45.10%,"8,583"
20,Enchantress,1.56%,50.15%,"11,330"
21,Lina,1.41%,48.69%,"40,556"
22,Kunkka,1.33%,46.85%,"19,931"
23,Night Stalker,1.31%,45.43%,"10,543"
24,Weaver,1.28%,47.14%,"17,665"
25,Undying,1.23%,45.87%,"14,185"
26,Medusa,1.15%,43.77%,"27,875"
27,Monkey King,1.07%,49.16%,"25,728"
28,Omniknight,0.99%,43.59%,"7,280"
29,Lifestealer,0.97%,45.47%,"24,821"
30,Tiny,0.94%,52.20%,"20,811"
31,Sven,0.94%,49.06%,"15,893"
32,Huskar,0.93%,44.78%,"18,141"
33,Enigma,0.93%,42.41%,"13,627"
34,Nature's Prophet,0.92%,54.00%,"15,517"
35,Drow Ranger,0.89%,43.97%,"34,237"
36,Shadow Fiend,0.88%,48.43%,"46,910"
37,Phantom Lancer,0.88%,45.55%,"27,222"
38,Terrorblade,0.87%,48.56%,"16,809"
39,Slardar,0.79%,46.17%,"22,036"
40,Elder Titan,0.72%,45.11%,"6,143"
41,Earthshaker,0.64%,48.92%,"25,825"
42,Dragon Knight,0.62%,45.56%,"28,318"
43,Shadow Shaman,0.58%,45.14%,"40,982"
44,Keeper of the Light,0.56%,49.33%,"11,049"
45,Nyx Assassin,0.56%,44.49%,"19,821"
46,Bloodseeker,0.52%,45.28%,"14,071"
47,Luna,0.48%,44.43%,"33,797"
48,Pangolier,0.45%,49.44%,"14,224"
49,Abaddon,0.43%,44.01%,"14,541"
50,Leshrac,0.40%,49.51%,"14,182"
51,Crystal Maiden,0.35%,46.58%,"35,084"
52,Tidehunter,0.35%,47.08%,"21,397"
53,Witch Doctor,0.34%,47.83%,"40,499"
54,Timbersaw,0.33%,49.23%,"23,356"
55,Grimstroke,0.32%,47.09%,"32,670"
56,Magnus,0.27%,49.02%,"22,709"
57,Tinker,0.25%,47.04%,"24,405"
58,Pugna,0.24%,49.05%,"11,955"
59,Viper,0.24%,48.49%,"30,671"
60,Dazzle,0.24%,43.96%,"30,901"
61,Axe,0.12%,45.44%,"52,478"
62,Gyrocopter,0.07%,48.66%,"15,579"
63,Clinkz,0.06%,44.66%,"13,409"
64,Underlord,0.02%,42.12%,"14,761"
65,Bane,0.01%,48.77%,"6,769"
66,Sniper,-0.03%,47.55%,"39,269"
67,Brewmaster,-0.04%,47.07%,"4,370"
68,Doom,-0.07%,51.18%,"19,479"
69,Slark,-0.08%,46.83%,"39,595"
70,Dawnbreaker,-0.09%,47.60%,"19,392"
71,Dark Willow,-0.09%,46.70%,"22,713"
72,Ursa,-0.14%,47.33%,"34,818"
73,Hoodwink,-0.15%,46.33%,"36,705"
74,Visage,-0.30%,46.83%,"3,442"
75,Earth Spirit,-0.33%,50.56%,"12,419"
76,Bounty Hunter,-0.37%,47.82%,"22,589"
77,Treant Protector,-0.41%,45.31%,"18,451"
78,Winter Wyvern,-0.47%,44.81%,"34,637"
79,Pudge,-0.47%,47.48%,"76,763"
80,Troll Warlord,-0.49%,49.38%,"13,237"
81,Juggernaut,-0.49%,46.88%,"52,576"
82,Lion,-0.52%,48.11%,"80,070"
83,Invoker,-0.56%,48.30%,"56,866"
84,Spectre,-0.56%,44.45%,"35,605"
85,Rubick,-0.56%,52.38%,"37,639"
86,Clockwerk,-0.60%,48.61%,"15,398"
87,Ogre Magi,-0.67%,45.13%,"51,194"
88,Mars,-0.69%,50.61%,"32,471"
89,Lich,-0.69%,48.80%,"22,869"
90,Puck,-0.71%,48.93%,"31,957"
91,Centaur Warrunner,-0.74%,46.32%,"21,684"
92,Mirana,-0.80%,46.55%,"38,052"
93,Wraith King,-0.80%,44.85%,"39,421"
94,Snapfire,-0.81%,51.68%,"24,071"
95,Morphling,-0.86%,49.22%,"27,266"
96,Jakiro,-0.89%,46.72%,"22,891"
97,Phantom Assassin,-0.95%,50.99%,"42,911"
98,Phoenix,-1.00%,51.59%,"14,607"
99,Venomancer,-1.00%,47.97%,"22,025"
100,Queen of Pain,-1.01%,51.17%,"22,164"
101,Warlock,-1.01%,46.62%,"18,862"
102,Arc Warden,-1.01%,45.43%,"11,377"
103,Ancient Apparition,-1.06%,44.05%,"42,689"
104,Faceless Void,-1.10%,48.98%,"37,711"
105,Sand King,-1.26%,45.29%,"26,623"
106,Silencer,-1.35%,45.37%,"28,146"
107,Windranger,-1.39%,47.64%,"46,868"
108,Spirit Breaker,-1.45%,48.08%,"23,092"
109,Disruptor,-1.49%,48.89%,"23,833"
110,Void Spirit,-1.53%,51.30%,"17,594"
111,Necrophos,-1.63%,45.78%,"19,161"
112,Storm Spirit,-1.73%,51.90%,"28,452"
113,Batrider,-1.93%,55.19%,"4,744"
114,Techies,-2.18%,50.67%,"32,764"
115,Zeus,-2.18%,47.63%,"28,824"
116,Ember Spirit,-2.36%,53.47%,"21,524"
117,Skywrath Mage,-2.53%,48.99%,"26,544"
118,Legion Commander,-3.06%,50.27%,"35,421"
119,Dark Seer,-3.22%,45.24%,"10,519"
