,counter_hero,disadv,certain_win,num_match
0,Templar Assassin,4.53%,46.60%,"45,999"
1,Broodmother,3.90%,45.51%,"11,084"
2,Puck,3.62%,47.54%,"58,687"
3,Phantom Lancer,3.22%,46.01%,"46,899"
4,Visage,3.10%,46.14%,"4,991"
5,Chaos Knight,2.70%,44.26%,"36,483"
6,Storm Spirit,2.47%,50.69%,"46,987"
7,Huskar,2.41%,46.04%,"36,373"
8,Rubick,2.19%,52.67%,"65,726"
9,Beastmaster,1.99%,54.65%,"4,911"
10,Death Prophet,1.63%,52.42%,"17,592"
11,Sand King,1.56%,45.24%,"47,317"
12,Void Spirit,1.41%,51.25%,"27,522"
13,Shadow Shaman,1.32%,47.18%,"72,830"
14,Lifestealer,1.29%,47.92%,"46,939"
15,Medusa,1.27%,46.37%,"58,240"
16,Wraith King,1.24%,45.61%,"72,095"
17,Naga Siren,1.22%,47.12%,"11,285"
18,Pudge,1.07%,48.91%,"136,970"
19,Nyx Assassin,1.07%,46.71%,"38,743"
20,Enigma,1.01%,45.01%,"22,950"
21,Ogre Magi,1.00%,46.30%,"94,469"
22,Venomancer,0.95%,48.84%,"39,631"
23,Skywrath Mage,0.93%,48.40%,"48,314"
24,Queen of Pain,0.89%,52.19%,"42,965"
25,Lycan,0.82%,54.47%,"4,898"
26,Slardar,0.81%,48.93%,"41,480"
27,Lone Druid,0.78%,53.99%,"7,426"
28,Weaver,0.75%,50.48%,"33,214"
29,Ember Spirit,0.72%,53.37%,"40,241"
30,Necrophos,0.71%,46.18%,"38,020"
31,Magnus,0.69%,51.47%,"38,639"
32,Undying,0.66%,49.22%,"27,133"
33,Dark Willow,0.65%,48.74%,"36,884"
34,Earthshaker,0.65%,51.77%,"50,319"
35,Zeus,0.61%,47.67%,"61,750"
36,Sven,0.60%,52.26%,"33,493"
37,Night Stalker,0.58%,48.95%,"18,181"
38,Warlock,0.54%,47.84%,"29,716"
39,Brewmaster,0.53%,49.29%,"7,091"
40,Shadow Demon,0.53%,51.94%,"15,324"
41,Spirit Breaker,0.53%,48.92%,"45,739"
42,Razor,0.53%,49.26%,"28,409"
43,Tiny,0.51%,55.60%,"36,860"
44,Riki,0.51%,46.48%,"42,424"
45,Silencer,0.48%,46.31%,"55,476"
46,Enchantress,0.43%,54.21%,"19,856"
47,Clinkz,0.40%,47.04%,"26,121"
48,Ursa,0.34%,49.67%,"62,020"
49,Phantom Assassin,0.32%,52.67%,"77,589"
50,Keeper of the Light,0.32%,52.46%,"19,954"
51,Witch Doctor,0.30%,50.69%,"66,604"
52,Doom,0.29%,53.76%,"34,832"
53,Tusk,0.23%,54.28%,"26,511"
54,Pugna,0.22%,51.94%,"25,824"
55,Lina,0.21%,52.71%,"74,726"
56,Bane,0.16%,51.46%,"10,806"
57,Earth Spirit,0.14%,52.98%,"18,688"
58,Sniper,0.12%,50.21%,"88,514"
59,Arc Warden,0.11%,47.05%,"17,598"
