,counter_hero,disadv,certain_win,num_match
0,Clinkz,3.05%,41.75%,"16,162"
1,Bloodseeker,2.66%,43.21%,"26,391"
2,Juggernaut,1.77%,44.88%,"70,359"
3,Techies,1.65%,47.08%,"31,251"
4,Enigma,1.64%,41.75%,"16,640"
5,Queen of Pain,1.60%,48.72%,"28,553"
6,Grimstroke,1.51%,46.03%,"35,026"
7,Drow Ranger,1.50%,43.45%,"39,779"
8,Puck,1.33%,47.05%,"41,857"
9,Night Stalker,1.32%,45.50%,"12,692"
10,Storm Spirit,1.28%,49.10%,"33,596"
11,Hoodwink,1.23%,45.08%,"43,893"
12,Alchemist,1.18%,49.95%,"12,279"
13,Faceless Void,1.17%,46.91%,"48,131"
14,Shadow Fiend,1.14%,48.30%,"49,913"
15,Sven,1.12%,48.98%,"21,289"
16,Riki,1.11%,43.25%,"27,394"
17,Razor,1.10%,45.98%,"17,965"
18,Monkey King,1.10%,49.24%,"30,734"
19,Centaur Warrunner,1.04%,44.65%,"27,604"
20,Weaver,1.01%,47.50%,"22,188"
21,Chen,0.96%,51.86%,"2,281"
22,Beastmaster,0.95%,52.89%,"3,613"
23,Luna,0.92%,44.08%,"44,148"
24,Ember Spirit,0.91%,50.38%,"29,701"
25,Bane,0.83%,48.04%,"7,675"
26,Doom,0.80%,50.45%,"24,260"
27,Dark Willow,0.76%,45.94%,"26,954"
28,Templar Assassin,0.73%,47.62%,"32,601"
29,Huskar,0.71%,45.07%,"21,808"
30,Skywrath Mage,0.71%,45.93%,"30,616"
31,Void Spirit,0.66%,49.24%,"21,891"
32,Zeus,0.66%,44.96%,"37,100"
33,Morphling,0.63%,47.87%,"31,093"
34,Sniper,0.60%,47.04%,"49,341"
35,Shadow Shaman,0.56%,45.23%,"50,738"
36,Tinker,0.53%,46.85%,"26,812"
37,Earthshaker,0.46%,49.19%,"35,344"
38,Lina,0.43%,49.74%,"48,911"
39,Rubick,0.41%,51.58%,"47,784"
40,Windranger,0.40%,46.05%,"59,121"
41,Bounty Hunter,0.39%,47.16%,"28,905"
42,Mirana,0.36%,45.52%,"47,713"
43,Dragon Knight,0.33%,45.91%,"36,540"
44,Nature's Prophet,0.26%,54.80%,"20,027"
45,Gyrocopter,0.25%,48.58%,"20,806"
46,Phoenix,0.20%,50.52%,"17,360"
47,Pugna,0.19%,49.20%,"15,528"
48,Winter Wyvern,0.12%,44.31%,"36,938"
49,Leshrac,0.12%,49.90%,"18,233"
50,Disruptor,0.10%,47.43%,"28,023"
51,Outworld Destroyer,0.07%,47.21%,"22,665"
52,Underlord,0.05%,42.13%,"18,722"
53,Treant Protector,0.02%,44.96%,"21,861"
54,Lion,-0.04%,47.79%,"90,361"
55,Invoker,-0.04%,47.92%,"69,738"
56,Ogre Magi,-0.05%,44.62%,"61,260"
57,Broodmother,-0.13%,46.89%,"9,974"
58,Lifestealer,-0.13%,46.62%,"31,583"
59,Spirit Breaker,-0.13%,46.87%,"30,415"
60,Venomancer,-0.14%,47.21%,"27,265"
61,Silencer,-0.14%,44.27%,"32,368"
62,Death Prophet,-0.16%,51.43%,"10,944"
63,Terrorblade,-0.17%,49.70%,"20,130"
64,Necrophos,-0.17%,44.41%,"23,856"
65,Slark,-0.22%,47.05%,"47,477"
66,Axe,-0.28%,45.88%,"59,129"
67,Batrider,-0.29%,53.69%,"6,446"
68,Lycan,-0.29%,52.80%,"3,602"
69,Keeper of the Light,-0.29%,50.30%,"14,096"
70,Slardar,-0.30%,47.32%,"27,774"
