,counter_hero,disadv,certain_win,num_match
0,Morphling,3.01%,44.68%,"115,119"
1,Timbersaw,1.96%,48.27%,"83,838"
2,Pudge,1.81%,44.45%,"361,938"
3,Phoenix,1.68%,48.32%,"42,709"
4,Tiny,1.61%,51.20%,"76,124"
5,Templar Assassin,1.49%,46.34%,"112,237"
6,Terrorblade,1.48%,49.12%,"54,970"
7,Axe,1.43%,43.58%,"197,122"
8,Tusk,1.35%,50.23%,"60,393"
9,Earth Spirit,1.27%,47.99%,"43,986"
10,Medusa,1.23%,42.74%,"144,386"
11,Troll Warlord,1.10%,46.93%,"75,120"
12,Dragon Knight,1.10%,45.86%,"118,607"
13,Pangolier,1.01%,48.13%,"67,838"
14,Clockwerk,1.01%,46.56%,"54,916"
15,Doom,0.95%,50.83%,"62,189"
16,Pugna,0.90%,49.29%,"61,631"
17,Puck,0.89%,48.25%,"96,186"
18,Magnus,0.88%,47.68%,"87,191"
19,Ogre Magi,0.80%,42.78%,"247,727"
20,Batrider,0.79%,50.70%,"22,740"
21,Tidehunter,0.77%,46.00%,"106,128"
22,Gyrocopter,0.76%,48.22%,"107,521"
23,Queen of Pain,0.71%,48.27%,"115,178"
24,Dawnbreaker,0.71%,46.01%,"82,197"
25,Spirit Breaker,0.62%,45.80%,"136,716"
26,Tinker,0.58%,48.07%,"127,737"
27,Void Spirit,0.56%,46.96%,"79,423"
28,Bounty Hunter,0.56%,47.02%,"132,812"
29,Mirana,0.51%,44.38%,"188,097"
30,Omniknight,0.45%,42.18%,"38,557"
31,Ember Spirit,0.44%,50.84%,"85,077"
32,Oracle,0.41%,49.16%,"42,295"
33,Shadow Fiend,0.39%,48.44%,"211,763"
34,Brewmaster,0.37%,45.64%,"23,045"
35,Treant Protector,0.32%,43.84%,"80,051"
36,Centaur Warrunner,0.27%,44.58%,"78,219"
37,Bane,0.25%,46.05%,"33,728"
38,Snapfire,0.22%,50.76%,"68,800"
39,Lich,0.21%,47.10%,"103,570"
40,Razor,0.21%,47.19%,"64,598"
41,Wraith King,0.19%,43.84%,"164,298"
42,Meepo,0.16%,42.84%,"34,438"
43,Mars,0.14%,49.61%,"100,867"
44,Faceless Void,0.08%,48.23%,"179,457"
45,Weaver,0.06%,47.82%,"104,562"
46,Nyx Assassin,0.05%,44.61%,"77,432"
47,Spectre,0.03%,44.08%,"180,200"
48,Rubick,0.01%,52.12%,"165,083"
49,Luna,-0.06%,43.72%,"213,630"
50,Leshrac,-0.10%,49.75%,"45,958"
51,Lion,-0.16%,48.15%,"333,814"
52,Vengeful Spirit,-0.17%,44.57%,"98,714"
53,Bristleback,-0.20%,46.14%,"197,823"
54,Juggernaut,-0.21%,46.13%,"281,098"
55,Windranger,-0.21%,46.65%,"235,222"
56,Dazzle,-0.22%,43.71%,"130,792"
57,Undying,-0.25%,47.91%,"89,001"
58,Grimstroke,-0.26%,47.45%,"116,917"
59,Naga Siren,-0.27%,45.13%,"30,774"
60,Techies,-0.28%,48.50%,"136,042"
61,Jakiro,-0.29%,44.95%,"105,343"
62,Hoodwink,-0.34%,46.61%,"159,966"
63,Crystal Maiden,-0.35%,47.00%,"162,973"
64,Kunkka,-0.36%,47.63%,"107,632"
65,Witch Doctor,-0.38%,48.16%,"179,514"
66,Earthshaker,-0.40%,48.73%,"134,517"
67,Silencer,-0.42%,42.84%,"169,031"
68,Outworld Destroyer,-0.42%,47.59%,"77,685"
69,Bloodseeker,-0.43%,44.92%,"89,568"
70,Death Prophet,-0.44%,52.20%,"35,116"
71,Slark,-0.50%,44.89%,"231,564"
72,Chaos Knight,-0.50%,45.60%,"101,843"
73,Sand King,-0.52%,44.19%,"128,795"
74,Shadow Demon,-0.63%,49.40%,"37,939"
75,Necrophos,-0.64%,43.98%,"101,722"
76,Dark Willow,-0.65%,47.29%,"98,370"
77,Io,-0.66%,50.87%,"27,656"
78,Viper,-0.71%,49.62%,"152,891"
79,Storm Spirit,-0.73%,49.78%,"114,340"
80,Abaddon,-0.77%,44.49%,"74,770"
81,Monkey King,-0.80%,48.82%,"160,054"
82,Slardar,-0.84%,47.43%,"101,928"
83,Shadow Shaman,-0.90%,46.27%,"191,043"
84,Drow Ranger,-0.97%,46.90%,"188,942"
85,Skywrath Mage,-1.00%,46.00%,"135,722"
86,Enchantress,-1.02%,53.20%,"41,324"
87,Alchemist,-1.03%,52.08%,"47,836"
88,Chen,-1.03%,50.26%,"10,741"
89,Ursa,-1.07%,47.88%,"118,556"
90,Venomancer,-1.08%,46.33%,"102,608"
91,Nature's Prophet,-1.13%,56.54%,"94,941"
92,Beastmaster,-1.20%,48.83%,"21,478"
93,Invoker,-1.24%,49.30%,"265,405"
94,Warlock,-1.24%,46.95%,"60,404"
95,Legion Commander,-1.26%,47.06%,"193,000"
96,Keeper of the Light,-1.34%,50.51%,"97,598"
97,Night Stalker,-1.34%,46.13%,"53,275"
98,Winter Wyvern,-1.34%,45.42%,"124,384"
99,Underlord,-1.40%,43.71%,"58,167"
100,Ancient Apparition,-1.47%,44.53%,"148,218"
101,Lina,-1.50%,51.50%,"208,938"
102,Visage,-1.50%,48.01%,"13,403"
103,Dark Seer,-1.59%,44.02%,"44,683"
104,Sven,-1.62%,47.76%,"116,736"
105,Enigma,-1.75%,44.61%,"78,144"
106,Elder Titan,-1.89%,48.20%,"22,217"
107,Disruptor,-1.89%,47.85%,"100,963"
108,Zeus,-1.92%,46.87%,"169,368"
109,Lycan,-1.98%,47.39%,"36,125"
110,Huskar,-2.05%,46.84%,"102,367"
111,Lifestealer,-2.06%,48.90%,"115,782"
112,Broodmother,-2.12%,49.64%,"28,203"
113,Phantom Lancer,-2.13%,47.94%,"128,240"
114,Arc Warden,-2.29%,46.58%,"48,416"
115,Riki,-2.35%,46.37%,"121,234"
116,Sniper,-2.75%,48.79%,"298,034"
117,Clinkz,-2.78%,46.79%,"101,284"
118,Lone Druid,-3.15%,53.43%,"20,364"
119,Anti-Mage,-3.95%,50.38%,"191,677"
