,counter_hero,disadv,certain_win,num_match
0,Dark Seer,6.40%,38.73%,"25,246"
1,Ember Spirit,6.35%,48.73%,"80,782"
2,Leshrac,5.82%,47.79%,"49,438"
3,Puck,5.52%,46.45%,"74,934"
4,Axe,4.70%,44.54%,"114,632"
5,Sand King,4.67%,42.82%,"71,854"
6,Sven,4.59%,49.27%,"88,179"
7,Timbersaw,4.48%,48.81%,"51,543"
8,Underlord,4.01%,41.35%,"38,573"
9,Crystal Maiden,3.98%,46.62%,"88,780"
10,Meepo,3.92%,41.61%,"17,725"
11,Elder Titan,3.67%,45.58%,"15,203"
12,Earthshaker,3.54%,49.89%,"112,760"
13,Storm Spirit,3.42%,50.64%,"68,157"
14,Centaur Warrunner,3.11%,46.01%,"55,158"
15,Techies,3.05%,49.27%,"71,375"
16,Grimstroke,2.61%,48.46%,"68,987"
17,Magnus,2.56%,50.47%,"53,627"
18,Naga Siren,2.55%,46.49%,"18,644"
19,Necrophos,2.52%,45.08%,"55,957"
20,Pangolier,2.48%,51.16%,"33,568"
21,Io,2.31%,54.14%,"14,357"
22,Kunkka,2.28%,49.57%,"58,681"
23,Alchemist,2.27%,52.56%,"26,674"
24,Tidehunter,2.26%,48.80%,"55,296"
25,Earth Spirit,2.24%,51.74%,"26,221"
26,Legion Commander,2.24%,48.82%,"105,021"
27,Anti-Mage,2.14%,49.07%,"95,174"
28,Dawnbreaker,2.10%,49.04%,"46,374"
29,Keeper of the Light,2.05%,51.59%,"28,928"
30,Tiny,2.05%,55.06%,"50,944"
31,Phoenix,2.04%,52.36%,"32,532"
32,Phantom Assassin,1.72%,52.26%,"127,390"
33,Rubick,1.71%,54.10%,"92,771"
34,Void Spirit,1.70%,51.86%,"38,479"
35,Zeus,1.67%,47.41%,"89,962"
36,Jakiro,1.50%,47.90%,"57,152"
37,Juggernaut,1.48%,48.64%,"168,579"
38,Doom,1.40%,53.61%,"49,579"
39,Snapfire,1.37%,53.38%,"56,149"
40,Monkey King,1.33%,52.70%,"71,569"
41,Enigma,1.29%,45.43%,"33,983"
42,Weaver,1.13%,50.97%,"50,838"
43,Disruptor,1.08%,50.01%,"56,134"
44,Gyrocopter,1.06%,51.41%,"48,593"
45,Medusa,1.03%,47.32%,"108,581"
46,Troll Warlord,0.98%,51.66%,"42,850"
47,Queen of Pain,0.86%,53.15%,"61,708"
48,Nature's Prophet,0.72%,58.30%,"45,457"
49,Lina,0.60%,53.26%,"102,358"
50,Lifestealer,0.54%,49.46%,"68,019"
51,Riki,0.53%,47.20%,"62,796"
52,Bloodseeker,0.41%,48.92%,"46,107"
53,Nyx Assassin,0.38%,48.16%,"51,344"
54,Beastmaster,0.35%,57.44%,"7,706"
55,Treant Protector,0.34%,48.07%,"47,844"
56,Faceless Void,0.32%,51.30%,"105,450"
57,Windranger,0.30%,49.65%,"125,214"
58,Lion,0.28%,51.08%,"187,015"
59,Shadow Fiend,0.27%,52.77%,"108,539"
60,Lich,0.26%,51.57%,"54,712"
61,Sniper,0.21%,50.97%,"124,321"
62,Dazzle,0.05%,47.59%,"75,123"
