,counter_hero,disadv,certain_win,num_match
0,Lina,2.94%,46.62%,"55,591"
1,Broodmother,2.24%,43.77%,"9,842"
2,Juggernaut,1.82%,44.13%,"81,538"
3,Beastmaster,1.81%,51.29%,"3,630"
4,Morphling,1.81%,45.99%,"33,753"
5,Clinkz,1.71%,42.35%,"19,027"
6,Alchemist,1.65%,48.76%,"11,998"
7,Lifestealer,1.43%,44.37%,"38,860"
8,Bloodseeker,1.41%,43.75%,"19,249"
9,Death Prophet,1.32%,49.21%,"11,326"
10,Io,1.27%,50.71%,"7,509"
11,Storm Spirit,1.21%,48.45%,"34,341"
12,Arc Warden,1.20%,42.55%,"14,417"
13,Riki,1.18%,42.46%,"27,277"
14,Ursa,1.05%,45.55%,"52,972"
15,Oracle,0.98%,48.41%,"14,607"
16,Legion Commander,0.96%,45.81%,"50,893"
17,Skywrath Mage,0.93%,44.99%,"32,911"
18,Nature's Prophet,0.90%,53.45%,"20,384"
19,Void Spirit,0.87%,48.32%,"20,318"
20,Omniknight,0.87%,43.04%,"9,228"
21,Weaver,0.86%,46.92%,"24,993"
22,Silencer,0.81%,42.63%,"36,975"
23,Huskar,0.80%,44.25%,"23,857"
24,Slark,0.76%,45.40%,"46,303"
25,Nyx Assassin,0.73%,43.66%,"25,360"
26,Tinker,0.72%,45.95%,"27,495"
27,Jakiro,0.64%,44.57%,"28,741"
28,Medusa,0.64%,43.61%,"35,672"
29,Anti-Mage,0.63%,46.28%,"40,816"
30,Bane,0.57%,47.58%,"8,135"
31,Shadow Shaman,0.54%,44.52%,"50,774"
32,Outworld Destroyer,0.52%,46.05%,"22,971"
33,Snapfire,0.50%,49.77%,"49,432"
34,Disruptor,0.50%,46.32%,"29,027"
35,Bristleback,0.49%,44.50%,"53,554"
36,Queen of Pain,0.49%,49.09%,"28,745"
37,Puck,0.45%,47.18%,"39,320"
38,Sniper,0.41%,46.50%,"55,399"
39,Shadow Fiend,0.37%,48.30%,"56,879"
40,Mirana,0.36%,44.79%,"50,975"
41,Keeper of the Light,0.35%,48.94%,"14,179"
42,Drow Ranger,0.35%,43.84%,"45,477"
43,Luna,0.34%,43.92%,"43,460"
44,Underlord,0.33%,41.12%,"18,787"
45,Viper,0.32%,47.79%,"39,710"
46,Batrider,0.32%,52.34%,"5,759"
47,Timbersaw,0.31%,48.64%,"29,328"
48,Razor,0.30%,46.06%,"17,702"
49,Abaddon,0.29%,43.48%,"19,369"
50,Shadow Demon,0.28%,48.71%,"10,961"
51,Brewmaster,0.25%,46.13%,"5,458"
