,counter_hero,disadv,certain_win,num_match
0,Templar Assassin,3.84%,46.12%,"81,170"
1,Lone Druid,3.74%,49.90%,"10,362"
2,Night Stalker,3.11%,45.16%,"28,835"
3,Alchemist,2.67%,50.19%,"25,857"
4,Luna,1.98%,44.46%,"98,364"
5,Sniper,1.97%,47.31%,"115,375"
6,Huskar,1.82%,45.45%,"48,297"
7,Riki,1.78%,43.96%,"63,793"
8,Sven,1.73%,50.08%,"46,470"
9,Clinkz,1.72%,44.48%,"36,889"
10,Silencer,1.69%,43.86%,"81,689"
11,Chen,1.68%,52.97%,"4,495"
12,Dragon Knight,1.66%,46.10%,"87,703"
13,Underlord,1.61%,41.78%,"42,955"
14,Monkey King,1.48%,50.60%,"70,720"
15,Venomancer,1.48%,47.17%,"60,327"
16,Medusa,1.46%,44.96%,"78,851"
17,Nature's Prophet,1.42%,55.62%,"43,969"
18,Death Prophet,1.41%,51.64%,"25,775"
19,Disruptor,1.36%,47.76%,"64,078"
20,Io,1.32%,53.24%,"15,219"
21,Techies,1.28%,49.09%,"71,219"
22,Tiny,1.27%,53.98%,"63,192"
23,Arc Warden,1.23%,44.64%,"28,870"
24,Legion Commander,1.18%,47.89%,"107,152"
25,Broodmother,1.17%,47.11%,"20,579"
26,Wraith King,1.16%,44.43%,"109,462"
27,Zeus,1.15%,45.96%,"87,561"
28,Razor,1.13%,47.50%,"41,297"
29,Omniknight,1.07%,44.99%,"19,137"
30,Earth Spirit,1.05%,51.07%,"34,012"
31,Beastmaster,1.04%,54.75%,"7,650"
32,Warlock,0.96%,46.21%,"48,414"
33,Gyrocopter,0.94%,49.55%,"46,121"
34,Troll Warlord,0.92%,49.75%,"36,396"
35,Lycan,0.92%,53.44%,"7,752"
36,Necrophos,0.88%,44.76%,"57,996"
37,Enchantress,0.83%,52.85%,"31,066"
38,Faceless Void,0.80%,48.87%,"112,403"
39,Oracle,0.79%,51.08%,"31,958"
40,Nyx Assassin,0.79%,45.76%,"57,356"
41,Lifestealer,0.79%,47.25%,"72,375"
42,Drow Ranger,0.73%,45.63%,"94,743"
43,Tidehunter,0.69%,48.42%,"61,460"
44,Bounty Hunter,0.63%,48.52%,"64,973"
45,Meepo,0.60%,43.10%,"17,551"
46,Undying,0.56%,48.20%,"38,184"
47,Void Spirit,0.56%,51.13%,"54,554"
48,Storm Spirit,0.55%,51.59%,"82,042"
49,Ursa,0.50%,48.40%,"94,518"
50,Kunkka,0.48%,49.42%,"57,959"
51,Doom,0.42%,52.69%,"58,114"
52,Pugna,0.42%,50.69%,"36,284"
53,Spectre,0.41%,44.96%,"98,783"
