,counter_hero,disadv,certain_win,num_match
0,Lone Druid,3.55%,50.37%,"34,822"
1,Death Prophet,3.20%,52.84%,"61,496"
2,Ursa,2.80%,47.58%,"235,877"
3,Undying,2.36%,49.11%,"174,920"
4,Terrorblade,2.33%,52.68%,"98,591"
5,Tusk,2.22%,53.91%,"111,304"
6,Lycan,2.20%,46.37%,"69,813"
7,Timbersaw,2.18%,52.62%,"181,083"
8,Phoenix,2.14%,52.24%,"87,976"
9,Magnus,2.14%,50.46%,"173,886"
10,Dawnbreaker,1.94%,48.52%,"162,507"
11,Ember Spirit,1.79%,53.98%,"157,035"
12,Pangolier,1.76%,51.59%,"132,087"
13,Earth Spirit,1.75%,51.78%,"85,831"
14,Chen,1.72%,51.57%,"20,486"
15,Weaver,1.71%,50.14%,"173,222"
16,Batrider,1.68%,54.39%,"42,990"
17,Io,1.66%,52.83%,"49,088"
18,Visage,1.62%,48.39%,"26,464"
19,Chaos Knight,1.61%,46.98%,"178,143"
20,Beastmaster,1.56%,49.84%,"43,144"
21,Bristleback,1.52%,48.16%,"342,336"
22,Tiny,1.51%,56.01%,"127,943"
23,Slardar,1.51%,48.81%,"184,772"
24,Doom,1.42%,54.98%,"111,900"
25,Queen of Pain,1.41%,51.80%,"207,511"
26,Nature's Prophet,1.40%,58.93%,"144,112"
27,Puck,1.39%,51.99%,"181,885"
28,Snapfire,1.31%,54.11%,"117,910"
29,Alchemist,1.29%,54.13%,"78,995"
30,Grimstroke,1.28%,49.81%,"221,469"
31,Leshrac,1.19%,52.73%,"85,950"
32,Storm Spirit,1.19%,52.03%,"208,224"
33,Monkey King,1.16%,50.93%,"283,203"
34,Oracle,1.13%,52.78%,"79,967"
35,Kunkka,1.08%,50.11%,"185,969"
36,Mars,1.06%,53.05%,"194,988"
37,Witch Doctor,1.02%,50.83%,"324,517"
38,Warlock,0.98%,48.30%,"110,625"
39,Clockwerk,0.97%,50.66%,"105,372"
40,Rubick,0.97%,56.04%,"321,790"
41,Meepo,0.96%,45.22%,"61,898"
42,Lina,0.95%,53.48%,"368,887"
43,Troll Warlord,0.90%,51.34%,"111,098"
44,Void Spirit,0.86%,50.69%,"147,378"
45,Keeper of the Light,0.86%,52.56%,"179,676"
46,Earthshaker,0.80%,51.65%,"227,137"
47,Sven,0.79%,49.08%,"202,153"
48,Anti-Mage,0.75%,49.52%,"272,548"
49,Gyrocopter,0.69%,52.58%,"188,188"
50,Invoker,0.64%,51.61%,"476,223"
51,Razor,0.64%,50.80%,"103,799"
52,Enchantress,0.62%,56.25%,"68,625"
53,Lifestealer,0.57%,50.12%,"207,251"
54,Dazzle,0.52%,46.31%,"246,539"
55,Tidehunter,0.48%,50.27%,"192,500"
56,Night Stalker,0.41%,47.87%,"99,817"
57,Medusa,0.41%,47.15%,"246,660"
58,Abaddon,0.36%,46.72%,"141,469"
59,Hoodwink,0.34%,49.80%,"299,183"
60,Lich,0.33%,51.07%,"194,563"
61,Elder Titan,0.28%,49.74%,"40,434"
62,Dark Willow,0.15%,50.41%,"189,506"
63,Broodmother,0.14%,51.32%,"52,415"
64,Naga Siren,0.12%,48.43%,"53,052"
65,Omniknight,0.09%,45.84%,"71,939"
66,Vengeful Spirit,0.08%,47.90%,"182,236"
67,Slark,0.06%,47.96%,"408,579"
68,Lion,0.03%,52.14%,"614,662"
69,Disruptor,-0.02%,49.74%,"186,549"
70,Templar Assassin,-0.03%,52.09%,"201,258"
71,Wraith King,-0.07%,47.71%,"276,849"
72,Bounty Hunter,-0.07%,51.81%,"233,396"
73,Phantom Lancer,-0.08%,49.68%,"216,589"
74,Spirit Breaker,-0.12%,50.53%,"234,822"
75,Brewmaster,-0.14%,50.07%,"43,829"
76,Morphling,-0.15%,52.22%,"194,763"
77,Shadow Demon,-0.15%,53.24%,"69,186"
78,Shadow Fiend,-0.19%,53.35%,"368,275"
79,Shadow Shaman,-0.21%,49.35%,"347,913"
80,Silencer,-0.24%,46.00%,"293,025"
81,Dragon Knight,-0.25%,51.33%,"207,995"
82,Windranger,-0.27%,50.68%,"401,591"
83,Dark Seer,-0.36%,45.97%,"83,480"
84,Skywrath Mage,-0.38%,49.12%,"232,029"
85,Jakiro,-0.38%,48.71%,"197,616"
86,Mirana,-0.38%,49.03%,"324,223"
87,Bane,-0.46%,50.78%,"65,608"
88,Nyx Assassin,-0.47%,48.86%,"139,330"
89,Winter Wyvern,-0.50%,48.11%,"235,582"
90,Juggernaut,-0.57%,50.44%,"427,289"
91,Treant Protector,-0.65%,48.49%,"148,744"
92,Outworld Destroyer,-0.69%,51.99%,"150,414"
93,Spectre,-0.71%,48.57%,"273,007"
94,Luna,-0.71%,47.97%,"359,046"
95,Enigma,-0.74%,46.97%,"138,260"
96,Centaur Warrunner,-0.74%,49.43%,"136,862"
97,Ancient Apparition,-0.76%,47.24%,"271,466"
98,Riki,-0.78%,48.42%,"196,953"
99,Viper,-0.88%,54.19%,"248,217"
100,Legion Commander,-0.90%,50.62%,"334,369"
101,Tinker,-1.00%,54.11%,"234,989"
102,Clinkz,-1.01%,48.57%,"178,168"
103,Phantom Assassin,-1.02%,55.55%,"361,945"
104,Axe,-1.04%,49.85%,"354,824"
105,Bloodseeker,-1.05%,49.40%,"139,000"
106,Venomancer,-1.09%,50.18%,"188,180"
107,Faceless Void,-1.15%,53.81%,"278,076"
108,Crystal Maiden,-1.15%,51.94%,"282,119"
109,Ogre Magi,-1.25%,48.33%,"472,079"
110,Arc Warden,-1.47%,49.43%,"85,529"
111,Sand King,-1.56%,48.87%,"237,144"
112,Drow Ranger,-1.60%,51.58%,"272,337"
113,Huskar,-1.61%,50.24%,"169,741"
114,Techies,-1.63%,54.23%,"245,217"
115,Zeus,-1.67%,50.51%,"258,753"
116,Sniper,-2.02%,52.20%,"413,731"
117,Pugna,-2.31%,57.34%,"96,405"
118,Necrophos,-2.32%,49.42%,"179,423"
119,Underlord,-2.47%,48.31%,"108,229"
