,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,4.07%,44.31%,"45,074"
1,Pudge,3.55%,44.58%,"88,441"
2,Lycan,2.44%,50.65%,"3,923"
3,Sniper,2.27%,46.08%,"62,640"
4,Shadow Fiend,2.10%,48.00%,"53,322"
5,Chaos Knight,1.90%,43.03%,"26,870"
6,Ogre Magi,1.88%,43.44%,"67,585"
7,Medusa,1.74%,43.86%,"37,021"
8,Nature's Prophet,1.64%,54.05%,"22,516"
9,Phantom Lancer,1.39%,45.74%,"33,168"
10,Techies,1.39%,47.95%,"34,449"
11,Bristleback,1.08%,45.27%,"55,799"
12,Weaver,1.06%,48.06%,"25,537"
13,Snapfire,1.04%,50.61%,"27,370"
14,Earth Spirit,0.96%,49.98%,"12,372"
15,Naga Siren,0.96%,45.30%,"8,779"
16,Batrider,0.84%,53.14%,"5,757"
17,Spirit Breaker,0.81%,46.56%,"31,098"
18,Faceless Void,0.81%,47.85%,"50,823"
19,Riki,0.80%,44.16%,"31,345"
20,Visage,0.78%,46.44%,"3,497"
21,Elder Titan,0.73%,45.79%,"7,229"
22,Dark Seer,0.72%,41.96%,"12,124"
23,Drow Ranger,0.68%,44.85%,"47,200"
24,Earthshaker,0.68%,49.59%,"35,457"
25,Enigma,0.68%,43.32%,"16,630"
26,Morphling,0.65%,48.45%,"31,054"
27,Beastmaster,0.64%,53.82%,"3,716"
28,Arc Warden,0.64%,44.46%,"12,541"
29,Clockwerk,0.62%,48.10%,"18,142"
30,Silencer,0.62%,44.14%,"39,449"
31,Io,0.61%,52.70%,"7,027"
32,Keeper of the Light,0.59%,50.02%,"14,784"
33,Witch Doctor,0.59%,48.29%,"48,373"
34,Viper,0.58%,48.85%,"45,241"
35,Zeus,0.56%,45.66%,"48,401"
36,Sven,0.54%,50.16%,"25,030"
37,Night Stalker,0.54%,46.90%,"12,631"
38,Chen,0.53%,52.91%,"2,251"
39,Bounty Hunter,0.51%,47.66%,"31,172"
40,Centaur Warrunner,0.50%,45.79%,"26,275"
41,Phoenix,0.50%,50.83%,"15,614"
42,Warlock,0.46%,45.85%,"20,680"
