,counter_hero,disadv,certain_win,num_match
0,Medusa,2.71%,41.78%,"64,828"
1,Huskar,2.02%,43.27%,"44,534"
2,Puck,1.84%,46.14%,"76,137"
3,Legion Commander,1.71%,45.39%,"90,762"
4,Techies,1.30%,47.05%,"59,034"
5,Abaddon,1.26%,42.71%,"33,159"
6,Templar Assassin,1.26%,46.72%,"55,023"
7,Slark,1.05%,45.41%,"89,166"
8,Ember Spirit,1.03%,50.00%,"51,277"
9,Oracle,0.96%,48.83%,"22,165"
10,Faceless Void,0.89%,46.78%,"86,323"
11,Night Stalker,0.83%,45.56%,"21,683"
12,Lina,0.83%,49.04%,"91,309"
13,Nyx Assassin,0.83%,43.79%,"42,174"
14,Silencer,0.81%,42.81%,"67,961"
15,Pugna,0.76%,48.29%,"30,057"
16,Underlord,0.75%,40.82%,"32,718"
17,Shadow Fiend,0.73%,48.35%,"102,303"
18,Troll Warlord,0.69%,47.96%,"33,456"
19,Witch Doctor,0.63%,47.27%,"83,580"
20,Riki,0.62%,43.21%,"52,712"
21,Anti-Mage,0.62%,46.61%,"80,877"
22,Lone Druid,0.53%,51.19%,"9,224"
23,Disruptor,0.52%,46.61%,"47,678"
24,Void Spirit,0.50%,49.09%,"34,417"
25,Lycan,0.48%,51.81%,"6,557"
26,Drow Ranger,0.43%,43.98%,"78,580"
27,Nature's Prophet,0.43%,54.51%,"39,007"
28,Axe,0.43%,44.75%,"104,328"
29,Kunkka,0.41%,47.47%,"46,865"
30,Skywrath Mage,0.38%,45.81%,"60,390"
31,Enigma,0.37%,42.48%,"28,787"
32,Tidehunter,0.34%,46.78%,"47,488"
33,Terrorblade,0.31%,48.90%,"31,889"
34,Earth Spirit,0.31%,49.74%,"22,891"
35,Warlock,0.29%,44.94%,"36,482"
36,Bloodseeker,0.27%,45.12%,"39,080"
37,Gyrocopter,0.26%,48.21%,"37,000"
38,Grimstroke,0.22%,46.90%,"58,392"
39,Zeus,0.20%,44.92%,"77,431"
40,Clinkz,0.20%,44.08%,"32,255"
41,Weaver,0.20%,47.94%,"44,291"
42,Viper,0.16%,48.31%,"76,772"
43,Luna,0.14%,44.34%,"75,819"
44,Meepo,0.12%,41.70%,"14,528"
45,Sven,0.12%,49.67%,"41,178"
46,Dazzle,0.11%,43.64%,"60,457"
47,Earthshaker,0.10%,49.23%,"63,486"
48,Enchantress,0.09%,51.51%,"25,294"
49,Dawnbreaker,0.07%,47.15%,"39,906"
50,Snapfire,0.06%,50.70%,"49,740"
51,Omniknight,-0.01%,44.14%,"16,503"
52,Venomancer,-0.01%,46.68%,"50,180"
53,Crystal Maiden,-0.05%,46.64%,"76,989"
54,Chaos Knight,-0.09%,43.88%,"47,217"
55,Dragon Knight,-0.10%,45.90%,"63,887"
56,Shadow Shaman,-0.11%,45.42%,"90,639"
57,Treant Protector,-0.12%,44.61%,"39,869"
58,Ogre Magi,-0.15%,44.23%,"117,670"
59,Invoker,-0.15%,47.66%,"121,018"
60,Jakiro,-0.19%,45.66%,"49,170"
61,Lion,-0.22%,47.58%,"160,964"
62,Sniper,-0.23%,47.41%,"114,267"
63,Tusk,-0.23%,51.71%,"33,453"
64,Hoodwink,-0.25%,46.07%,"72,356"
65,Mirana,-0.28%,45.68%,"85,940"
66,Spirit Breaker,-0.32%,46.63%,"56,196"
67,Io,-0.39%,52.89%,"11,936"
68,Dark Willow,-0.41%,46.68%,"45,904"
69,Elder Titan,-0.41%,45.88%,"12,780"
70,Bristleback,-0.43%,45.65%,"92,566"
71,Slardar,-0.46%,47.07%,"52,052"
72,Winter Wyvern,-0.46%,44.37%,"63,167"
73,Visage,-0.46%,46.68%,"6,230"
74,Phoenix,-0.46%,50.91%,"28,744"
75,Bane,-0.48%,49.03%,"13,319"
76,Tiny,-0.49%,53.58%,"44,136"
77,Centaur Warrunner,-0.50%,45.72%,"47,610"
78,Wraith King,-0.53%,44.15%,"87,557"
79,Death Prophet,-0.54%,51.57%,"21,459"
80,Lich,-0.54%,48.41%,"47,721"
81,Necrophos,-0.54%,44.25%,"48,433"
82,Spectre,-0.56%,44.00%,"78,003"
83,Magnus,-0.58%,49.66%,"45,561"
84,Rubick,-0.64%,52.38%,"82,693"
85,Arc Warden,-0.65%,44.67%,"21,194"
86,Beastmaster,-0.65%,54.40%,"6,627"
87,Doom,-0.65%,51.64%,"40,841"
88,Alchemist,-0.66%,51.55%,"22,116"
89,Naga Siren,-0.69%,45.92%,"14,931"
90,Ancient Apparition,-0.73%,43.24%,"77,406"
91,Sand King,-0.77%,44.37%,"59,488"
92,Morphling,-0.77%,48.89%,"52,744"
93,Phantom Lancer,-0.80%,46.84%,"61,705"
94,Keeper of the Light,-0.81%,50.53%,"25,408"
95,Vengeful Spirit,-0.82%,47.40%,"33,227"
96,Undying,-0.84%,47.61%,"33,817"
97,Ursa,-0.84%,47.72%,"71,573"
98,Broodmother,-0.90%,47.29%,"14,142"
99,Outworld Destroyer,-0.93%,47.81%,"42,962"
100,Juggernaut,-0.96%,46.98%,"128,400"
101,Bounty Hunter,-0.97%,48.12%,"56,864"
102,Chen,-1.01%,53.70%,"3,974"
103,Pudge,-1.12%,47.76%,"170,605"
104,Phantom Assassin,-1.15%,51.01%,"101,186"
105,Leshrac,-1.18%,50.92%,"30,026"
106,Clockwerk,-1.20%,48.95%,"35,559"
107,Storm Spirit,-1.23%,51.28%,"61,534"
108,Lifestealer,-1.24%,47.29%,"57,036"
109,Dark Seer,-1.27%,42.77%,"21,551"
110,Mars,-1.49%,51.25%,"63,040"
111,Shadow Demon,-1.50%,50.94%,"18,004"
112,Timbersaw,-1.54%,50.89%,"46,819"
113,Pangolier,-1.54%,51.27%,"28,554"
114,Tinker,-1.76%,48.75%,"45,563"
115,Brewmaster,-1.77%,48.54%,"8,899"
116,Windranger,-1.92%,47.81%,"114,900"
117,Monkey King,-2.18%,52.19%,"58,789"
118,Razor,-2.22%,48.91%,"36,620"
119,Batrider,-2.82%,56.13%,"10,102"
