,counter_hero,disadv,certain_win,num_match
0,Naga Siren,4.31%,44.21%,"9,864"
1,Morphling,3.64%,47.83%,"33,079"
2,Weaver,3.03%,48.43%,"30,893"
3,Bloodseeker,2.94%,45.85%,"27,622"
4,Terrorblade,2.69%,49.78%,"19,920"
5,Anti-Mage,2.47%,48.15%,"47,622"
6,Arc Warden,2.34%,45.05%,"12,854"
7,Nature's Prophet,2.23%,55.81%,"24,134"
8,Queen of Pain,2.18%,51.09%,"36,621"
9,Phantom Lancer,2.18%,47.28%,"38,136"
10,Techies,2.17%,49.50%,"35,181"
11,Chaos Knight,2.07%,45.16%,"30,650"
12,Necrophos,1.98%,45.18%,"30,022"
13,Bristleback,1.94%,46.76%,"62,635"
14,Sniper,1.89%,48.76%,"71,064"
15,Ogre Magi,1.70%,45.90%,"74,008"
16,Faceless Void,1.55%,49.46%,"54,377"
17,Spectre,1.52%,45.42%,"48,698"
18,Venomancer,1.33%,48.69%,"31,989"
19,Undying,1.27%,48.83%,"22,401"
20,Enigma,1.25%,45.05%,"17,424"
21,Shadow Demon,1.16%,51.48%,"11,950"
22,Pugna,1.06%,51.27%,"19,783"
23,Beastmaster,0.99%,55.82%,"4,129"
24,Dark Willow,0.96%,48.67%,"28,907"
25,Meepo,0.88%,44.40%,"8,879"
26,Mirana,0.86%,47.96%,"53,485"
27,Chen,0.81%,54.95%,"2,382"
28,Crystal Maiden,0.77%,49.18%,"48,044"
29,Broodmother,0.76%,48.93%,"8,752"
30,Viper,0.76%,51.01%,"52,864"
31,Luna,0.74%,47.16%,"49,839"
32,Tusk,0.73%,53.93%,"20,569"
33,Ember Spirit,0.67%,53.56%,"30,416"
34,Witch Doctor,0.67%,50.54%,"50,723"
35,Clinkz,0.65%,47.04%,"21,897"
36,Medusa,0.61%,47.27%,"42,748"
37,Tinker,0.59%,49.72%,"26,307"
38,Brewmaster,0.56%,49.47%,"5,680"
39,Vengeful Spirit,0.56%,49.35%,"21,078"
40,Drow Ranger,0.54%,47.29%,"53,937"
41,Storm Spirit,0.51%,52.79%,"36,583"
42,Huskar,0.50%,48.18%,"30,838"
43,Clockwerk,0.49%,50.55%,"21,141"
44,Nyx Assassin,0.47%,47.56%,"28,440"
45,Zeus,0.44%,48.09%,"50,050"
46,Keeper of the Light,0.43%,52.51%,"15,770"
47,Wraith King,0.42%,46.65%,"55,958"
48,Shadow Shaman,0.42%,48.27%,"57,615"
49,Treant Protector,0.36%,47.53%,"24,763"
50,Windranger,0.34%,49.02%,"70,109"
51,Enchantress,0.25%,54.55%,"16,996"
52,Riki,0.23%,47.01%,"35,240"
53,Underlord,0.22%,44.85%,"21,463"
54,Sand King,0.18%,46.85%,"38,433"
55,Bane,0.11%,51.70%,"8,350"
56,Lich,0.06%,51.10%,"30,533"
57,Shadow Fiend,0.01%,52.30%,"55,231"
58,Bounty Hunter,-0.02%,50.49%,"37,794"
59,Disruptor,-0.03%,50.49%,"30,632"
60,Lycan,-0.08%,55.57%,"4,504"
61,Mars,-0.08%,53.09%,"39,698"
62,Dark Seer,-0.10%,45.07%,"13,911"
63,Pudge,-0.10%,50.16%,"103,496"
64,Spirit Breaker,-0.11%,49.77%,"36,724"
65,Winter Wyvern,-0.20%,47.53%,"38,464"
66,Ancient Apparition,-0.24%,46.21%,"46,826"
67,Centaur Warrunner,-0.28%,48.86%,"30,611"
68,Phoenix,-0.28%,53.94%,"17,703"
69,Void Spirit,-0.28%,53.13%,"21,125"
70,Tiny,-0.29%,56.52%,"28,390"
71,Phantom Assassin,-0.36%,53.47%,"67,991"
72,Earthshaker,-0.38%,52.95%,"39,731"
73,Hoodwink,-0.38%,49.55%,"44,768"
74,Skywrath Mage,-0.41%,49.94%,"38,819"
75,Invoker,-0.42%,51.21%,"69,613"
76,Gyrocopter,-0.49%,52.25%,"24,951"
77,Warlock,-0.50%,49.11%,"23,112"
78,Sven,-0.54%,53.57%,"30,890"
79,Elder Titan,-0.54%,49.38%,"8,339"
80,Outworld Destroyer,-0.54%,50.74%,"28,411"
81,Silencer,-0.55%,47.57%,"43,441"
82,Snapfire,-0.56%,54.52%,"31,954"
83,Batrider,-0.59%,56.96%,"6,603"
84,Legion Commander,-0.60%,50.93%,"58,654"
85,Jakiro,-0.62%,49.45%,"32,072"
86,Timbersaw,-0.64%,53.23%,"30,323"
87,Kunkka,-0.65%,51.82%,"29,922"
88,Magnus,-0.67%,53.00%,"29,205"
89,Dragon Knight,-0.76%,49.90%,"43,541"
90,Doom,-0.83%,55.02%,"26,903"
91,Slark,-0.84%,50.56%,"53,813"
92,Io,-0.87%,56.54%,"7,610"
93,Earth Spirit,-0.89%,54.17%,"13,662"
94,Rubick,-0.90%,55.80%,"50,231"
95,Death Prophet,-0.94%,55.19%,"14,764"
96,Slardar,-0.95%,50.88%,"35,057"
97,Pangolier,-1.07%,54.02%,"17,965"
98,Lina,-1.07%,54.10%,"57,598"
99,Puck,-1.26%,52.50%,"41,299"
100,Night Stalker,-1.31%,51.08%,"15,420"
101,Monkey King,-1.33%,54.56%,"38,887"
102,Omniknight,-1.37%,48.94%,"10,648"
103,Abaddon,-1.42%,48.81%,"21,889"
104,Lion,-1.44%,51.97%,"99,584"
105,Dazzle,-1.45%,48.57%,"36,190"
106,Dawnbreaker,-1.45%,51.97%,"25,459"
107,Templar Assassin,-1.59%,52.82%,"36,368"
108,Axe,-1.62%,50.05%,"70,600"
109,Visage,-1.75%,51.33%,"3,822"
110,Leshrac,-1.88%,54.85%,"19,551"
111,Lone Druid,-1.98%,56.95%,"5,977"
112,Alchemist,-2.13%,56.24%,"15,003"
113,Juggernaut,-2.13%,51.38%,"83,782"
114,Grimstroke,-2.55%,52.92%,"37,816"
115,Troll Warlord,-2.87%,54.81%,"24,966"
116,Tidehunter,-2.90%,53.31%,"30,993"
117,Ursa,-2.92%,53.03%,"49,646"
118,Oracle,-3.24%,56.31%,"13,587"
119,Lifestealer,-3.52%,52.84%,"40,696"
