,counter_hero,disadv,certain_win,num_match
0,Naga Siren,3.88%,47.39%,"16,623"
1,Bounty Hunter,3.23%,50.19%,"82,193"
2,Underlord,3.21%,44.50%,"32,228"
3,Zeus,2.89%,48.50%,"91,625"
4,Troll Warlord,2.65%,52.17%,"37,166"
5,Phantom Assassin,2.51%,53.70%,"110,651"
6,Techies,2.43%,52.11%,"62,813"
7,Bloodseeker,2.42%,49.14%,"48,948"
8,Wraith King,2.30%,47.59%,"97,108"
9,Slardar,2.21%,50.62%,"68,324"
10,Tiny,1.99%,57.27%,"43,257"
11,Bristleback,1.96%,49.51%,"97,733"
12,Venomancer,1.88%,50.97%,"49,742"
13,Meepo,1.84%,46.06%,"16,446"
14,Spectre,1.62%,48.05%,"83,388"
15,Shadow Fiend,1.59%,53.70%,"99,257"
16,Luna,1.55%,49.13%,"79,804"
17,Sven,1.48%,54.50%,"43,754"
18,Silencer,1.45%,48.35%,"71,031"
19,Gyrocopter,1.44%,53.21%,"37,467"
20,Terrorblade,1.42%,53.95%,"32,505"
21,Sniper,1.37%,52.11%,"125,468"
22,Nature's Prophet,1.36%,59.82%,"42,721"
23,Drow Ranger,1.36%,49.26%,"89,232"
24,Dragon Knight,1.31%,50.67%,"63,830"
25,Monkey King,1.19%,55.04%,"63,055"
26,Io,1.17%,57.49%,"12,632"
27,Disruptor,1.11%,52.20%,"48,525"
28,Ogre Magi,1.08%,49.22%,"116,329"
29,Beastmaster,1.01%,58.88%,"6,647"
30,Jakiro,1.01%,50.64%,"48,710"
31,Leshrac,0.97%,54.92%,"29,707"
32,Alchemist,0.97%,56.08%,"23,224"
33,Lycan,0.95%,57.56%,"7,088"
34,Enchantress,0.93%,56.86%,"26,112"
35,Broodmother,0.76%,51.75%,"15,529"
36,Night Stalker,0.72%,51.87%,"21,974"
37,Axe,0.66%,50.69%,"104,967"
38,Vengeful Spirit,0.63%,52.11%,"34,571"
39,Bane,0.61%,54.11%,"14,057"
40,Lion,0.60%,53.00%,"172,703"
41,Chaos Knight,0.60%,49.35%,"49,737"
42,Winter Wyvern,0.53%,49.56%,"63,989"
43,Pudge,0.50%,52.46%,"169,535"
44,Sand King,0.49%,49.29%,"60,626"
45,Tidehunter,0.37%,52.92%,"46,623"
46,Batrider,0.34%,59.05%,"9,961"
47,Crystal Maiden,0.32%,52.46%,"82,295"
48,Necrophos,0.29%,49.60%,"50,611"
49,Legion Commander,0.24%,52.99%,"91,857"
50,Dark Willow,0.24%,52.21%,"47,398"
51,Elder Titan,0.24%,51.41%,"12,934"
52,Omniknight,0.19%,50.13%,"16,579"
53,Templar Assassin,0.18%,53.97%,"56,210"
54,Shadow Shaman,0.18%,51.30%,"94,623"
55,Dark Seer,0.14%,47.51%,"21,730"
56,Earthshaker,0.11%,55.40%,"62,773"
57,Arc Warden,0.10%,50.07%,"22,240"
58,Treant Protector,0.03%,50.64%,"40,359"
59,Abaddon,0.01%,50.15%,"33,765"
60,Kunkka,-0.01%,54.08%,"47,978"
61,Spirit Breaker,-0.01%,52.51%,"57,806"
62,Dawnbreaker,-0.03%,53.43%,"40,508"
63,Snapfire,-0.06%,56.99%,"48,529"
64,Rubick,-0.08%,58.01%,"80,212"
65,Razor,-0.13%,52.99%,"35,239"
66,Skywrath Mage,-0.21%,52.59%,"67,393"
67,Windranger,-0.23%,52.39%,"113,194"
68,Grimstroke,-0.23%,53.51%,"59,099"
69,Chen,-0.23%,59.10%,"4,012"
70,Earth Spirit,-0.24%,56.47%,"22,134"
71,Doom,-0.25%,57.43%,"39,969"
72,Lone Druid,-0.25%,58.24%,"9,870"
73,Ember Spirit,-0.27%,57.48%,"46,460"
74,Death Prophet,-0.27%,57.53%,"22,508"
75,Tusk,-0.32%,57.95%,"29,964"
76,Clockwerk,-0.35%,54.27%,"32,652"
77,Lich,-0.36%,54.40%,"48,668"
78,Morphling,-0.37%,54.68%,"53,795"
79,Viper,-0.42%,55.07%,"76,822"
80,Outworld Destroyer,-0.45%,53.52%,"42,424"
81,Keeper of the Light,-0.45%,56.38%,"26,850"
82,Mirana,-0.47%,52.04%,"87,864"
83,Centaur Warrunner,-0.48%,51.87%,"47,931"
84,Pugna,-0.55%,55.84%,"31,346"
85,Undying,-0.56%,53.52%,"34,450"
86,Phantom Lancer,-0.57%,52.80%,"62,796"
87,Magnus,-0.58%,55.83%,"43,344"
