,counter_hero,disadv,certain_win,num_match
0,Tinker,1.39%,43.52%,"81,192"
1,Keeper of the Light,1.20%,46.57%,"39,220"
2,Earth Spirit,1.11%,47.03%,"40,425"
3,Tiny,1.09%,50.30%,"75,089"
4,Ember Spirit,1.04%,48.16%,"80,181"
5,Legion Commander,0.99%,44.06%,"141,002"
6,Chen,0.96%,49.87%,"5,725"
7,Io,0.89%,49.82%,"18,627"
8,Pugna,0.77%,46.36%,"45,795"
9,Phoenix,0.75%,47.83%,"50,943"
10,Necrophos,0.73%,40.78%,"74,484"
11,Tusk,0.73%,48.94%,"54,813"
12,Nature's Prophet,0.65%,52.64%,"56,763"
13,Axe,0.63%,42.44%,"165,106"
14,Templar Assassin,0.59%,45.40%,"93,470"
15,Ursa,0.59%,44.28%,"121,359"
16,Faceless Void,0.52%,45.15%,"138,424"
17,Queen of Pain,0.51%,47.62%,"82,692"
18,Storm Spirit,0.48%,47.72%,"95,160"
19,Visage,0.45%,43.66%,"10,221"
20,Alchemist,0.45%,48.59%,"34,092"
21,Clockwerk,0.42%,45.31%,"55,461"
22,Razor,0.42%,44.20%,"50,231"
23,Zeus,0.41%,42.62%,"114,645"
24,Huskar,0.39%,42.83%,"66,449"
25,Pudge,0.35%,44.40%,"292,753"
26,Lone Druid,0.33%,49.60%,"13,197"
27,Void Spirit,0.32%,47.39%,"57,857"
28,Oracle,0.31%,47.62%,"37,638"
29,Shadow Fiend,0.26%,46.89%,"159,655"
30,Spectre,0.22%,41.04%,"123,890"
31,Slark,0.20%,44.19%,"141,009"
32,Centaur Warrunner,0.20%,42.89%,"78,932"
33,Monkey King,0.16%,48.01%,"94,567"
34,Night Stalker,0.14%,44.21%,"34,859"
35,Bristleback,0.13%,43.03%,"149,356"
36,Death Prophet,0.11%,49.09%,"31,095"
37,Techies,0.10%,46.30%,"103,157"
38,Anti-Mage,0.10%,45.12%,"127,669"
39,Kunkka,0.08%,45.85%,"73,699"
40,Enchantress,0.06%,49.76%,"37,508"
41,Clinkz,0.04%,42.13%,"47,536"
42,Lifestealer,0.04%,43.99%,"89,716"
43,Shadow Demon,0.01%,47.50%,"28,873"
44,Hoodwink,0.00%,43.72%,"123,295"
45,Lich,-0.01%,45.89%,"82,037"
46,Phantom Assassin,-0.03%,48.09%,"160,864"
47,Gyrocopter,-0.03%,46.58%,"57,899"
48,Drow Ranger,-0.04%,42.33%,"120,979"
49,Batrider,-0.05%,51.57%,"15,671"
50,Invoker,-0.05%,45.57%,"203,978"
51,Windranger,-0.05%,43.99%,"170,424"
52,Timbersaw,-0.06%,47.53%,"81,112"
53,Brewmaster,-0.08%,44.75%,"14,169"
54,Dawnbreaker,-0.08%,45.28%,"65,779"
55,Snapfire,-0.09%,49.04%,"86,732"
56,Mars,-0.17%,48.07%,"109,388"
57,Dragon Knight,-0.17%,43.90%,"102,001"
58,Dark Willow,-0.20%,44.41%,"76,349"
59,Lycan,-0.21%,50.77%,"9,698"
60,Disruptor,-0.23%,45.35%,"82,585"
61,Dazzle,-0.23%,41.79%,"100,630"
62,Viper,-0.25%,46.80%,"112,612"
63,Terrorblade,-0.26%,47.59%,"55,853"
64,Troll Warlord,-0.27%,47.03%,"49,924"
65,Juggernaut,-0.27%,44.30%,"202,162"
66,Doom,-0.29%,49.49%,"67,093"
67,Riki,-0.31%,41.99%,"80,214"
68,Leshrac,-0.33%,48.19%,"49,670"
69,Venomancer,-0.34%,44.99%,"77,024"
70,Skywrath Mage,-0.35%,44.50%,"94,744"
71,Witch Doctor,-0.45%,46.36%,"144,840"
72,Bounty Hunter,-0.46%,45.64%,"82,934"
73,Vengeful Spirit,-0.50%,45.05%,"53,396"
74,Bane,-0.51%,47.14%,"21,989"
75,Puck,-0.52%,46.53%,"110,988"
76,Spirit Breaker,-0.53%,44.82%,"86,409"
77,Undying,-0.53%,45.31%,"52,167"
78,Tidehunter,-0.56%,45.68%,"77,493"
79,Pangolier,-0.56%,48.42%,"47,785"
80,Broodmother,-0.61%,44.93%,"25,462"
81,Winter Wyvern,-0.62%,42.31%,"114,498"
82,Arc Warden,-0.63%,42.47%,"36,099"
83,Ancient Apparition,-0.65%,40.88%,"132,975"
84,Grimstroke,-0.65%,45.74%,"106,410"
85,Slardar,-0.66%,45.27%,"79,795"
86,Elder Titan,-0.67%,44.07%,"20,453"
87,Earthshaker,-0.70%,48.15%,"109,595"
88,Sniper,-0.78%,46.01%,"152,973"
89,Warlock,-0.79%,43.87%,"68,057"
90,Ogre Magi,-0.80%,42.69%,"192,357"
91,Weaver,-0.83%,47.06%,"64,853"
92,Wraith King,-0.84%,42.30%,"140,968"
93,Lina,-0.89%,48.87%,"149,078"
94,Silencer,-0.95%,42.40%,"104,479"
95,Sven,-0.98%,48.94%,"61,967"
96,Mirana,-1.03%,44.32%,"143,122"
97,Naga Siren,-1.03%,44.23%,"22,225"
98,Shadow Shaman,-1.09%,44.25%,"160,468"
99,Crystal Maiden,-1.11%,45.66%,"129,980"
100,Bloodseeker,-1.17%,44.57%,"53,803"
101,Lion,-1.21%,46.47%,"296,320"
102,Magnus,-1.21%,48.41%,"84,295"
