,counter_hero,disadv,certain_win,num_match
0,Zeus,3.55%,48.05%,"88,074"
1,Bristleback,2.67%,49.06%,"115,353"
2,Anti-Mage,2.45%,51.25%,"92,436"
3,Phoenix,2.11%,54.78%,"33,720"
4,Juggernaut,2.01%,50.61%,"152,253"
5,Underlord,2.00%,45.88%,"41,271"
6,Faceless Void,1.83%,52.31%,"100,214"
7,Clinkz,1.77%,48.88%,"37,079"
8,Alchemist,1.64%,55.69%,"25,831"
9,Lifestealer,1.56%,50.94%,"71,791"
10,Oracle,1.55%,54.71%,"26,622"
11,Timbersaw,1.46%,54.36%,"59,618"
12,Sniper,1.44%,52.26%,"117,761"
13,Disruptor,1.40%,52.17%,"56,294"
14,Magnus,1.37%,54.18%,"57,999"
15,Leshrac,1.37%,54.82%,"36,366"
16,Elder Titan,1.35%,50.49%,"14,825"
17,Pudge,1.25%,52.03%,"193,862"
18,Dawnbreaker,1.21%,52.43%,"47,869"
19,Tidehunter,1.18%,52.39%,"59,668"
20,Ember Spirit,1.11%,56.44%,"58,955"
21,Centaur Warrunner,1.09%,50.54%,"60,146"
22,Jakiro,1.08%,50.80%,"58,261"
23,Ancient Apparition,1.06%,47.86%,"92,394"
24,Pangolier,1.06%,55.13%,"35,158"
25,Rubick,1.03%,57.26%,"98,756"
26,Io,0.97%,58.00%,"13,987"
27,Techies,0.97%,53.81%,"66,005"
28,Snapfire,0.97%,56.29%,"60,633"
29,Bloodseeker,0.96%,50.85%,"44,532"
30,Slardar,0.94%,52.12%,"63,995"
31,Troll Warlord,0.87%,54.23%,"36,852"
32,Queen of Pain,0.85%,55.63%,"59,486"
33,Venomancer,0.84%,52.26%,"56,088"
34,Chen,0.78%,58.32%,"4,249"
35,Weaver,0.76%,53.82%,"49,193"
36,Storm Spirit,0.69%,55.85%,"66,564"
37,Shadow Fiend,0.69%,54.84%,"105,840"
38,Ursa,0.68%,52.65%,"81,699"
39,Keeper of the Light,0.66%,55.51%,"28,908"
40,Void Spirit,0.65%,55.44%,"42,088"
41,Puck,0.61%,53.85%,"80,969"
42,Lone Druid,0.57%,57.64%,"10,145"
43,Bounty Hunter,0.56%,53.05%,"63,518"
44,Kunkka,0.55%,53.79%,"55,333"
45,Earth Spirit,0.55%,55.99%,"28,114"
46,Lycan,0.52%,58.28%,"7,433"
47,Crystal Maiden,0.48%,52.55%,"90,538"
48,Spectre,0.47%,49.39%,"93,577"
49,Viper,0.40%,54.53%,"83,331"
50,Doom,0.39%,57.13%,"49,439"
51,Sven,0.38%,55.89%,"47,551"
52,Huskar,0.36%,51.36%,"49,761"
53,Dazzle,0.36%,49.77%,"68,668"
54,Undying,0.32%,52.88%,"39,167"
55,Abaddon,0.32%,50.07%,"38,666"
56,Grimstroke,0.30%,53.26%,"72,896"
57,Death Prophet,0.27%,57.25%,"23,935"
58,Phantom Assassin,0.21%,56.17%,"114,410"
59,Witch Doctor,0.20%,54.14%,"101,400"
60,Nature's Prophet,0.19%,61.29%,"43,861"
61,Batrider,0.19%,59.55%,"11,524"
62,Legion Commander,0.17%,53.32%,"105,175"
63,Windranger,0.08%,52.34%,"124,559"
64,Silencer,0.07%,49.94%,"75,883"
65,Pugna,0.07%,55.48%,"33,785"
66,Necrophos,0.05%,50.06%,"54,126"
67,Tusk,0.02%,58.00%,"40,610"
68,Lina,-0.01%,56.32%,"101,900"
69,Lion,-0.03%,53.84%,"191,384"
70,Razor,-0.03%,53.15%,"38,432"
71,Bane,-0.04%,55.05%,"15,669"
72,Night Stalker,-0.05%,52.92%,"26,225"
73,Tiny,-0.06%,59.71%,"53,794"
74,Mirana,-0.09%,51.92%,"100,349"
75,Skywrath Mage,-0.09%,52.71%,"68,293"
76,Arc Warden,-0.09%,50.49%,"25,730"
77,Warlock,-0.13%,51.79%,"43,862"
78,Treant Protector,-0.15%,51.05%,"46,491"
79,Earthshaker,-0.16%,55.98%,"75,657"
80,Monkey King,-0.16%,56.65%,"65,691"
81,Beastmaster,-0.18%,60.44%,"7,296"
82,Mars,-0.19%,56.47%,"82,129"
83,Gyrocopter,-0.21%,55.17%,"43,032"
84,Enigma,-0.25%,49.49%,"34,060"
85,Shadow Shaman,-0.26%,51.97%,"110,239"
86,Enchantress,-0.37%,58.52%,"30,065"
87,Hoodwink,-0.38%,52.63%,"87,773"
88,Nyx Assassin,-0.39%,51.45%,"51,277"
89,Brewmaster,-0.41%,53.60%,"10,482"
90,Vengeful Spirit,-0.41%,53.43%,"39,127"
91,Wraith King,-0.41%,50.43%,"105,802"
92,Invoker,-0.44%,54.37%,"142,091"
93,Riki,-0.48%,50.71%,"60,627"
94,Dark Seer,-0.53%,48.38%,"26,261"
95,Drow Ranger,-0.54%,51.33%,"91,672"
96,Templar Assassin,-0.54%,54.96%,"64,918"
97,Lich,-0.56%,54.89%,"57,644"
98,Tinker,-0.69%,54.11%,"54,502"
99,Medusa,-0.71%,51.57%,"75,535"
100,Dark Willow,-0.81%,53.53%,"56,424"
101,Ogre Magi,-0.83%,51.26%,"139,359"
102,Clockwerk,-0.83%,55.07%,"42,139"
103,Dragon Knight,-0.84%,53.07%,"79,213"
104,Morphling,-0.96%,55.55%,"62,746"
105,Visage,-1.15%,53.84%,"7,415"
