,counter_hero,disadv,certain_win,num_match
0,Weaver,3.29%,45.58%,"14,966"
1,Riki,3.18%,41.63%,"18,873"
2,Phantom Lancer,2.99%,43.95%,"22,626"
3,Meepo,2.90%,39.89%,"5,111"
4,Timbersaw,2.77%,47.26%,"17,651"
5,Undying,2.29%,45.24%,"11,478"
6,Underlord,2.20%,40.42%,"12,109"
7,Lycan,1.94%,50.81%,"2,478"
8,Brewmaster,1.89%,45.55%,"3,427"
9,Naga Siren,1.84%,44.18%,"5,244"
10,Sand King,1.77%,42.80%,"21,469"
11,Faceless Void,1.77%,46.67%,"31,567"
12,Lone Druid,1.74%,50.46%,"3,349"
13,Storm Spirit,1.72%,48.96%,"21,073"
14,Ember Spirit,1.66%,49.92%,"18,086"
15,Queen of Pain,1.56%,49.05%,"18,005"
16,Pangolier,1.53%,48.77%,"10,810"
17,Beastmaster,1.47%,52.60%,"2,367"
18,Batrider,1.36%,52.24%,"3,901"
19,Dazzle,1.27%,43.41%,"21,694"
20,Bounty Hunter,1.26%,46.65%,"19,092"
21,Void Spirit,1.26%,48.95%,"12,745"
22,Io,1.18%,51.77%,"4,557"
23,Sniper,1.15%,46.85%,"34,998"
24,Earthshaker,1.14%,48.84%,"21,306"
25,Puck,1.11%,47.58%,"24,260"
26,Kunkka,1.06%,47.53%,"16,442"
27,Vengeful Spirit,1.06%,46.27%,"11,983"
28,Chaos Knight,1.04%,43.66%,"15,536"
29,Morphling,0.94%,47.89%,"19,068"
30,Broodmother,0.89%,46.22%,"5,695"
31,Centaur Warrunner,0.82%,45.23%,"16,921"
32,Tiny,0.79%,52.72%,"15,666"
33,Earth Spirit,0.69%,49.94%,"8,607"
34,Tidehunter,0.63%,47.22%,"17,021"
35,Crystal Maiden,0.60%,46.76%,"26,812"
36,Phantom Assassin,0.60%,49.93%,"34,630"
37,Enchantress,0.60%,51.50%,"9,381"
38,Dawnbreaker,0.57%,47.37%,"14,090"
39,Tusk,0.53%,51.44%,"11,302"
40,Zeus,0.52%,45.46%,"26,032"
41,Anti-Mage,0.46%,47.49%,"28,190"
42,Bloodseeker,0.43%,45.79%,"13,030"
43,Monkey King,0.42%,50.19%,"19,783"
44,Leshrac,0.41%,49.90%,"11,482"
45,Pudge,0.34%,47.18%,"58,585"
46,Nyx Assassin,0.33%,45.16%,"16,073"
47,Spirit Breaker,0.29%,46.80%,"19,130"
48,Alchemist,0.25%,51.15%,"7,767"
49,Death Prophet,0.23%,51.30%,"7,610"
50,Juggernaut,0.19%,46.67%,"43,459"
51,Winter Wyvern,0.18%,44.64%,"27,180"
52,Drow Ranger,0.17%,45.09%,"27,447"
53,Bane,0.17%,49.01%,"5,409"
54,Shadow Shaman,0.16%,45.96%,"31,945"
55,Doom,0.16%,51.34%,"15,186"
56,Bristleback,0.15%,45.91%,"36,656"
57,Enigma,0.11%,43.68%,"10,209"
58,Pugna,0.08%,49.60%,"10,653"
59,Sven,0.02%,50.36%,"14,141"
60,Dark Seer,0.01%,42.47%,"7,984"
61,Lina,-0.03%,50.45%,"31,465"
62,Arc Warden,-0.07%,44.95%,"7,836"
63,Jakiro,-0.08%,46.36%,"17,808"
64,Warlock,-0.13%,46.18%,"13,648"
65,Treant Protector,-0.14%,45.48%,"14,136"
66,Snapfire,-0.18%,51.46%,"17,867"
67,Troll Warlord,-0.23%,49.52%,"11,348"
68,Dark Willow,-0.24%,47.27%,"17,005"
69,Clockwerk,-0.25%,48.67%,"11,800"
70,Axe,-0.27%,46.22%,"37,086"
71,Tinker,-0.28%,47.98%,"16,078"
72,Rubick,-0.28%,52.50%,"28,871"
73,Shadow Fiend,-0.29%,49.95%,"32,926"
74,Phoenix,-0.30%,51.29%,"10,961"
