,counter_hero,disadv,certain_win,num_match
0,Visage,2.27%,44.97%,"17,055"
1,Templar Assassin,1.95%,46.98%,"154,274"
2,Batrider,1.91%,50.71%,"25,178"
3,Tiny,1.63%,52.35%,"76,003"
4,Ursa,1.62%,46.25%,"122,409"
5,Clockwerk,1.20%,47.53%,"55,345"
6,Lone Druid,1.12%,49.93%,"18,952"
7,Monkey King,1.10%,48.03%,"168,372"
8,Techies,1.04%,48.30%,"159,691"
9,Zeus,0.96%,45.12%,"161,611"
10,Dragon Knight,0.93%,47.22%,"109,387"
11,Tusk,0.83%,51.92%,"56,515"
12,Wraith King,0.82%,44.40%,"156,175"
13,Lina,0.82%,50.36%,"231,722"
14,Spirit Breaker,0.80%,46.80%,"128,721"
15,Lion,0.78%,48.42%,"328,252"
16,Io,0.77%,50.52%,"28,880"
17,Lifestealer,0.76%,47.13%,"112,075"
18,Outworld Destroyer,0.75%,47.49%,"89,582"
19,Windranger,0.75%,46.88%,"232,641"
20,Terrorblade,0.74%,51.08%,"54,060"
21,Pudge,0.70%,46.65%,"368,278"
22,Doom,0.62%,52.32%,"60,591"
23,Shadow Demon,0.62%,49.23%,"36,812"
24,Hoodwink,0.60%,46.80%,"166,875"
25,Vengeful Spirit,0.60%,44.95%,"96,105"
26,Enchantress,0.60%,52.58%,"38,230"
27,Slardar,0.56%,47.16%,"94,381"
28,Shadow Shaman,0.54%,46.01%,"174,313"
29,Tinker,0.47%,49.35%,"148,528"
30,Luna,0.46%,44.41%,"199,537"
31,Troll Warlord,0.46%,48.82%,"62,744"
32,Medusa,0.46%,44.77%,"130,353"
33,Bristleback,0.41%,46.74%,"179,451"
34,Invoker,0.36%,48.89%,"300,513"
35,Earth Spirit,0.34%,50.18%,"49,829"
36,Leshrac,0.33%,50.46%,"46,796"
37,Earthshaker,0.33%,49.15%,"124,000"
38,Arc Warden,0.32%,44.82%,"58,152"
39,Nature's Prophet,0.28%,56.08%,"84,260"
40,Phantom Lancer,0.27%,46.66%,"115,923"
41,Magnus,0.21%,49.53%,"91,194"
