,counter_hero,disadv,certain_win,num_match
0,Meepo,5.45%,41.92%,"30,819"
1,Phantom Lancer,3.25%,47.05%,"113,749"
2,Terrorblade,2.82%,52.28%,"49,132"
3,Lone Druid,2.51%,51.85%,"16,422"
4,Naga Siren,2.39%,46.98%,"26,713"
5,Spectre,2.39%,46.43%,"141,810"
6,Visage,1.93%,48.95%,"11,798"
7,Enchantress,1.58%,54.88%,"33,815"
8,Drow Ranger,1.52%,49.05%,"150,420"
9,Dawnbreaker,1.43%,49.87%,"76,792"
10,Broodmother,1.41%,50.46%,"24,812"
11,Gyrocopter,1.34%,52.21%,"97,768"
12,Chaos Knight,1.28%,48.43%,"89,518"
13,Nature's Prophet,1.27%,58.32%,"73,081"
14,Omniknight,1.26%,45.99%,"35,726"
15,Tiny,1.24%,56.16%,"72,599"
16,Sniper,1.22%,49.58%,"217,055"
17,Dark Seer,1.22%,45.71%,"41,263"
18,Silencer,1.15%,45.96%,"149,282"
19,Timbersaw,1.14%,53.70%,"78,923"
20,Arc Warden,1.07%,47.68%,"43,098"
21,Pugna,1.04%,53.71%,"53,152"
22,Abaddon,1.00%,47.30%,"70,303"
23,Rubick,0.98%,55.68%,"160,818"
24,Tidehunter,0.97%,50.43%,"103,232"
25,Alchemist,0.95%,54.52%,"42,140"
26,Luna,0.93%,47.43%,"184,871"
27,Beastmaster,0.87%,51.20%,"19,540"
28,Warlock,0.84%,49.39%,"54,453"
29,Phantom Assassin,0.83%,53.73%,"191,043"
30,Mars,0.79%,53.52%,"101,761"
31,Chen,0.74%,52.90%,"9,034"
32,Tusk,0.70%,55.56%,"63,379"
33,Io,0.67%,53.97%,"22,665"
34,Invoker,0.67%,52.03%,"240,604"
35,Witch Doctor,0.64%,51.75%,"176,747"
36,Hoodwink,0.63%,50.24%,"145,180"
37,Snapfire,0.63%,54.91%,"64,256"
38,Lycan,0.55%,49.33%,"30,998"
39,Dark Willow,0.44%,50.77%,"93,725"
40,Mirana,0.43%,49.12%,"172,556"
