,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,4.04%,48.46%,"82,012"
1,Naga Siren,3.68%,47.79%,"20,836"
2,Abaddon,3.16%,47.13%,"44,651"
3,Broodmother,3.03%,49.66%,"18,640"
4,Lycan,2.96%,55.81%,"8,293"
5,Arc Warden,2.91%,47.37%,"29,137"
6,Legion Commander,2.35%,51.22%,"118,486"
7,Tidehunter,2.31%,51.26%,"62,636"
8,Lone Druid,2.27%,55.97%,"11,834"
9,Nature's Prophet,2.26%,59.35%,"52,482"
10,Enchantress,2.18%,55.93%,"31,499"
11,Chen,2.17%,56.92%,"4,538"
12,Spectre,1.98%,47.88%,"103,636"
13,Sniper,1.88%,51.89%,"152,415"
14,Wraith King,1.80%,48.26%,"120,359"
15,Terrorblade,1.77%,53.92%,"41,605"
16,Io,1.68%,57.33%,"15,262"
17,Oracle,1.66%,54.62%,"28,145"
18,Luna,1.65%,49.25%,"100,206"
19,Shadow Fiend,1.60%,54.02%,"126,996"
20,Slark,1.49%,51.42%,"114,558"
21,Chaos Knight,1.45%,48.70%,"64,756"
22,Brewmaster,1.33%,51.78%,"10,683"
23,Medusa,1.33%,49.54%,"93,679"
24,Techies,1.25%,53.59%,"81,839"
25,Huskar,1.09%,50.62%,"61,810"
26,Morphling,1.00%,53.61%,"67,784"
27,Lifestealer,0.98%,51.52%,"74,488"
28,Tusk,0.97%,57.00%,"37,312"
29,Night Stalker,0.97%,51.87%,"27,211"
30,Mirana,0.95%,50.90%,"108,974"
31,Bloodseeker,0.90%,50.92%,"50,399"
32,Tiny,0.90%,58.78%,"53,977"
33,Doom,0.86%,56.68%,"49,698"
34,Warlock,0.86%,50.79%,"49,193"
35,Bounty Hunter,0.79%,52.85%,"72,669"
36,Rubick,0.75%,57.60%,"104,477"
37,Shadow Demon,0.73%,55.17%,"22,369"
38,Clinkz,0.73%,49.93%,"45,812"
39,Razor,0.70%,52.43%,"43,439"
40,Zeus,0.66%,50.91%,"106,008"
41,Invoker,0.65%,53.37%,"156,852"
42,Disruptor,0.63%,52.98%,"63,687"
43,Alchemist,0.57%,56.87%,"29,532"
44,Magnus,0.56%,55.01%,"55,749"
45,Skywrath Mage,0.52%,52.14%,"87,901"
46,Mars,0.51%,55.78%,"75,659"
47,Windranger,0.50%,51.96%,"140,931"
48,Pangolier,0.46%,55.73%,"32,368"
49,Lina,0.39%,56.01%,"118,300"
50,Clockwerk,0.39%,53.82%,"41,653"
51,Templar Assassin,0.35%,54.11%,"73,482"
52,Vengeful Spirit,0.34%,52.69%,"43,830"
53,Spirit Breaker,0.33%,52.44%,"71,340"
54,Ogre Magi,0.28%,50.21%,"159,223"
55,Keeper of the Light,0.27%,55.98%,"32,519"
56,Venomancer,0.26%,52.88%,"64,385"
57,Dragon Knight,0.21%,52.03%,"82,629"
58,Earth Spirit,0.18%,56.38%,"27,636"
59,Troll Warlord,0.17%,55.02%,"45,288"
60,Drow Ranger,0.15%,50.66%,"113,308"
61,Dark Willow,0.13%,52.59%,"59,147"
62,Jakiro,0.12%,51.78%,"63,766"
63,Elder Titan,0.06%,51.84%,"15,807"
64,Phantom Assassin,0.05%,56.41%,"136,714"
65,Witch Doctor,0.04%,54.35%,"120,185"
66,Hoodwink,0.04%,52.22%,"89,309"
67,Winter Wyvern,0.03%,50.28%,"83,497"
68,Snapfire,0.02%,57.28%,"61,973"
69,Lich,-0.02%,54.38%,"63,144"
70,Gyrocopter,-0.02%,55.02%,"46,460"
71,Visage,-0.03%,52.68%,"7,745"
72,Centaur Warrunner,-0.04%,51.69%,"63,000"
73,Sand King,-0.07%,50.06%,"75,882"
74,Treant Protector,-0.08%,50.98%,"52,205"
75,Slardar,-0.08%,53.17%,"67,586"
76,Nyx Assassin,-0.08%,51.14%,"54,782"
77,Earthshaker,-0.16%,56.03%,"82,273"
78,Axe,-0.16%,51.73%,"136,246"
79,Juggernaut,-0.18%,52.68%,"167,610"
80,Meepo,-0.18%,48.33%,"20,000"
81,Monkey King,-0.18%,56.77%,"78,355"
82,Pugna,-0.23%,55.86%,"39,450"
83,Sven,-0.26%,56.62%,"55,217"
84,Outworld Destroyer,-0.32%,53.69%,"55,477"
85,Tinker,-0.35%,53.79%,"57,874"
86,Phoenix,-0.36%,57.38%,"36,976"
87,Omniknight,-0.36%,50.93%,"22,102"
88,Undying,-0.40%,53.66%,"45,983"
89,Pudge,-0.40%,53.57%,"217,544"
90,Crystal Maiden,-0.48%,53.53%,"107,361"
91,Ursa,-0.49%,53.84%,"88,846"
92,Dark Seer,-0.51%,48.35%,"27,269"
93,Batrider,-0.54%,60.33%,"11,561"
94,Death Prophet,-0.57%,58.23%,"28,042"
95,Queen of Pain,-0.61%,57.19%,"67,963"
96,Grimstroke,-0.62%,54.20%,"77,486"
97,Leshrac,-0.63%,56.89%,"36,122"
98,Dazzle,-0.63%,50.76%,"87,126"
99,Kunkka,-0.65%,55.06%,"60,630"
100,Void Spirit,-0.67%,56.80%,"41,179"
101,Viper,-0.68%,55.66%,"99,206"
102,Lion,-0.69%,54.48%,"220,154"
103,Anti-Mage,-0.80%,54.49%,"107,510"
104,Ancient Apparition,-0.83%,49.70%,"100,239"
105,Dawnbreaker,-0.83%,54.54%,"51,146"
106,Beastmaster,-0.88%,61.26%,"7,941"
107,Underlord,-0.89%,48.84%,"42,025"
108,Faceless Void,-1.10%,55.21%,"110,056"
109,Ember Spirit,-1.36%,58.97%,"59,165"
110,Weaver,-1.38%,56.06%,"57,664"
111,Riki,-1.41%,51.65%,"71,032"
112,Storm Spirit,-1.46%,58.06%,"71,278"
113,Bane,-1.55%,56.70%,"18,193"
114,Puck,-1.67%,56.14%,"81,686"
115,Shadow Shaman,-1.75%,53.44%,"125,124"
116,Enigma,-2.31%,51.54%,"59,085"
117,Necrophos,-2.57%,52.73%,"63,508"
118,Timbersaw,-3.67%,59.56%,"58,774"
119,Bristleback,-4.78%,56.29%,"139,057"
