,counter_hero,disadv,certain_win,num_match
0,Oracle,2.59%,51.01%,"26,546"
1,Lycan,2.49%,53.64%,"8,190"
2,Lone Druid,2.44%,53.10%,"10,737"
3,Wraith King,2.24%,45.22%,"110,523"
4,Tidehunter,2.19%,48.73%,"56,326"
5,Spectre,2.18%,45.08%,"92,127"
6,Chaos Knight,2.10%,45.42%,"59,267"
7,Medusa,1.93%,46.32%,"76,611"
8,Anti-Mage,1.78%,49.30%,"110,651"
9,Phantom Lancer,1.74%,48.13%,"73,822"
10,Pugna,1.68%,51.25%,"43,781"
11,Abaddon,1.64%,46.08%,"41,115"
12,Naga Siren,1.61%,47.33%,"18,561"
13,Shadow Demon,1.58%,51.64%,"21,872"
14,Visage,1.49%,48.45%,"7,860"
15,Templar Assassin,1.45%,50.35%,"68,801"
16,Nature's Prophet,1.44%,57.45%,"47,872"
17,Centaur Warrunner,1.13%,47.87%,"55,909"
18,Tusk,1.10%,54.23%,"38,412"
19,Death Prophet,1.03%,53.85%,"25,189"
20,Spirit Breaker,1.02%,49.10%,"68,807"
21,Bristleback,0.90%,48.15%,"119,816"
22,Vengeful Spirit,0.84%,49.53%,"40,483"
23,Tiny,0.81%,56.19%,"52,186"
24,Enchantress,0.77%,54.73%,"31,108"
25,Bane,0.75%,51.61%,"16,027"
26,Dragon Knight,0.74%,48.86%,"72,582"
27,Night Stalker,0.74%,49.46%,"26,383"
28,Earth Spirit,0.74%,53.15%,"26,126"
29,Io,0.64%,55.74%,"14,268"
30,Chen,0.59%,55.93%,"4,438"
31,Void Spirit,0.55%,52.90%,"39,861"
32,Snapfire,0.55%,54.07%,"56,144"
33,Dazzle,0.54%,46.96%,"76,565"
34,Warlock,0.54%,48.48%,"42,444"
35,Broodmother,0.50%,49.65%,"18,243"
36,Sven,0.49%,53.17%,"49,844"
37,Legion Commander,0.47%,50.41%,"105,862"
38,Meepo,0.43%,45.05%,"19,781"
39,Razor,0.42%,50.06%,"38,817"
40,Clockwerk,0.40%,51.16%,"38,508"
41,Phantom Assassin,0.38%,53.40%,"124,906"
42,Crystal Maiden,0.37%,50.04%,"95,170"
43,Arc Warden,0.36%,47.40%,"26,152"
44,Mars,0.34%,53.29%,"71,567"
45,Terrorblade,0.33%,52.72%,"35,892"
46,Batrider,0.32%,56.76%,"11,018"
47,Ember Spirit,0.28%,54.62%,"53,259"
48,Shadow Shaman,0.28%,48.83%,"112,836"
49,Lich,0.28%,51.42%,"57,647"
50,Kunkka,0.25%,51.48%,"55,702"
51,Shadow Fiend,0.22%,52.69%,"122,040"
52,Grimstroke,0.21%,50.72%,"70,203"
53,Undying,0.20%,50.38%,"40,468"
54,Bounty Hunter,0.18%,50.80%,"68,967"
55,Riki,0.17%,47.41%,"67,390"
56,Luna,0.16%,48.10%,"86,905"
57,Disruptor,0.16%,50.80%,"56,122"
58,Rubick,0.14%,55.50%,"94,742"
59,Alchemist,0.12%,54.64%,"26,913"
60,Doom,0.12%,54.75%,"45,454"
61,Witch Doctor,0.11%,51.61%,"104,710"
62,Lion,0.11%,51.09%,"197,937"
63,Mirana,0.09%,49.12%,"96,475"
64,Sand King,0.09%,47.28%,"68,295"
65,Slardar,0.07%,50.36%,"60,278"
66,Clinkz,0.04%,48.01%,"41,533"
67,Omniknight,0.04%,47.89%,"18,924"
68,Puck,0.02%,51.79%,"71,666"
69,Dark Willow,0.01%,50.07%,"54,865"
70,Ogre Magi,-0.01%,47.86%,"141,772"
71,Beastmaster,-0.04%,57.66%,"7,165"
72,Jakiro,-0.05%,49.32%,"56,967"
73,Pudge,-0.06%,50.61%,"203,454"
74,Earthshaker,-0.07%,53.25%,"72,108"
75,Lina,-0.09%,53.80%,"109,624"
76,Leshrac,-0.23%,53.81%,"33,026"
77,Nyx Assassin,-0.24%,48.65%,"52,936"
78,Dawnbreaker,-0.25%,51.29%,"47,444"
79,Windranger,-0.31%,50.09%,"130,814"
80,Queen of Pain,-0.31%,54.19%,"60,390"
81,Venomancer,-0.32%,50.81%,"57,380"
82,Magnus,-0.34%,53.25%,"48,844"
83,Techies,-0.35%,52.54%,"79,470"
