,counter_hero,disadv,certain_win,num_match
0,Terrorblade,4.76%,47.77%,"33,134"
1,Naga Siren,4.00%,44.46%,"15,841"
2,Phantom Lancer,3.94%,45.53%,"64,743"
3,Tidehunter,3.09%,47.40%,"52,581"
4,Luna,2.71%,45.20%,"78,027"
5,Troll Warlord,2.51%,49.51%,"37,802"
6,Medusa,2.43%,45.44%,"70,038"
7,Windranger,1.97%,47.49%,"107,261"
8,Drow Ranger,1.80%,46.03%,"82,011"
9,Beastmaster,1.69%,55.35%,"6,342"
10,Chaos Knight,1.40%,45.75%,"50,529"
11,Venomancer,1.37%,48.68%,"46,983"
12,Templar Assassin,1.29%,50.07%,"54,923"
13,Meepo,1.25%,43.91%,"14,456"
14,Ogre Magi,1.22%,46.30%,"120,576"
15,Dragon Knight,1.09%,48.10%,"71,579"
16,Omniknight,1.09%,46.40%,"16,495"
17,Dark Willow,1.06%,48.59%,"44,590"
18,Enchantress,1.00%,53.96%,"24,221"
19,Shadow Shaman,0.99%,47.72%,"91,206"
20,Lich,0.95%,50.29%,"48,564"
21,Razor,0.92%,49.12%,"35,057"
22,Shadow Demon,0.92%,51.84%,"17,364"
23,Treant Protector,0.89%,46.97%,"42,613"
24,Clockwerk,0.85%,50.25%,"33,169"
25,Gyrocopter,0.80%,51.06%,"37,880"
26,Phoenix,0.78%,53.03%,"28,105"
27,Lion,0.75%,50.07%,"158,837"
28,Morphling,0.74%,50.77%,"53,453"
29,Juggernaut,0.70%,48.80%,"131,573"
30,Hoodwink,0.70%,48.52%,"69,254"
31,Enigma,0.69%,45.52%,"29,657"
32,Phantom Assassin,0.64%,52.67%,"101,078"
33,Slark,0.63%,49.19%,"90,220"
34,Magnus,0.57%,51.89%,"46,144"
35,Brewmaster,0.56%,49.52%,"8,782"
36,Vengeful Spirit,0.50%,49.45%,"33,270"
37,Winter Wyvern,0.49%,46.82%,"59,735"
38,Tiny,0.48%,55.99%,"44,038"
39,Witch Doctor,0.47%,50.81%,"86,023"
40,Huskar,0.47%,48.22%,"45,655"
41,Queen of Pain,0.46%,52.93%,"52,050"
42,Tusk,0.45%,54.40%,"33,068"
43,Abaddon,0.43%,46.92%,"34,758"
44,Rubick,0.42%,54.73%,"79,792"
45,Pangolier,0.40%,52.67%,"27,778"
46,Elder Titan,0.39%,48.45%,"12,780"
47,Earthshaker,0.30%,52.42%,"64,198"
48,Batrider,0.24%,56.33%,"9,562"
49,Mars,0.24%,52.93%,"66,070"
50,Monkey King,0.18%,53.22%,"58,965"
51,Silencer,0.17%,46.83%,"67,586"
52,Crystal Maiden,0.09%,49.88%,"78,856"
53,Tinker,0.08%,50.28%,"47,551"
54,Void Spirit,0.07%,52.92%,"34,068"
55,Bloodseeker,0.06%,48.72%,"39,746"
56,Dark Seer,0.04%,44.81%,"21,424"
57,Dazzle,0.04%,47.08%,"58,499"
58,Jakiro,0.03%,48.82%,"49,394"
59,Leshrac,0.02%,53.07%,"28,416"
60,Necrophos,0.02%,47.08%,"47,533"
61,Lina,0.01%,53.22%,"87,724"
62,Puck,-0.01%,51.37%,"63,950"
63,Snapfire,-0.05%,54.18%,"49,239"
64,Axe,-0.06%,48.59%,"113,974"
65,Skywrath Mage,-0.06%,49.63%,"60,277"
66,Visage,-0.07%,49.66%,"5,965"
67,Ember Spirit,-0.07%,54.49%,"48,166"
68,Techies,-0.12%,51.83%,"57,389"
69,Spirit Breaker,-0.15%,49.85%,"58,472"
70,Pugna,-0.19%,52.65%,"29,118"
71,Sniper,-0.21%,50.79%,"108,269"
72,Disruptor,-0.23%,50.75%,"48,286"
73,Keeper of the Light,-0.26%,53.36%,"25,439"
74,Wraith King,-0.33%,47.34%,"91,986"
75,Mirana,-0.34%,49.12%,"91,970"
76,Undying,-0.42%,50.58%,"34,933"
77,Ancient Apparition,-0.43%,46.33%,"76,036"
78,Grimstroke,-0.44%,50.93%,"59,754"
79,Nature's Prophet,-0.46%,58.80%,"38,936"
80,Shadow Fiend,-0.47%,52.88%,"91,896"
81,Doom,-0.48%,54.86%,"40,098"
82,Chen,-0.55%,56.57%,"3,643"
83,Night Stalker,-0.56%,50.38%,"22,558"
84,Storm Spirit,-0.57%,54.01%,"58,320"
85,Zeus,-0.58%,49.08%,"76,899"
86,Earth Spirit,-0.59%,54.03%,"22,243"
87,Oracle,-0.62%,53.83%,"22,034"
88,Underlord,-0.68%,45.64%,"34,315"
89,Legion Commander,-0.69%,51.09%,"94,346"
90,Io,-0.72%,56.63%,"12,239"
91,Outworld Destroyer,-0.79%,51.06%,"41,480"
92,Timbersaw,-0.81%,53.55%,"52,921"
93,Arc Warden,-0.83%,48.23%,"21,136"
94,Sand King,-0.91%,47.88%,"63,993"
95,Viper,-1.03%,52.86%,"73,380"
96,Invoker,-1.06%,51.89%,"119,999"
97,Dawnbreaker,-1.11%,51.72%,"41,301"
98,Weaver,-1.11%,52.65%,"47,950"
99,Faceless Void,-1.12%,52.11%,"87,573"
100,Kunkka,-1.13%,52.40%,"47,799"
101,Broodmother,-1.14%,50.91%,"14,638"
102,Centaur Warrunner,-1.24%,49.83%,"52,520"
103,Bounty Hunter,-1.24%,51.78%,"77,233"
104,Sven,-1.30%,54.50%,"44,201"
105,Bane,-1.37%,53.33%,"13,047"
106,Lone Druid,-1.37%,56.55%,"9,098"
107,Ursa,-1.43%,51.68%,"69,765"
108,Warlock,-1.50%,50.14%,"37,518"
109,Death Prophet,-1.51%,55.97%,"21,202"
110,Alchemist,-1.53%,55.85%,"24,260"
111,Lycan,-1.67%,57.42%,"6,350"
112,Spectre,-1.73%,48.52%,"80,079"
113,Pudge,-1.75%,51.70%,"174,027"
114,Nyx Assassin,-1.81%,49.83%,"45,509"
115,Lifestealer,-1.88%,51.30%,"59,333"
116,Riki,-2.20%,49.37%,"68,325"
117,Bristleback,-2.31%,50.82%,"113,701"
118,Clinkz,-2.98%,50.69%,"34,602"
119,Anti-Mage,-4.97%,55.45%,"79,631"
