,counter_hero,disadv,certain_win,num_match
0,Necrophos,3.33%,43.66%,"81,134"
1,Disruptor,3.23%,47.42%,"79,255"
2,Grimstroke,2.89%,47.77%,"100,639"
3,Leshrac,2.69%,50.68%,"48,822"
4,Outworld Destroyer,2.58%,47.80%,"70,280"
5,Techies,2.55%,49.41%,"94,372"
6,Pugna,2.52%,50.16%,"47,026"
7,Mars,2.44%,51.08%,"111,820"
8,Ancient Apparition,2.36%,43.52%,"114,401"
9,Doom,2.10%,52.65%,"64,135"
10,Puck,2.06%,49.55%,"110,338"
11,Windranger,1.95%,47.62%,"179,537"
12,Lion,1.87%,49.26%,"276,603"
13,Tiny,1.83%,55.21%,"75,800"
14,Bloodseeker,1.75%,46.99%,"89,935"
15,Riki,1.67%,45.50%,"92,129"
16,Lina,1.46%,52.18%,"149,906"
17,Shadow Fiend,1.46%,51.34%,"162,208"
18,Earthshaker,1.45%,51.61%,"107,098"
19,Sand King,1.38%,45.59%,"97,504"
20,Night Stalker,1.29%,48.63%,"34,363"
21,Invoker,1.21%,49.98%,"207,878"
22,Lone Druid,1.20%,54.37%,"15,163"
23,Crystal Maiden,1.17%,49.00%,"135,191"
24,Hoodwink,1.16%,48.19%,"119,086"
25,Naga Siren,1.15%,47.49%,"25,269"
26,Snapfire,1.12%,53.46%,"87,248"
27,Clockwerk,1.06%,50.29%,"56,434"
28,Huskar,1.04%,47.72%,"79,151"
29,Viper,0.97%,51.19%,"120,052"
30,Skywrath Mage,0.92%,48.81%,"100,009"
31,Omniknight,0.92%,46.60%,"27,520"
32,Phantom Lancer,0.91%,48.67%,"101,643"
33,Dawnbreaker,0.91%,49.89%,"69,081"
34,Death Prophet,0.91%,53.91%,"33,577"
35,Elder Titan,0.91%,48.03%,"20,468"
36,Keeper of the Light,0.87%,52.58%,"43,346"
37,Void Spirit,0.83%,52.53%,"60,893"
38,Shadow Demon,0.79%,52.32%,"29,308"
39,Gyrocopter,0.79%,51.37%,"63,310"
40,Razor,0.78%,49.44%,"53,811"
41,Timbersaw,0.76%,52.37%,"97,167"
42,Io,0.75%,55.66%,"20,837"
43,Legion Commander,0.73%,49.94%,"163,880"
44,Drow Ranger,0.72%,47.12%,"138,904"
45,Phantom Assassin,0.71%,53.02%,"189,079"
46,Weaver,0.70%,51.10%,"78,597"
47,Mirana,0.67%,48.25%,"148,673"
48,Chaos Knight,0.61%,46.58%,"76,741"
49,Enchantress,0.53%,54.91%,"39,462"
50,Pangolier,0.51%,52.95%,"47,474"
51,Beastmaster,0.51%,57.17%,"10,233"
52,Enigma,0.50%,45.68%,"50,450"
53,Storm Spirit,0.49%,53.38%,"102,132"
54,Dark Willow,0.48%,49.35%,"77,544"
55,Zeus,0.47%,48.15%,"122,573"
56,Magnus,0.45%,52.35%,"79,038"
57,Oracle,0.43%,53.17%,"39,594"
58,Tusk,0.40%,55.03%,"62,993"
59,Spectre,0.33%,46.46%,"152,110"
60,Vengeful Spirit,0.22%,49.93%,"56,997"
61,Kunkka,0.08%,51.48%,"83,298"
62,Visage,-0.03%,49.80%,"10,424"
63,Chen,-0.04%,56.61%,"6,230"
