,counter_hero,disadv,certain_win,num_match
0,Faceless Void,1.47%,45.47%,"83,439"
1,Windranger,1.13%,44.17%,"105,470"
2,Pangolier,0.98%,47.95%,"30,843"
3,Doom,0.93%,49.29%,"39,833"
4,Bane,0.88%,46.88%,"13,367"
5,Timbersaw,0.80%,47.79%,"55,203"
6,Storm Spirit,0.79%,48.52%,"58,407"
7,Outworld Destroyer,0.78%,45.35%,"41,679"
8,Weaver,0.76%,46.63%,"40,776"
9,Bristleback,0.75%,43.77%,"93,570"
10,Oracle,0.73%,48.32%,"24,069"
11,Beastmaster,0.73%,52.19%,"6,128"
12,Death Prophet,0.64%,49.60%,"19,823"
13,Bounty Hunter,0.60%,45.82%,"49,682"
14,Tinker,0.59%,45.63%,"48,688"
15,Bloodseeker,0.57%,44.10%,"33,867"
16,Keeper of the Light,0.56%,48.37%,"25,476"
17,Batrider,0.56%,51.87%,"10,179"
18,Void Spirit,0.55%,48.29%,"36,244"
19,Nyx Assassin,0.55%,43.31%,"44,846"
20,Ursa,0.53%,45.62%,"76,627"
21,Lifestealer,0.53%,44.79%,"57,855"
22,Juggernaut,0.52%,44.85%,"127,384"
23,Mirana,0.49%,44.18%,"87,752"
24,Razor,0.43%,45.48%,"31,955"
25,Night Stalker,0.42%,45.23%,"21,476"
26,Visage,0.41%,45.01%,"6,369"
27,Lina,0.40%,48.71%,"88,014"
28,Clinkz,0.39%,43.17%,"28,823"
29,Puck,0.37%,46.85%,"68,259"
30,Centaur Warrunner,0.33%,44.11%,"50,539"
31,Shadow Fiend,0.32%,48.00%,"92,138"
32,Sven,0.29%,48.75%,"38,876"
33,Brewmaster,0.28%,45.66%,"9,177"
34,Terrorblade,0.28%,48.18%,"33,759"
35,Ogre Magi,0.27%,43.08%,"118,093"
36,Broodmother,0.27%,45.33%,"15,373"
37,Magnus,0.22%,48.09%,"50,691"
38,Troll Warlord,0.21%,47.70%,"31,143"
39,Alchemist,0.20%,49.91%,"21,609"
40,Templar Assassin,0.19%,47.02%,"56,137"
41,Mars,0.19%,48.82%,"69,061"
42,Silencer,0.16%,42.72%,"61,975"
43,Tiny,0.13%,52.21%,"45,730"
44,Tusk,0.12%,50.60%,"35,780"
45,Shadow Demon,0.09%,48.55%,"17,865"
46,Riki,0.09%,43.01%,"48,530"
47,Spectre,0.08%,42.63%,"77,228"
48,Slardar,0.06%,45.82%,"49,236"
49,Spirit Breaker,0.05%,45.52%,"54,459"
50,Rubick,0.03%,50.96%,"86,734"
51,Hoodwink,0.01%,45.06%,"75,868"
52,Dawnbreaker,0.00%,46.45%,"41,970"
53,Morphling,-0.01%,47.38%,"56,419"
54,Ember Spirit,-0.01%,50.29%,"49,281"
55,Enchantress,-0.01%,50.86%,"24,715"
56,Enigma,-0.01%,42.11%,"29,561"
57,Lich,-0.01%,47.12%,"50,159"
58,Kunkka,-0.04%,47.18%,"45,043"
59,Invoker,-0.05%,46.81%,"123,658"
60,Queen of Pain,-0.05%,49.30%,"49,739"
61,Abaddon,-0.06%,43.30%,"32,179"
62,Lycan,-0.07%,51.61%,"6,109"
63,Disruptor,-0.10%,46.48%,"50,292"
64,Leshrac,-0.14%,49.11%,"30,876"
65,Phantom Assassin,-0.14%,49.30%,"96,762"
66,Ancient Apparition,-0.16%,41.92%,"81,297"
67,Dragon Knight,-0.17%,45.22%,"63,781"
68,Techies,-0.18%,47.77%,"58,518"
69,Zeus,-0.22%,44.61%,"68,386"
70,Wraith King,-0.27%,43.16%,"87,169"
71,Earthshaker,-0.27%,48.85%,"63,592"
72,Vengeful Spirit,-0.33%,46.15%,"33,644"
73,Gyrocopter,-0.34%,48.07%,"36,227"
74,Venomancer,-0.35%,46.27%,"47,186"
75,Winter Wyvern,-0.36%,43.52%,"66,189"
76,Elder Titan,-0.38%,45.10%,"13,045"
77,Dark Willow,-0.40%,45.91%,"48,260"
78,Viper,-0.40%,48.12%,"69,377"
79,Lion,-0.47%,47.05%,"167,297"
80,Crystal Maiden,-0.48%,46.31%,"78,585"
81,Phoenix,-0.48%,50.23%,"49,432"
82,Skywrath Mage,-0.49%,45.93%,"56,142"
83,Arc Warden,-0.49%,43.75%,"22,082"
84,Witch Doctor,-0.51%,47.62%,"88,182"
85,Huskar,-0.51%,45.09%,"40,000"
86,Dazzle,-0.55%,43.54%,"60,649"
