,counter_hero,disadv,certain_win,num_match
0,Morphling,4.53%,46.94%,"124,709"
1,Spectre,4.01%,43.72%,"219,131"
2,Storm Spirit,3.16%,49.66%,"156,611"
3,Nature's Prophet,3.02%,56.28%,"108,937"
4,Phantom Assassin,2.80%,51.21%,"298,039"
5,Mars,2.47%,51.06%,"111,945"
6,Enchantress,2.34%,53.65%,"49,578"
7,Pudge,2.27%,47.80%,"413,732"
8,Centaur Warrunner,2.17%,46.33%,"94,094"
9,Zeus,1.89%,46.74%,"214,530"
10,Clockwerk,1.73%,49.65%,"68,047"
11,Earth Spirit,1.57%,51.55%,"47,727"
12,Snapfire,1.37%,53.49%,"76,965"
13,Anti-Mage,1.33%,48.88%,"189,278"
14,Weaver,1.30%,50.44%,"126,552"
15,Brewmaster,1.30%,48.47%,"25,517"
16,Timbersaw,1.21%,52.96%,"91,541"
17,Axe,1.06%,47.74%,"225,128"
18,Tusk,1.02%,54.53%,"67,810"
19,Faceless Void,0.99%,51.21%,"193,103"
20,Rubick,0.95%,55.11%,"181,882"
21,Shadow Fiend,0.95%,51.81%,"255,367"
22,Slark,0.94%,47.27%,"250,353"
23,Troll Warlord,0.90%,51.12%,"79,262"
24,Nyx Assassin,0.84%,47.56%,"89,694"
25,Tinker,0.78%,51.76%,"145,829"
26,Arc Warden,0.75%,47.11%,"56,615"
27,Spirit Breaker,0.74%,49.53%,"161,900"
28,Windranger,0.69%,49.61%,"280,232"
29,Void Spirit,0.67%,50.71%,"92,081"
30,Bounty Hunter,0.64%,50.82%,"156,510"
31,Mirana,0.63%,48.07%,"215,751"
32,Doom,0.60%,55.17%,"70,396"
33,Skywrath Mage,0.59%,48.17%,"160,985"
34,Lycan,0.59%,48.44%,"43,141"
35,Ursa,0.50%,50.10%,"126,380"
36,Io,0.48%,53.57%,"29,583"
37,Legion Commander,0.43%,49.19%,"222,023"
38,Queen of Pain,0.40%,52.57%,"143,666"
39,Pangolier,0.38%,52.68%,"74,027"
40,Oracle,0.38%,53.08%,"44,587"
41,Ember Spirit,0.33%,54.95%,"101,584"
42,Tiny,0.33%,56.57%,"87,104"
43,Techies,0.32%,51.81%,"182,279"
44,Lifestealer,0.32%,50.30%,"123,528"
45,Bristleback,0.20%,49.61%,"224,123"
46,Magnus,0.19%,52.26%,"99,539"
47,Viper,0.05%,52.83%,"189,424"
48,Batrider,0.04%,55.49%,"26,310"
49,Outworld Destroyer,0.04%,50.98%,"101,140"
50,Lion,-0.01%,51.89%,"382,134"
51,Invoker,-0.05%,52.04%,"308,995"
52,Phantom Lancer,-0.06%,49.66%,"138,236"
53,Hoodwink,-0.10%,50.21%,"178,134"
54,Slardar,-0.12%,50.55%,"121,751"
55,Juggernaut,-0.13%,49.94%,"289,125"
56,Ogre Magi,-0.13%,47.44%,"301,926"
57,Alchemist,-0.14%,55.15%,"54,924"
58,Phoenix,-0.15%,54.23%,"52,399"
59,Chaos Knight,-0.17%,49.11%,"116,295"
60,Dazzle,-0.17%,47.44%,"150,807"
61,Chen,-0.18%,53.26%,"11,976"
62,Lone Druid,-0.24%,54.28%,"23,420"
63,Bane,-0.24%,50.42%,"39,998"
64,Witch Doctor,-0.29%,51.98%,"203,039"
65,Crystal Maiden,-0.36%,50.91%,"184,097"
66,Dark Willow,-0.36%,50.85%,"115,274"
67,Meepo,-0.36%,47.24%,"39,191"
68,Lich,-0.38%,51.61%,"117,212"
69,Broodmother,-0.40%,51.67%,"30,090"
70,Warlock,-0.40%,49.91%,"67,863"
71,Keeper of the Light,-0.40%,53.49%,"113,715"
72,Bloodseeker,-0.41%,48.74%,"105,831"
73,Shadow Demon,-0.48%,53.16%,"42,983"
74,Dragon Knight,-0.51%,51.42%,"134,820"
75,Treant Protector,-0.52%,48.54%,"92,420"
76,Ancient Apparition,-0.55%,47.40%,"159,306"
77,Elder Titan,-0.56%,50.64%,"25,669"
78,Lina,-0.59%,54.56%,"243,305"
79,Undying,-0.60%,52.21%,"111,675"
80,Huskar,-0.64%,49.19%,"124,025"
81,Grimstroke,-0.68%,51.76%,"128,245"
82,Tidehunter,-0.68%,51.40%,"121,308"
83,Abaddon,-0.71%,48.23%,"85,827"
84,Gyrocopter,-0.72%,53.69%,"119,315"
85,Dark Seer,-0.75%,46.88%,"51,581"
86,Clinkz,-0.76%,48.45%,"125,064"
87,Razor,-0.77%,52.18%,"74,573"
88,Vengeful Spirit,-0.78%,49.03%,"113,778"
89,Naga Siren,-0.83%,49.61%,"35,827"
90,Death Prophet,-0.89%,56.78%,"41,110"
91,Visage,-0.90%,51.23%,"15,223"
92,Terrorblade,-0.91%,55.62%,"58,671"
93,Kunkka,-0.92%,52.12%,"126,404"
94,Pugna,-0.92%,55.27%,"71,601"
95,Jakiro,-0.94%,49.46%,"120,496"
96,Dawnbreaker,-0.94%,51.62%,"95,301"
97,Earthshaker,-0.98%,53.27%,"156,714"
98,Monkey King,-1.02%,52.98%,"177,773"
99,Disruptor,-1.05%,50.83%,"112,577"
100,Shadow Shaman,-1.20%,50.42%,"217,053"
101,Riki,-1.21%,48.99%,"148,828"
102,Night Stalker,-1.21%,49.80%,"63,042"
103,Puck,-1.29%,54.42%,"106,130"
104,Templar Assassin,-1.32%,53.16%,"126,154"
105,Winter Wyvern,-1.39%,49.27%,"143,277"
106,Leshrac,-1.42%,55.09%,"51,618"
107,Sven,-1.44%,51.46%,"137,669"
108,Wraith King,-1.51%,49.44%,"181,674"
109,Sand King,-1.65%,49.15%,"148,735"
110,Luna,-1.72%,49.21%,"232,096"
111,Drow Ranger,-1.85%,51.71%,"212,656"
112,Omniknight,-1.96%,48.53%,"46,103"
113,Silencer,-2.00%,48.19%,"209,897"
114,Venomancer,-2.00%,51.14%,"127,704"
115,Enigma,-2.06%,48.74%,"91,679"
116,Beastmaster,-2.51%,54.14%,"24,703"
117,Necrophos,-3.17%,50.49%,"116,361"
118,Medusa,-3.83%,51.80%,"178,982"
119,Underlord,-4.24%,50.53%,"67,500"
