,counter_hero,disadv,certain_win,num_match
0,Undying,5.67%,47.59%,"48,738"
1,Chen,4.98%,54.24%,"5,151"
2,Viper,4.95%,50.31%,"123,037"
3,Necrophos,3.78%,46.38%,"79,824"
4,Bristleback,3.64%,48.26%,"138,711"
5,Lone Druid,3.61%,54.84%,"13,265"
6,Io,3.51%,55.73%,"17,688"
7,Phoenix,3.40%,53.75%,"40,774"
8,Lycan,3.30%,55.73%,"9,413"
9,Warlock,3.19%,48.58%,"55,969"
10,Underlord,3.12%,44.80%,"50,676"
11,Ember Spirit,3.07%,54.81%,"75,033"
12,Lifestealer,3.01%,49.69%,"99,288"
13,Anti-Mage,2.93%,51.01%,"122,004"
14,Brewmaster,2.88%,50.36%,"13,113"
15,Enchantress,2.74%,55.65%,"36,256"
16,Keeper of the Light,2.65%,53.77%,"36,566"
17,Meepo,2.60%,45.58%,"20,799"
18,Elder Titan,2.30%,49.68%,"19,737"
19,Omniknight,2.30%,48.32%,"23,754"
20,Treant Protector,2.30%,48.72%,"58,878"
21,Broodmother,2.22%,50.70%,"21,710"
22,Phantom Lancer,2.18%,50.53%,"97,621"
23,Invoker,2.17%,52.13%,"171,788"
24,Naga Siren,2.15%,49.59%,"22,433"
25,Earth Spirit,2.10%,54.70%,"33,873"
26,Batrider,2.09%,57.99%,"14,629"
27,Juggernaut,2.08%,50.78%,"215,827"
28,Dazzle,1.93%,48.35%,"89,994"
29,Alchemist,1.88%,55.78%,"33,137"
30,Centaur Warrunner,1.86%,49.94%,"72,979"
31,Dawnbreaker,1.85%,52.02%,"57,655"
32,Slardar,1.80%,51.47%,"80,008"
33,Venomancer,1.73%,51.59%,"71,401"
34,Dark Seer,1.69%,46.16%,"32,581"
35,Morphling,1.67%,53.19%,"82,308"
36,Pangolier,1.67%,54.81%,"42,096"
37,Huskar,1.62%,50.27%,"62,605"
38,Jakiro,1.49%,50.59%,"74,517"
39,Timbersaw,1.40%,54.70%,"70,464"
40,Nyx Assassin,1.38%,49.81%,"66,518"
41,Terrorblade,1.38%,54.67%,"57,698"
42,Abaddon,1.36%,49.15%,"50,010"
43,Medusa,1.34%,49.70%,"110,179"
44,Bounty Hunter,1.25%,52.61%,"84,374"
45,Kunkka,1.24%,53.37%,"68,882"
46,Shadow Demon,1.20%,55.01%,"29,239"
47,Oracle,1.08%,55.55%,"35,566"
48,Pugna,1.05%,54.76%,"41,526"
49,Witch Doctor,0.93%,53.69%,"123,305"
50,Tusk,0.86%,57.45%,"45,989"
51,Queen of Pain,0.85%,56.00%,"77,940"
52,Shadow Fiend,0.83%,55.01%,"134,462"
53,Leshrac,0.71%,55.84%,"45,132"
54,Tidehunter,0.66%,53.17%,"73,769"
55,Monkey King,0.65%,56.22%,"92,084"
56,Beastmaster,0.52%,60.18%,"9,439"
57,Wraith King,0.51%,49.68%,"143,926"
58,Death Prophet,0.48%,57.46%,"32,537"
59,Visage,0.47%,52.36%,"8,987"
