,counter_hero,disadv,certain_win,num_match
0,Underlord,3.85%,41.29%,"36,443"
1,Necrophos,2.51%,44.83%,"56,562"
2,Meepo,1.82%,43.51%,"18,224"
3,Dark Willow,1.75%,48.19%,"50,170"
4,Ember Spirit,1.67%,53.06%,"51,623"
5,Mars,1.66%,51.84%,"70,166"
6,Oracle,1.55%,51.92%,"23,091"
7,Sand King,1.47%,45.79%,"65,409"
8,Clockwerk,1.46%,49.94%,"36,943"
9,Venomancer,1.44%,48.91%,"53,202"
10,Naga Siren,1.38%,47.44%,"18,018"
11,Lich,1.36%,50.19%,"54,685"
12,Dawnbreaker,1.33%,49.56%,"45,428"
13,Jakiro,1.30%,47.83%,"54,185"
14,Treant Protector,1.27%,46.87%,"44,595"
15,Medusa,1.26%,46.88%,"72,391"
16,Grimstroke,1.17%,49.63%,"64,278"
17,Enchantress,1.09%,54.21%,"27,414"
18,Timbersaw,1.07%,52.00%,"61,318"
19,Leshrac,1.00%,52.40%,"31,173"
20,Tiny,0.99%,55.82%,"47,807"
21,Tusk,0.93%,54.29%,"40,816"
22,Enigma,0.92%,45.54%,"35,069"
23,Kunkka,0.92%,50.66%,"52,719"
24,Beastmaster,0.89%,56.54%,"7,013"
25,Terrorblade,0.84%,52.07%,"36,792"
26,Witch Doctor,0.83%,50.77%,"97,498"
27,Omniknight,0.82%,46.96%,"18,077"
28,Zeus,0.81%,48.00%,"79,898"
29,Troll Warlord,0.80%,51.56%,"41,383"
30,Phoenix,0.72%,53.42%,"30,739"
31,Lone Druid,0.68%,54.79%,"10,497"
32,Warlock,0.68%,48.23%,"38,741"
33,Crystal Maiden,0.63%,49.65%,"88,489"
34,Disruptor,0.58%,50.24%,"52,873"
35,Undying,0.58%,49.86%,"39,140"
36,Invoker,0.56%,50.67%,"133,497"
37,Phantom Lancer,0.56%,49.18%,"69,487"
38,Dark Seer,0.53%,44.60%,"22,439"
39,Death Prophet,0.52%,54.23%,"23,972"
40,Huskar,0.51%,48.46%,"53,961"
41,Morphling,0.49%,51.34%,"60,869"
42,Gyrocopter,0.46%,51.71%,"40,677"
43,Chen,0.46%,55.91%,"4,250"
44,Spectre,0.44%,46.68%,"81,399"
45,Wraith King,0.38%,46.92%,"102,070"
46,Chaos Knight,0.37%,47.06%,"55,805"
47,Sven,0.37%,53.15%,"49,581"
48,Viper,0.36%,51.81%,"82,792"
49,Abaddon,0.36%,47.29%,"36,171"
50,Queen of Pain,0.35%,53.37%,"56,196"
51,Monkey King,0.33%,53.41%,"69,268"
52,Tidehunter,0.31%,50.50%,"52,298"
53,Rubick,0.30%,55.18%,"86,408"
54,Pangolier,0.27%,53.13%,"30,414"
55,Puck,0.18%,51.50%,"71,257"
56,Io,0.17%,56.05%,"13,380"
57,Keeper of the Light,0.17%,53.25%,"27,928"
58,Slardar,0.16%,50.15%,"58,472"
59,Earthshaker,0.14%,52.90%,"72,262"
60,Razor,0.12%,50.23%,"36,721"
61,Doom,0.11%,54.58%,"40,638"
62,Slark,0.08%,50.03%,"101,959"
63,Ursa,0.07%,50.51%,"84,815"
64,Faceless Void,0.07%,51.27%,"97,625"
65,Dragon Knight,0.05%,49.43%,"70,180"
66,Batrider,0.05%,56.89%,"10,673"
67,Riki,-0.01%,47.49%,"57,805"
68,Snapfire,-0.01%,54.48%,"54,455"
69,Winter Wyvern,-0.01%,47.59%,"65,985"
70,Techies,-0.02%,52.06%,"72,212"
71,Ogre Magi,-0.03%,47.77%,"133,590"
72,Centaur Warrunner,-0.04%,48.93%,"53,178"
73,Alchemist,-0.08%,54.72%,"27,218"
74,Shadow Demon,-0.09%,53.20%,"19,129"
75,Void Spirit,-0.11%,53.43%,"39,258"
76,Pudge,-0.18%,50.59%,"187,866"
77,Magnus,-0.19%,52.96%,"48,412"
78,Elder Titan,-0.19%,49.34%,"13,929"
79,Weaver,-0.22%,52.06%,"50,264"
80,Shadow Shaman,-0.22%,49.19%,"107,111"
81,Dazzle,-0.23%,47.63%,"66,916"
82,Brewmaster,-0.28%,50.69%,"9,588"
83,Tinker,-0.28%,50.94%,"51,141"
84,Vengeful Spirit,-0.28%,50.54%,"37,889"
85,Silencer,-0.29%,47.56%,"71,338"
86,Bristleback,-0.32%,49.20%,"113,082"
87,Nyx Assassin,-0.34%,48.65%,"44,818"
88,Mirana,-0.35%,49.42%,"92,863"
89,Lion,-0.41%,51.43%,"183,903"
90,Juggernaut,-0.44%,50.17%,"140,687"
91,Lina,-0.46%,54.00%,"99,675"
92,Outworld Destroyer,-0.50%,51.08%,"45,738"
93,Lycan,-0.53%,56.62%,"7,452"
94,Phantom Assassin,-0.63%,54.22%,"113,255"
95,Pugna,-0.66%,53.44%,"31,098"
96,Bounty Hunter,-0.66%,51.51%,"63,173"
97,Luna,-0.67%,48.80%,"83,863"
98,Windranger,-0.67%,50.31%,"122,195"
99,Bloodseeker,-0.69%,49.78%,"47,753"
100,Sniper,-0.70%,51.57%,"122,124"
101,Templar Assassin,-0.76%,52.42%,"58,385"
102,Ancient Apparition,-0.82%,46.99%,"81,655"
103,Storm Spirit,-0.85%,54.62%,"61,887"
104,Earth Spirit,-0.88%,54.67%,"25,216"
105,Visage,-0.93%,50.85%,"6,793"
106,Nature's Prophet,-0.96%,59.74%,"47,528"
107,Axe,-1.00%,49.78%,"116,057"
108,Skywrath Mage,-1.03%,50.90%,"68,805"
109,Drow Ranger,-1.13%,49.18%,"85,122"
110,Bane,-1.16%,53.44%,"14,844"
111,Shadow Fiend,-1.33%,54.04%,"102,357"
112,Hoodwink,-1.35%,50.84%,"79,869"
113,Anti-Mage,-1.51%,52.39%,"77,875"
114,Night Stalker,-1.55%,51.70%,"22,576"
115,Lifestealer,-1.68%,51.41%,"62,657"
116,Legion Commander,-1.75%,52.43%,"101,471"
117,Arc Warden,-1.78%,49.50%,"22,798"
118,Clinkz,-1.87%,49.86%,"33,916"
119,Broodmother,-3.69%,53.84%,"15,889"
