,counter_hero,disadv,certain_win,num_match
0,Meepo,3.70%,37.76%,"18,422"
1,Anti-Mage,3.64%,43.55%,"89,639"
2,Clinkz,2.81%,41.28%,"36,936"
3,Lone Druid,2.59%,48.99%,"9,561"
4,Medusa,2.31%,42.07%,"68,216"
5,Riki,2.30%,41.40%,"56,088"
6,Troll Warlord,2.05%,46.50%,"37,627"
7,Night Stalker,1.99%,44.27%,"23,134"
8,Tiny,1.61%,51.43%,"50,133"
9,Oracle,1.61%,48.10%,"28,452"
10,Grimstroke,1.58%,45.45%,"65,913"
11,Silencer,1.57%,41.94%,"71,279"
12,Templar Assassin,1.39%,46.50%,"61,815"
13,Pugna,1.25%,47.72%,"30,692"
14,Sven,1.24%,48.47%,"43,918"
15,Io,1.23%,51.21%,"14,356"
16,Queen of Pain,1.21%,48.73%,"61,534"
17,Disruptor,1.16%,45.88%,"52,445"
18,Legion Commander,1.15%,45.83%,"102,101"
19,Dragon Knight,1.11%,44.60%,"69,325"
20,Lion,1.10%,46.29%,"176,801"
21,Tidehunter,1.09%,45.93%,"52,647"
22,Earthshaker,1.02%,48.24%,"69,606"
23,Axe,0.98%,44.10%,"119,612"
24,Leshrac,0.97%,48.66%,"34,791"
25,Shadow Fiend,0.92%,48.08%,"120,443"
26,Shadow Shaman,0.92%,44.31%,"100,721"
27,Earth Spirit,0.91%,49.06%,"25,962"
28,Magnus,0.89%,48.11%,"52,999"
29,Spirit Breaker,0.84%,45.38%,"61,890"
30,Abaddon,0.83%,43.01%,"37,163"
31,Centaur Warrunner,0.78%,44.32%,"53,413"
32,Enchantress,0.77%,50.76%,"26,403"
33,Kunkka,0.76%,47.04%,"50,659"
34,Huskar,0.74%,44.45%,"48,042"
35,Dawnbreaker,0.74%,46.37%,"46,157"
36,Vengeful Spirit,0.72%,45.74%,"36,766"
37,Nyx Assassin,0.69%,43.82%,"46,846"
38,Wraith King,0.64%,42.89%,"98,964"
39,Luna,0.64%,43.73%,"85,437"
40,Skywrath Mage,0.59%,45.51%,"66,303"
41,Slardar,0.52%,45.99%,"58,318"
42,Death Prophet,0.50%,50.45%,"23,403"
43,Phantom Assassin,0.50%,49.37%,"109,624"
44,Lich,0.47%,47.30%,"55,049"
45,Techies,0.47%,47.80%,"68,875"
46,Gyrocopter,0.43%,47.97%,"40,448"
47,Crystal Maiden,0.35%,46.15%,"85,770"
48,Witch Doctor,0.26%,47.55%,"95,856"
49,Void Spirit,0.21%,49.33%,"43,277"
50,Omniknight,0.20%,43.83%,"17,215"
51,Lycan,0.19%,52.06%,"6,917"
52,Undying,0.17%,46.50%,"37,321"
53,Beastmaster,0.17%,53.49%,"6,883"
54,Dazzle,0.12%,43.49%,"71,595"
55,Viper,0.12%,48.28%,"77,180"
56,Lina,0.12%,49.67%,"105,562"
