,counter_hero,disadv,certain_win,num_match
0,Templar Assassin,2.89%,45.36%,"42,036"
1,Troll Warlord,2.45%,46.41%,"33,089"
2,Terrorblade,1.77%,47.66%,"27,835"
3,Venomancer,1.68%,45.26%,"37,917"
4,Winter Wyvern,1.66%,42.60%,"46,476"
5,Medusa,1.65%,43.13%,"54,280"
6,Enigma,1.58%,41.55%,"25,316"
7,Clockwerk,1.52%,46.45%,"24,650"
8,Shadow Shaman,1.51%,44.14%,"75,571"
9,Phantom Assassin,1.39%,48.79%,"86,779"
10,Slardar,1.39%,45.50%,"44,206"
11,Undying,1.21%,45.80%,"28,761"
12,Batrider,1.20%,52.12%,"7,874"
13,Windranger,1.18%,45.15%,"86,719"
14,Techies,1.14%,47.46%,"48,012"
15,Spectre,1.12%,42.67%,"62,128"
16,Ursa,1.05%,46.13%,"58,050"
17,Bristleback,0.93%,44.62%,"81,100"
18,Rubick,0.91%,51.06%,"61,971"
19,Nature's Prophet,0.89%,54.21%,"36,013"
20,Monkey King,0.88%,49.36%,"49,319"
21,Slark,0.83%,45.89%,"72,631"
22,Enchantress,0.83%,50.95%,"20,369"
23,Ogre Magi,0.81%,43.62%,"97,089"
24,Tinker,0.77%,46.47%,"37,634"
25,Huskar,0.75%,44.82%,"39,832"
26,Treant Protector,0.75%,44.03%,"31,739"
27,Wraith King,0.73%,43.24%,"73,151"
28,Weaver,0.73%,47.64%,"38,189"
29,Lich,0.68%,47.43%,"39,964"
30,Witch Doctor,0.67%,47.48%,"69,793"
31,Mars,0.67%,49.33%,"46,122"
32,Dragon Knight,0.61%,45.47%,"51,682"
33,Silencer,0.55%,43.38%,"55,216"
34,Sniper,0.54%,46.94%,"96,248"
35,Phoenix,0.54%,50.09%,"19,947"
36,Razor,0.48%,46.42%,"30,889"
37,Faceless Void,0.42%,47.48%,"70,345"
38,Bane,0.40%,48.36%,"10,766"
39,Gyrocopter,0.31%,48.40%,"30,102"
40,Morphling,0.25%,48.12%,"40,825"
41,Vengeful Spirit,0.20%,46.63%,"27,885"
42,Shadow Fiend,0.17%,49.12%,"70,407"
43,Mirana,0.17%,45.53%,"66,612"
44,Lifestealer,0.15%,46.17%,"50,467"
45,Dark Willow,0.14%,46.40%,"35,378"
46,Ancient Apparition,0.13%,42.73%,"57,256"
47,Omniknight,0.13%,44.29%,"13,962"
48,Crystal Maiden,0.08%,46.77%,"64,159"
49,Luna,0.04%,44.73%,"62,837"
50,Alchemist,0.00%,51.08%,"20,854"
51,Death Prophet,-0.01%,51.22%,"18,263"
52,Shadow Demon,-0.03%,49.65%,"14,142"
53,Hoodwink,-0.05%,46.15%,"54,187"
54,Invoker,-0.06%,47.82%,"92,280"
55,Lion,-0.09%,47.71%,"129,855"
56,Queen of Pain,-0.12%,50.32%,"41,181"
57,Beastmaster,-0.13%,54.00%,"5,448"
58,Keeper of the Light,-0.13%,50.05%,"20,943"
59,Sand King,-0.20%,44.11%,"47,549"
60,Doom,-0.27%,51.44%,"29,126"
61,Spirit Breaker,-0.28%,46.85%,"49,581"
62,Snapfire,-0.30%,51.25%,"38,877"
63,Magnus,-0.31%,49.61%,"33,864"
64,Zeus,-0.33%,45.73%,"63,047"
65,Disruptor,-0.33%,47.72%,"37,511"
66,Clinkz,-0.34%,44.91%,"26,613"
67,Dazzle,-0.37%,44.41%,"47,564"
68,Skywrath Mage,-0.39%,46.83%,"49,845"
69,Kunkka,-0.39%,48.51%,"38,383"
70,Viper,-0.43%,49.11%,"62,836"
71,Earthshaker,-0.50%,50.03%,"55,088"
72,Abaddon,-0.51%,44.80%,"26,696"
73,Arc Warden,-0.53%,44.84%,"16,648"
74,Pugna,-0.55%,49.84%,"25,030"
75,Bounty Hunter,-0.55%,47.95%,"45,473"
76,Bloodseeker,-0.56%,46.23%,"34,239"
77,Pudge,-0.57%,47.52%,"135,760"
78,Juggernaut,-0.60%,46.90%,"106,016"
79,Outworld Destroyer,-0.61%,47.74%,"33,494"
80,Timbersaw,-0.63%,50.19%,"40,268"
81,Lina,-0.66%,50.69%,"71,042"
82,Tusk,-0.70%,52.36%,"27,500"
83,Tiny,-0.73%,53.97%,"34,873"
84,Drow Ranger,-0.79%,45.45%,"68,495"
85,Necrophos,-0.83%,44.84%,"39,659"
86,Jakiro,-0.86%,46.60%,"39,718"
87,Oracle,-0.91%,50.94%,"15,893"
88,Nyx Assassin,-0.96%,45.89%,"32,080"
89,Night Stalker,-0.98%,47.67%,"17,315"
90,Tidehunter,-1.03%,48.40%,"38,313"
91,Pangolier,-1.10%,51.02%,"21,291"
92,Axe,-1.16%,46.54%,"82,133"
93,Brewmaster,-1.17%,48.17%,"6,846"
94,Elder Titan,-1.25%,47.01%,"10,452"
95,Legion Commander,-1.27%,48.51%,"74,636"
96,Storm Spirit,-1.29%,51.53%,"43,918"
97,Grimstroke,-1.32%,48.66%,"45,313"
98,Warlock,-1.35%,46.87%,"29,135"
99,Riki,-1.39%,45.50%,"43,754"
100,Lycan,-1.43%,53.99%,"6,134"
101,Dawnbreaker,-1.48%,48.94%,"31,841"
102,Earth Spirit,-1.48%,51.75%,"17,447"
103,Chen,-1.48%,54.36%,"3,427"
104,Ember Spirit,-1.51%,52.72%,"35,393"
105,Anti-Mage,-1.70%,49.12%,"62,156"
106,Puck,-1.73%,49.92%,"46,469"
107,Leshrac,-1.73%,51.67%,"22,114"
108,Underlord,-1.74%,43.69%,"25,011"
109,Void Spirit,-1.79%,51.61%,"26,060"
110,Centaur Warrunner,-1.79%,47.27%,"37,980"
111,Visage,-1.81%,48.32%,"4,834"
112,Lone Druid,-2.05%,54.04%,"8,031"
113,Chaos Knight,-2.53%,46.48%,"62,605"
114,Io,-2.60%,55.33%,"10,025"
115,Dark Seer,-3.19%,45.06%,"17,036"
116,Naga Siren,-4.45%,50.00%,"16,687"
117,Phantom Lancer,-4.64%,50.73%,"88,181"
118,Broodmother,-4.81%,51.52%,"17,473"
119,Meepo,-7.85%,50.11%,"14,615"
