,counter_hero,disadv,certain_win,num_match
0,Wraith King,3.36%,41.87%,"159,450"
1,Templar Assassin,3.11%,46.48%,"97,203"
2,Visage,2.83%,44.76%,"10,027"
3,Pudge,2.55%,46.06%,"217,664"
4,Batrider,2.53%,52.29%,"11,457"
5,Arc Warden,2.50%,42.82%,"37,430"
6,Spectre,2.48%,42.57%,"87,431"
7,Lone Druid,2.34%,51.09%,"13,785"
8,Anti-Mage,2.29%,46.58%,"113,299"
9,Chen,2.17%,52.19%,"5,656"
10,Oracle,2.12%,49.33%,"32,763"
11,Lycan,2.05%,51.95%,"9,189"
12,Beastmaster,1.86%,53.64%,"9,314"
13,Medusa,1.73%,44.29%,"90,343"
14,Nature's Prophet,1.68%,55.26%,"69,050"
15,Centaur Warrunner,1.54%,45.24%,"62,189"
16,Enchantress,1.30%,52.01%,"32,690"
17,Vengeful Spirit,1.30%,46.86%,"44,639"
18,Dragon Knight,1.29%,46.11%,"76,830"
19,Enigma,1.28%,43.00%,"43,082"
20,Lifestealer,1.21%,46.40%,"101,622"
21,Shadow Demon,1.21%,49.82%,"21,670"
22,Lion,1.06%,48.05%,"225,058"
23,Bane,0.86%,49.30%,"17,104"
24,Io,0.85%,53.44%,"17,738"
25,Doom,0.80%,51.85%,"41,566"
26,Tinker,0.74%,47.86%,"66,814"
27,Mars,0.65%,50.81%,"71,368"
28,Earth Spirit,0.63%,51.11%,"31,204"
29,Alchemist,0.58%,52.03%,"31,463"
30,Bristleback,0.49%,46.34%,"131,315"
31,Clockwerk,0.48%,48.89%,"38,776"
32,Magnus,0.46%,50.27%,"46,245"
33,Disruptor,0.45%,48.32%,"56,615"
34,Phoenix,0.38%,51.76%,"35,844"
35,Skywrath Mage,0.33%,47.47%,"79,466"
36,Chaos Knight,0.33%,45.00%,"61,419"
37,Grimstroke,0.31%,48.44%,"74,105"
38,Axe,0.29%,46.47%,"124,654"
39,Snapfire,0.23%,52.23%,"58,521"
40,Outworld Destroyer,0.16%,48.36%,"46,214"
41,Slardar,0.08%,48.17%,"57,387"
42,Leshrac,0.08%,51.31%,"33,092"
43,Tiny,0.05%,54.78%,"50,657"
44,Phantom Assassin,0.04%,51.56%,"120,947"
45,Tusk,0.04%,53.14%,"38,438"
46,Abaddon,0.03%,45.41%,"54,351"
47,Huskar,0.03%,46.84%,"64,168"
48,Dazzle,0.02%,45.25%,"88,320"
49,Keeper of the Light,0.00%,51.40%,"32,209"
50,Shadow Shaman,0.00%,46.90%,"114,462"
51,Spirit Breaker,-0.01%,47.94%,"72,211"
52,Zeus,-0.03%,46.69%,"131,289"
53,Legion Commander,-0.12%,48.79%,"117,536"
54,Winter Wyvern,-0.12%,45.61%,"78,780"
55,Elder Titan,-0.13%,47.21%,"14,977"
56,Crystal Maiden,-0.16%,48.37%,"102,288"
57,Warlock,-0.18%,47.02%,"45,024"
58,Sniper,-0.20%,49.03%,"149,331"
59,Brewmaster,-0.21%,48.56%,"10,785"
60,Rubick,-0.21%,53.70%,"103,160"
61,Naga Siren,-0.24%,46.93%,"28,261"
62,Kunkka,-0.28%,49.83%,"56,503"
63,Jakiro,-0.30%,47.39%,"56,629"
64,Ancient Apparition,-0.33%,44.39%,"97,464"
65,Death Prophet,-0.35%,53.08%,"24,012"
66,Earthshaker,-0.38%,51.39%,"72,005"
67,Undying,-0.39%,48.79%,"42,630"
68,Viper,-0.41%,50.54%,"91,970"
69,Storm Spirit,-0.45%,52.20%,"68,876"
70,Windranger,-0.45%,48.04%,"135,799"
71,Nyx Assassin,-0.47%,46.71%,"48,799"
72,Hoodwink,-0.49%,47.91%,"93,868"
73,Drow Ranger,-0.51%,46.46%,"107,139"
74,Juggernaut,-0.58%,48.23%,"172,316"
75,Lich,-0.58%,50.11%,"58,409"
76,Underlord,-0.59%,43.75%,"36,400"
77,Tidehunter,-0.59%,49.36%,"53,188"
78,Invoker,-0.62%,49.74%,"158,943"
79,Lina,-0.74%,52.26%,"114,894"
80,Timbersaw,-0.77%,51.81%,"60,718"
81,Ursa,-0.80%,49.32%,"91,317"
82,Gyrocopter,-0.81%,50.97%,"39,368"
83,Witch Doctor,-0.90%,50.42%,"112,383"
84,Treant Protector,-0.91%,46.98%,"53,410"
85,Troll Warlord,-0.94%,51.30%,"45,476"
86,Shadow Fiend,-0.99%,51.68%,"141,098"
87,Sand King,-1.00%,46.19%,"66,005"
88,Mirana,-1.04%,48.03%,"104,843"
89,Sven,-1.05%,52.54%,"48,012"
90,Venomancer,-1.08%,49.39%,"61,797"
91,Omniknight,-1.14%,46.89%,"20,944"
92,Night Stalker,-1.14%,49.23%,"23,850"
93,Ogre Magi,-1.15%,46.75%,"149,358"
94,Monkey King,-1.19%,52.91%,"73,690"
95,Silencer,-1.24%,46.41%,"81,839"
96,Queen of Pain,-1.24%,52.95%,"59,037"
97,Pugna,-1.27%,52.05%,"34,451"
98,Puck,-1.27%,50.91%,"71,217"
99,Bounty Hunter,-1.30%,50.11%,"70,097"
100,Dawnbreaker,-1.31%,50.19%,"52,471"
101,Necrophos,-1.32%,46.61%,"59,257"
102,Faceless Void,-1.48%,50.75%,"95,662"
103,Pangolier,-1.50%,52.92%,"31,252"
104,Broodmother,-1.53%,49.55%,"22,139"
105,Dark Willow,-1.55%,49.46%,"56,598"
106,Clinkz,-1.56%,47.45%,"42,028"
107,Luna,-1.61%,47.67%,"86,434"
108,Void Spirit,-1.64%,52.96%,"40,074"
109,Dark Seer,-1.66%,44.75%,"24,507"
110,Terrorblade,-1.72%,52.66%,"40,698"
111,Razor,-2.14%,50.50%,"35,182"
112,Bloodseeker,-2.31%,49.37%,"46,928"
113,Morphling,-2.47%,52.27%,"61,156"
114,Riki,-2.47%,47.89%,"62,811"
115,Slark,-2.57%,50.59%,"94,374"
116,Ember Spirit,-2.96%,55.72%,"49,458"
117,Phantom Lancer,-3.04%,50.72%,"71,374"
118,Meepo,-3.30%,46.67%,"22,875"
119,Weaver,-3.78%,53.64%,"54,962"
