,counter_hero,disadv,certain_win,num_match
0,Meepo,5.77%,37.71%,"19,023"
1,Batrider,5.57%,49.56%,"13,429"
2,Phantom Lancer,5.08%,43.01%,"63,076"
3,Viper,3.99%,46.57%,"89,564"
4,Terrorblade,3.90%,47.29%,"37,221"
5,Naga Siren,3.82%,43.27%,"16,250"
6,Huskar,3.51%,43.74%,"55,635"
7,Dark Seer,3.42%,39.91%,"24,146"
8,Slark,3.11%,45.41%,"94,106"
9,Troll Warlord,2.87%,47.78%,"36,151"
10,Clinkz,2.56%,43.67%,"34,638"
11,Treant Protector,2.48%,43.98%,"44,359"
12,Alchemist,2.36%,50.50%,"22,986"
13,Drow Ranger,2.36%,44.09%,"86,469"
14,Venomancer,2.34%,46.33%,"50,693"
15,Sniper,2.30%,47.02%,"106,050"
16,Arc Warden,2.26%,43.64%,"26,641"
17,Medusa,2.23%,44.25%,"67,226"
18,Dragon Knight,2.01%,45.81%,"69,175"
19,Beastmaster,1.91%,53.77%,"6,663"
20,Monkey King,1.57%,50.51%,"67,284"
21,Phoenix,1.57%,50.90%,"32,737"
22,Pugna,1.54%,49.53%,"30,608"
23,Shadow Shaman,1.50%,45.85%,"96,946"
24,Razor,1.47%,47.18%,"36,368"
25,Gyrocopter,1.30%,49.19%,"39,334"
26,Axe,1.29%,45.93%,"116,345"
27,Weaver,1.23%,48.93%,"44,874"
28,Ember Spirit,1.13%,51.97%,"60,517"
29,Brewmaster,1.11%,47.57%,"10,021"
30,Tinker,1.08%,47.91%,"53,789"
31,Shadow Demon,1.06%,50.35%,"19,741"
32,Crystal Maiden,1.05%,47.58%,"84,124"
33,Chaos Knight,1.00%,44.79%,"48,947"
34,Windranger,0.95%,47.10%,"112,694"
35,Kunkka,0.94%,48.97%,"49,795"
36,Undying,0.91%,47.87%,"35,112"
37,Omniknight,0.83%,45.31%,"16,450"
38,Luna,0.80%,45.70%,"83,337"
39,Spirit Breaker,0.76%,47.58%,"58,390"
40,Doom,0.72%,52.32%,"44,377"
41,Broodmother,0.69%,47.64%,"19,296"
42,Morphling,0.69%,49.47%,"61,299"
43,Spectre,0.68%,44.78%,"83,715"
44,Winter Wyvern,0.66%,45.26%,"70,997"
45,Visage,0.64%,47.53%,"7,989"
46,Bloodseeker,0.63%,46.78%,"38,464"
47,Io,0.63%,53.96%,"14,910"
48,Chen,0.57%,54.13%,"4,349"
49,Sand King,0.56%,45.04%,"64,917"
50,Underlord,0.56%,42.99%,"35,214"
51,Witch Doctor,0.55%,49.38%,"93,606"
52,Pudge,0.55%,48.27%,"184,666"
53,Death Prophet,0.54%,52.51%,"21,953"
54,Dark Willow,0.53%,47.75%,"52,383"
55,Bounty Hunter,0.48%,48.70%,"59,632"
56,Ogre Magi,0.40%,45.70%,"120,717"
57,Jakiro,0.39%,47.09%,"52,629"
58,Dazzle,0.37%,45.36%,"69,425"
59,Enchantress,0.32%,53.33%,"27,009"
60,Dawnbreaker,0.18%,49.05%,"46,871"
61,Faceless Void,0.18%,49.50%,"91,062"
62,Bane,0.18%,50.39%,"15,155"
63,Lich,0.01%,49.88%,"53,323"
64,Leshrac,0.00%,51.77%,"34,767"
65,Wraith King,-0.06%,45.68%,"99,569"
66,Necrophos,-0.06%,45.78%,"50,305"
67,Mars,-0.12%,51.94%,"73,921"
68,Nature's Prophet,-0.12%,57.15%,"41,229"
69,Vengeful Spirit,-0.15%,48.74%,"36,774"
70,Snapfire,-0.16%,52.97%,"56,137"
71,Earth Spirit,-0.20%,52.33%,"28,910"
72,Riki,-0.21%,46.03%,"56,212"
73,Silencer,-0.28%,45.89%,"73,483"
74,Lion,-0.29%,49.66%,"183,979"
75,Mirana,-0.29%,47.70%,"91,081"
76,Abaddon,-0.37%,46.35%,"36,609"
77,Keeper of the Light,-0.40%,52.16%,"27,232"
78,Grimstroke,-0.44%,49.56%,"73,616"
79,Tiny,-0.47%,55.66%,"50,565"
80,Pangolier,-0.61%,52.38%,"32,601"
81,Warlock,-0.66%,47.91%,"42,802"
82,Earthshaker,-0.71%,52.08%,"65,958"
83,Lone Druid,-0.74%,54.56%,"9,695"
84,Rubick,-0.80%,54.60%,"93,476"
85,Lycan,-0.80%,55.20%,"6,861"
86,Hoodwink,-0.83%,48.65%,"86,052"
87,Disruptor,-0.85%,50.02%,"54,747"
88,Bristleback,-0.93%,48.14%,"104,205"
89,Magnus,-0.95%,52.08%,"54,883"
90,Tusk,-0.96%,54.50%,"34,379"
91,Elder Titan,-1.00%,48.51%,"14,503"
92,Lina,-1.02%,52.88%,"103,797"
93,Tidehunter,-1.08%,50.24%,"52,582"
94,Clockwerk,-1.10%,50.88%,"36,735"
95,Legion Commander,-1.18%,50.21%,"96,958"
96,Void Spirit,-1.19%,52.87%,"38,748"
97,Timbersaw,-1.20%,52.61%,"56,448"
98,Queen of Pain,-1.23%,53.28%,"55,023"
99,Enigma,-1.27%,46.13%,"32,435"
100,Slardar,-1.29%,49.93%,"54,922"
101,Ancient Apparition,-1.32%,45.79%,"91,969"
102,Storm Spirit,-1.39%,53.50%,"61,813"
103,Skywrath Mage,-1.45%,49.65%,"68,802"
104,Juggernaut,-1.79%,49.76%,"142,378"
105,Night Stalker,-1.86%,50.35%,"24,082"
106,Invoker,-1.88%,51.29%,"152,828"
107,Phantom Assassin,-1.90%,53.79%,"106,830"
108,Nyx Assassin,-2.01%,48.64%,"51,994"
109,Shadow Fiend,-2.05%,53.02%,"151,604"
110,Lifestealer,-2.28%,50.34%,"67,785"
111,Oracle,-2.36%,54.32%,"28,488"
112,Zeus,-2.49%,49.59%,"79,620"
113,Sven,-2.78%,54.64%,"42,038"
114,Ursa,-2.83%,51.69%,"83,610"
115,Anti-Mage,-2.85%,52.02%,"93,235"
116,Techies,-3.18%,53.52%,"97,205"
