,counter_hero,disadv,certain_win,num_match
0,Dark Seer,5.60%,36.80%,"15,009"
1,Phantom Lancer,5.11%,41.93%,"41,117"
2,Tinker,4.38%,43.50%,"33,398"
3,Axe,3.84%,42.42%,"65,924"
4,Shadow Demon,3.23%,46.91%,"11,825"
5,Timbersaw,3.22%,46.95%,"32,251"
6,Underlord,2.93%,39.65%,"20,951"
7,Zeus,2.92%,43.21%,"49,706"
8,Arc Warden,2.84%,42.04%,"15,962"
9,Drow Ranger,2.69%,42.74%,"56,228"
10,Sand King,2.65%,41.95%,"39,055"
11,Brewmaster,2.61%,44.90%,"6,060"
12,Naga Siren,2.33%,43.73%,"10,403"
13,Sniper,2.33%,45.85%,"63,515"
14,Ember Spirit,1.93%,49.86%,"34,152"
15,Pugna,1.92%,47.93%,"18,474"
16,Techies,1.85%,47.34%,"40,697"
17,Winter Wyvern,1.78%,43.12%,"42,384"
18,Lich,1.64%,47.06%,"31,156"
19,Warlock,1.51%,44.62%,"25,404"
20,Jakiro,1.48%,44.90%,"32,347"
21,Keeper of the Light,1.37%,49.10%,"16,846"
22,Batrider,1.18%,52.68%,"7,058"
23,Storm Spirit,1.18%,49.66%,"38,968"
24,Enigma,1.04%,42.76%,"19,996"
25,Treant Protector,0.99%,44.41%,"27,309"
26,Kunkka,0.99%,47.73%,"30,024"
27,Phoenix,0.93%,50.26%,"20,899"
28,Weaver,0.84%,48.12%,"26,133"
29,Puck,0.81%,48.00%,"43,982"
30,Earthshaker,0.77%,49.36%,"40,060"
31,Invoker,0.77%,47.63%,"79,405"
32,Legion Commander,0.76%,47.16%,"54,905"
33,Leshrac,0.70%,49.78%,"20,896"
34,Elder Titan,0.70%,45.64%,"9,085"
35,Void Spirit,0.66%,49.71%,"23,718"
36,Broodmother,0.64%,46.56%,"10,632"
37,Juggernaut,0.61%,46.38%,"88,025"
38,Grimstroke,0.58%,47.38%,"42,601"
39,Gyrocopter,0.57%,48.72%,"24,606"
40,Bristleback,0.56%,45.59%,"59,382"
41,Disruptor,0.43%,47.55%,"32,301"
42,Lina,0.41%,50.22%,"57,728"
43,Centaur Warrunner,0.39%,45.72%,"30,999"
44,Dazzle,0.39%,44.30%,"40,917"
45,Slark,0.38%,46.93%,"55,295"
46,Crystal Maiden,0.36%,47.10%,"50,793"
47,Nyx Assassin,0.27%,45.27%,"28,837"
48,Outworld Destroyer,0.27%,47.47%,"26,239"
49,Tidehunter,0.25%,47.71%,"31,478"
50,Dark Willow,0.23%,46.91%,"31,152"
51,Faceless Void,0.23%,48.25%,"56,682"
52,Witch Doctor,0.18%,48.54%,"55,306"
53,Ancient Apparition,0.17%,43.33%,"52,514"
54,Pangolier,0.17%,50.30%,"20,131"
55,Ogre Magi,0.07%,44.93%,"75,106"
56,Rubick,0.05%,52.41%,"55,855"
57,Undying,0.00%,47.62%,"21,726"
58,Lion,-0.02%,48.23%,"100,905"
59,Mars,-0.03%,50.57%,"43,077"
60,Dawnbreaker,-0.10%,48.15%,"27,480"
61,Beastmaster,-0.10%,54.48%,"4,334"
62,Windranger,-0.11%,46.97%,"66,469"
63,Doom,-0.14%,51.85%,"26,956"
64,Skywrath Mage,-0.22%,47.28%,"35,896"
65,Hoodwink,-0.25%,46.94%,"51,823"
66,Tiny,-0.30%,54.06%,"30,217"
67,Shadow Fiend,-0.31%,50.14%,"61,930"
68,Snapfire,-0.33%,51.82%,"33,757"
69,Queen of Pain,-0.34%,51.10%,"31,888"
70,Chaos Knight,-0.38%,45.09%,"30,151"
71,Medusa,-0.49%,45.85%,"46,519"
72,Earth Spirit,-0.53%,51.35%,"17,434"
73,Bloodseeker,-0.69%,47.00%,"22,056"
74,Spirit Breaker,-0.76%,47.93%,"36,794"
75,Omniknight,-0.82%,45.91%,"10,271"
76,Oracle,-0.83%,51.43%,"16,808"
77,Bounty Hunter,-0.89%,48.88%,"34,583"
78,Magnus,-0.93%,50.78%,"33,360"
79,Spectre,-0.97%,45.32%,"57,767"
80,Abaddon,-0.99%,45.90%,"22,911"
81,Enchantress,-1.03%,53.37%,"17,339"
82,Luna,-1.12%,46.46%,"57,187"
83,Mirana,-1.12%,47.37%,"57,674"
84,Morphling,-1.13%,50.04%,"37,975"
85,Monkey King,-1.19%,51.95%,"38,782"
86,Troll Warlord,-1.22%,50.68%,"21,146"
87,Pudge,-1.28%,48.73%,"113,134"
88,Riki,-1.30%,46.05%,"32,507"
89,Phantom Assassin,-1.31%,51.91%,"66,154"
90,Clockwerk,-1.47%,50.03%,"22,814"
91,Tusk,-1.51%,53.70%,"22,689"
92,Alchemist,-1.56%,53.19%,"14,626"
93,Silencer,-1.56%,46.08%,"41,604"
94,Bane,-1.58%,50.95%,"9,427"
95,Necrophos,-1.63%,46.27%,"29,871"
96,Huskar,-1.64%,47.83%,"27,136"
97,Clinkz,-1.64%,46.86%,"19,507"
98,Sven,-1.80%,52.35%,"27,834"
99,Venomancer,-1.81%,49.31%,"30,974"
100,Wraith King,-1.83%,46.32%,"58,449"
101,Lifestealer,-1.85%,48.74%,"38,803"
102,Vengeful Spirit,-1.95%,49.37%,"22,946"
103,Ursa,-1.98%,49.65%,"50,146"
104,Nature's Prophet,-2.03%,57.59%,"25,782"
105,Lone Druid,-2.11%,54.61%,"6,230"
106,Death Prophet,-2.13%,53.90%,"13,635"
107,Shadow Shaman,-2.29%,48.37%,"61,100"
108,Razor,-2.69%,50.22%,"19,918"
109,Anti-Mage,-2.75%,50.68%,"56,049"
110,Night Stalker,-2.80%,50.10%,"14,493"
111,Io,-2.86%,56.14%,"9,588"
112,Chen,-3.30%,56.74%,"2,813"
113,Lycan,-3.51%,56.59%,"4,352"
114,Visage,-3.55%,50.69%,"4,563"
115,Dragon Knight,-3.65%,50.23%,"43,870"
116,Viper,-3.69%,52.84%,"48,285"
117,Meepo,-3.71%,46.56%,"9,665"
118,Templar Assassin,-4.01%,52.71%,"37,221"
119,Slardar,-4.83%,52.23%,"33,136"
