,counter_hero,disadv,certain_win,num_match
0,Chen,4.31%,51.03%,"3,696"
1,Juggernaut,2.87%,46.28%,"120,107"
2,Razor,2.82%,46.69%,"30,993"
3,Death Prophet,2.76%,51.06%,"19,803"
4,Lycan,2.70%,52.39%,"6,486"
5,Alchemist,2.53%,51.16%,"21,622"
6,Slark,2.41%,46.98%,"87,364"
7,Omniknight,2.08%,44.91%,"14,932"
8,Io,1.85%,53.45%,"11,797"
9,Tiny,1.79%,54.15%,"41,921"
10,Clinkz,1.77%,45.39%,"29,029"
11,Bristleback,1.75%,46.44%,"92,940"
12,Grimstroke,1.63%,48.37%,"59,536"
13,Lifestealer,1.57%,47.39%,"55,047"
14,Pangolier,1.56%,50.99%,"27,176"
15,Huskar,1.52%,46.67%,"39,039"
16,Elder Titan,1.51%,46.78%,"12,874"
17,Ursa,1.51%,48.30%,"72,711"
18,Dark Seer,1.41%,42.94%,"20,710"
19,Undying,1.25%,48.38%,"31,649"
20,Bloodseeker,1.23%,47.06%,"33,908"
21,Monkey King,1.20%,51.70%,"54,644"
22,Clockwerk,1.16%,49.44%,"32,259"
23,Sniper,1.15%,48.99%,"93,858"
24,Shadow Fiend,1.14%,50.82%,"85,036"
25,Tusk,1.10%,53.23%,"31,727"
26,Templar Assassin,1.09%,49.76%,"52,581"
27,Doom,1.08%,52.77%,"39,332"
28,Timbersaw,1.06%,51.16%,"49,825"
29,Void Spirit,1.05%,51.41%,"32,979"
30,Sven,1.05%,51.60%,"38,309"
31,Dawnbreaker,1.03%,49.06%,"38,369"
32,Witch Doctor,1.01%,49.79%,"83,622"
33,Snapfire,1.00%,52.62%,"48,328"
34,Nature's Prophet,0.91%,56.85%,"33,686"
35,Brewmaster,0.88%,48.68%,"8,516"
36,Keeper of the Light,0.88%,51.68%,"24,005"
37,Outworld Destroyer,0.87%,48.89%,"38,677"
38,Leshrac,0.75%,51.83%,"27,937"
39,Night Stalker,0.72%,48.56%,"21,361"
40,Hoodwink,0.68%,48.04%,"66,986"
41,Underlord,0.62%,43.84%,"33,484"
42,Necrophos,0.58%,46.04%,"43,139"
43,Techies,0.57%,50.64%,"53,183"
44,Enchantress,0.57%,53.88%,"23,267"
45,Lich,0.56%,50.18%,"46,412"
46,Kunkka,0.53%,50.23%,"44,601"
47,Anti-Mage,0.52%,49.58%,"69,566"
48,Weaver,0.47%,50.54%,"38,325"
49,Viper,0.39%,50.96%,"66,924"
50,Mars,0.36%,52.29%,"65,051"
51,Visage,0.35%,48.72%,"6,039"
52,Disruptor,0.30%,49.72%,"46,785"
53,Rubick,0.30%,54.31%,"77,498"
54,Legion Commander,0.29%,49.64%,"82,847"
55,Abaddon,0.20%,46.68%,"31,283"
56,Pugna,0.14%,51.79%,"26,396"
57,Morphling,0.11%,50.89%,"48,879"
58,Ancient Apparition,0.05%,45.38%,"74,427"
59,Ember Spirit,0.04%,53.85%,"44,899"
60,Invoker,0.03%,50.36%,"108,803"
61,Axe,0.01%,48.04%,"104,406"
62,Phoenix,-0.01%,53.32%,"27,186"
63,Earthshaker,-0.05%,52.25%,"60,455"
64,Batrider,-0.15%,56.23%,"9,593"
65,Dark Willow,-0.16%,49.31%,"45,235"
