,counter_hero,disadv,certain_win,num_match
0,Silencer,3.89%,40.44%,"58,777"
1,Outworld Destroyer,3.72%,43.77%,"43,744"
2,Pugna,3.51%,46.14%,"28,101"
3,Death Prophet,3.17%,48.41%,"19,605"
4,Ursa,2.79%,44.80%,"97,090"
5,Weaver,2.60%,46.18%,"41,329"
6,Nyx Assassin,2.50%,42.78%,"39,426"
7,Batrider,2.48%,51.32%,"11,049"
8,Faceless Void,1.92%,46.43%,"79,257"
9,Bloodseeker,1.90%,44.15%,"35,204"
10,Grimstroke,1.88%,45.90%,"58,897"
11,Bane,1.81%,47.32%,"12,844"
12,Lina,1.63%,48.92%,"85,206"
13,Queen of Pain,1.54%,49.11%,"46,818"
14,Skywrath Mage,1.42%,45.45%,"54,501"
15,Night Stalker,1.37%,45.67%,"20,936"
16,Lone Druid,1.29%,51.04%,"8,492"
17,Ogre Magi,1.28%,43.53%,"118,209"
18,Lion,1.27%,46.88%,"146,664"
19,Leshrac,1.26%,49.09%,"30,930"
20,Templar Assassin,1.23%,47.39%,"56,445"
21,Anti-Mage,1.16%,46.74%,"75,021"
22,Doom,1.08%,50.55%,"41,017"
23,Tinker,1.01%,46.61%,"53,187"
24,Dark Willow,0.97%,45.96%,"44,948"
25,Riki,0.95%,43.56%,"45,181"
26,Dazzle,0.91%,43.51%,"57,913"
27,Windranger,0.83%,45.86%,"101,489"
28,Techies,0.82%,48.18%,"60,721"
29,Luna,0.81%,44.34%,"75,212"
30,Slardar,0.81%,46.46%,"52,921"
31,Keeper of the Light,0.75%,49.58%,"24,234"
32,Visage,0.73%,46.08%,"6,804"
33,Invoker,0.73%,47.48%,"119,215"
34,Puck,0.69%,47.95%,"63,071"
35,Pangolier,0.67%,49.67%,"29,246"
36,Storm Spirit,0.65%,50.06%,"56,639"
37,Shadow Fiend,0.63%,49.10%,"93,911"
38,Sven,0.63%,49.81%,"40,268"
39,Enchantress,0.61%,51.63%,"25,383"
40,Clinkz,0.55%,44.40%,"28,524"
41,Razor,0.55%,46.77%,"30,322"
42,Warlock,0.54%,45.35%,"35,780"
43,Void Spirit,0.52%,49.73%,"34,792"
44,Bounty Hunter,0.50%,47.31%,"49,876"
45,Gyrocopter,0.49%,48.64%,"36,971"
46,Ancient Apparition,0.49%,42.73%,"67,840"
47,Necrophos,0.48%,43.87%,"48,926"
48,Mirana,0.48%,45.60%,"78,911"
49,Medusa,0.47%,44.67%,"58,007"
50,Vengeful Spirit,0.41%,46.81%,"32,543"
51,Lifestealer,0.31%,46.40%,"59,055"
52,Enigma,0.30%,43.20%,"29,009"
53,Troll Warlord,0.30%,49.01%,"31,837"
54,Juggernaut,0.28%,46.47%,"120,693"
55,Viper,0.24%,48.87%,"79,373"
56,Crystal Maiden,0.24%,47.01%,"73,143"
57,Ember Spirit,0.20%,51.48%,"44,297"
58,Jakiro,0.11%,46.01%,"48,020"
59,Earth Spirit,0.08%,50.64%,"27,000"
60,Disruptor,0.06%,47.74%,"46,035"
61,Nature's Prophet,0.00%,55.60%,"39,048"
62,Drow Ranger,-0.02%,45.08%,"74,861"
63,Chen,-0.06%,53.37%,"3,963"
64,Rubick,-0.07%,52.47%,"81,110"
65,Mars,-0.09%,50.51%,"72,912"
66,Bristleback,-0.09%,45.96%,"113,476"
67,Zeus,-0.10%,45.90%,"65,151"
68,Witch Doctor,-0.12%,48.65%,"80,727"
69,Legion Commander,-0.15%,47.84%,"93,005"
70,Phoenix,-0.26%,51.37%,"29,329"
71,Earthshaker,-0.28%,50.25%,"64,246"
72,Abaddon,-0.29%,44.92%,"33,632"
73,Monkey King,-0.29%,50.96%,"63,431"
74,Oracle,-0.30%,50.77%,"23,356"
75,Shadow Shaman,-0.34%,46.29%,"91,988"
76,Elder Titan,-0.38%,46.50%,"13,640"
77,Arc Warden,-0.39%,45.04%,"22,491"
78,Magnus,-0.43%,50.16%,"49,774"
79,Slark,-0.58%,47.63%,"97,165"
80,Tusk,-0.58%,52.75%,"40,255"
81,Beastmaster,-0.64%,55.02%,"6,345"
82,Sniper,-0.70%,48.55%,"91,336"
83,Alchemist,-0.80%,52.36%,"24,971"
84,Snapfire,-0.80%,52.21%,"55,204"
85,Lich,-0.81%,49.32%,"48,558"
86,Io,-0.93%,54.14%,"13,573"
87,Spirit Breaker,-1.05%,48.00%,"61,320"
88,Clockwerk,-1.05%,49.45%,"36,067"
89,Tidehunter,-1.07%,48.84%,"49,829"
90,Morphling,-1.16%,49.93%,"55,310"
91,Tiny,-1.16%,54.93%,"49,457"
92,Pudge,-1.19%,48.44%,"192,457"
93,Brewmaster,-1.20%,48.60%,"9,070"
94,Spectre,-1.21%,45.30%,"70,523"
95,Lycan,-1.23%,54.22%,"6,306"
96,Sand King,-1.39%,45.63%,"59,616"
97,Phantom Assassin,-1.44%,51.95%,"93,861"
98,Venomancer,-1.51%,48.84%,"45,501"
99,Dragon Knight,-1.60%,48.02%,"71,037"
100,Dark Seer,-1.61%,43.80%,"20,607"
101,Kunkka,-1.71%,50.25%,"48,140"
102,Hoodwink,-1.77%,48.20%,"76,141"
103,Dawnbreaker,-1.91%,49.78%,"44,307"
104,Axe,-1.91%,47.60%,"119,744"
105,Broodmother,-2.05%,49.11%,"15,999"
106,Omniknight,-2.17%,47.03%,"16,378"
107,Treant Protector,-2.19%,47.29%,"52,614"
108,Centaur Warrunner,-2.35%,48.20%,"52,900"
109,Undying,-2.40%,49.84%,"37,924"
