,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,4.11%,46.23%,"79,867"
1,Storm Spirit,3.49%,49.66%,"78,638"
2,Phantom Lancer,3.46%,45.65%,"53,809"
3,Zeus,2.97%,45.25%,"82,676"
4,Pugna,2.95%,49.08%,"26,874"
5,Nyx Assassin,2.62%,45.03%,"36,624"
6,Naga Siren,2.52%,45.64%,"14,953"
7,Alchemist,2.46%,51.38%,"22,748"
8,Batrider,2.43%,53.68%,"9,072"
9,Pudge,2.35%,47.65%,"165,272"
10,Lone Druid,2.32%,52.34%,"8,395"
11,Visage,2.28%,46.84%,"7,092"
12,Juggernaut,2.16%,47.07%,"117,876"
13,Clockwerk,2.03%,48.70%,"31,920"
14,Chen,1.84%,53.73%,"3,683"
15,Queen of Pain,1.76%,51.25%,"45,561"
16,Spectre,1.75%,44.77%,"82,323"
17,Nature's Prophet,1.69%,56.25%,"38,356"
18,Chaos Knight,1.68%,45.13%,"46,400"
19,Death Prophet,1.63%,52.33%,"17,293"
20,Broodmother,1.62%,47.70%,"16,098"
21,Night Stalker,1.29%,48.13%,"19,122"
22,Skywrath Mage,1.24%,47.99%,"57,606"
23,Weaver,1.13%,50.02%,"39,683"
24,Io,1.10%,54.41%,"13,026"
25,Wraith King,0.96%,45.74%,"86,224"
26,Riki,0.94%,45.93%,"47,122"
27,Puck,0.93%,50.08%,"62,322"
28,Lifestealer,0.92%,48.17%,"57,235"
29,Mirana,0.91%,47.55%,"78,489"
30,Bounty Hunter,0.89%,49.29%,"45,324"
31,Slark,0.88%,48.59%,"88,759"
32,Beastmaster,0.87%,55.77%,"5,616"
33,Tusk,0.86%,53.63%,"33,998"
34,Doom,0.77%,53.21%,"35,192"
35,Sand King,0.76%,45.89%,"54,503"
36,Ember Spirit,0.59%,53.44%,"42,948"
37,Enchantress,0.57%,54.02%,"23,160"
38,Shadow Shaman,0.56%,47.79%,"91,875"
39,Invoker,0.49%,50.07%,"133,689"
40,Bane,0.46%,51.08%,"13,281"
41,Warlock,0.45%,47.81%,"35,648"
42,Silencer,0.45%,46.21%,"57,875"
43,Centaur Warrunner,0.44%,47.80%,"46,115"
44,Shadow Demon,0.38%,52.01%,"16,077"
