,counter_hero,disadv,certain_win,num_match
0,Venomancer,2.31%,41.37%,"40,116"
1,Necrophos,2.18%,38.56%,"40,923"
2,Undying,1.92%,41.84%,"26,927"
3,Lifestealer,1.86%,41.20%,"54,889"
4,Viper,1.73%,43.76%,"59,579"
5,Ember Spirit,1.41%,46.55%,"44,526"
6,Huskar,1.29%,41.03%,"36,362"
7,Chen,1.29%,48.22%,"3,223"
8,Death Prophet,1.27%,46.65%,"17,900"
9,Batrider,1.23%,48.85%,"9,165"
10,Timbersaw,1.23%,45.07%,"49,458"
11,Lone Druid,1.02%,47.61%,"7,332"
12,Ogre Magi,0.86%,40.30%,"97,400"
13,Gyrocopter,0.83%,44.61%,"31,857"
14,Bristleback,0.76%,41.51%,"81,509"
15,Sven,0.71%,46.03%,"34,872"
16,Doom,0.67%,47.24%,"36,710"
17,Spectre,0.65%,39.86%,"66,119"
18,Dragon Knight,0.64%,42.16%,"56,034"
19,Troll Warlord,0.62%,45.00%,"28,011"
20,Wraith King,0.62%,40.07%,"78,361"
21,Templar Assassin,0.60%,44.34%,"50,565"
22,Leshrac,0.56%,46.09%,"28,194"
23,Queen of Pain,0.54%,46.42%,"44,134"
24,Phoenix,0.53%,46.85%,"25,541"
25,Sniper,0.52%,43.72%,"83,024"
26,Clockwerk,0.50%,44.19%,"30,373"
27,Visage,0.50%,42.68%,"5,523"
28,Alchemist,0.46%,47.35%,"19,471"
29,Treant Protector,0.45%,41.07%,"33,165"
30,Enchantress,0.43%,48.10%,"21,958"
31,Underlord,0.42%,38.20%,"28,072"
32,Keeper of the Light,0.35%,46.30%,"21,618"
33,Tinker,0.35%,43.61%,"42,686"
34,Sand King,0.33%,40.29%,"53,793"
35,Lich,0.33%,44.51%,"41,592"
36,Pangolier,0.30%,46.33%,"27,648"
37,Ursa,0.25%,43.63%,"67,591"
38,Jakiro,0.25%,42.23%,"42,372"
39,Brewmaster,0.24%,43.44%,"7,793"
40,Terrorblade,0.23%,45.94%,"30,217"
41,Beastmaster,0.18%,50.42%,"5,419"
42,Tusk,0.17%,48.23%,"31,399"
43,Faceless Void,0.17%,44.46%,"75,419"
44,Razor,0.17%,43.48%,"28,391"
45,Kunkka,0.13%,44.73%,"40,270"
46,Enigma,0.13%,39.75%,"25,929"
47,Bane,0.12%,45.38%,"11,465"
48,Techies,0.10%,45.22%,"50,657"
49,Lycan,0.07%,49.15%,"5,430"
50,Grimstroke,0.07%,44.02%,"55,692"
51,Magnus,0.02%,45.99%,"44,881"
52,Crystal Maiden,0.00%,43.58%,"66,775"
53,Warlock,0.00%,42.25%,"31,103"
54,Zeus,0.00%,42.15%,"61,283"
55,Invoker,-0.03%,44.51%,"108,082"
56,Ancient Apparition,-0.04%,39.59%,"70,265"
57,Earth Spirit,-0.04%,47.04%,"22,689"
58,Snapfire,-0.10%,47.79%,"45,730"
59,Medusa,-0.13%,41.61%,"53,818"
60,Witch Doctor,-0.13%,45.00%,"71,625"
61,Juggernaut,-0.14%,43.21%,"112,287"
62,Winter Wyvern,-0.19%,41.12%,"56,214"
63,Dark Willow,-0.21%,43.47%,"41,312"
64,Dawnbreaker,-0.22%,44.41%,"35,146"
65,Luna,-0.24%,41.72%,"66,693"
66,Io,-0.25%,49.68%,"10,632"
67,Weaver,-0.29%,45.40%,"35,881"
68,Windranger,-0.29%,43.27%,"93,517"
69,Pugna,-0.30%,46.33%,"24,887"
70,Lina,-0.35%,47.13%,"77,740"
71,Slardar,-0.40%,44.01%,"44,036"
72,Bounty Hunter,-0.41%,44.54%,"47,145"
73,Disruptor,-0.41%,44.53%,"42,698"
74,Lion,-0.42%,44.73%,"148,275"
75,Vengeful Spirit,-0.43%,44.00%,"28,709"
76,Nature's Prophet,-0.44%,52.28%,"32,386"
77,Shadow Shaman,-0.44%,42.73%,"82,457"
78,Pudge,-0.45%,44.16%,"135,046"
79,Mars,-0.45%,47.15%,"60,844"
80,Omniknight,-0.48%,41.68%,"13,024"
81,Monkey King,-0.49%,47.45%,"51,177"
82,Arc Warden,-0.51%,41.54%,"18,932"
83,Outworld Destroyer,-0.54%,44.40%,"36,858"
84,Nyx Assassin,-0.55%,42.16%,"40,747"
85,Bloodseeker,-0.55%,42.98%,"30,472"
86,Dazzle,-0.56%,41.34%,"49,245"
87,Silencer,-0.58%,41.22%,"53,977"
88,Skywrath Mage,-0.64%,43.81%,"52,184"
89,Earthshaker,-0.66%,46.93%,"56,585"
90,Mirana,-0.67%,43.05%,"77,031"
91,Centaur Warrunner,-0.76%,42.97%,"41,914"
92,Abaddon,-0.80%,41.82%,"27,452"
93,Spirit Breaker,-0.87%,44.17%,"47,806"
94,Hoodwink,-0.90%,43.68%,"66,829"
95,Shadow Demon,-0.92%,47.29%,"15,667"
96,Night Stalker,-0.97%,44.38%,"19,044"
97,Dark Seer,-0.99%,39.51%,"19,140"
98,Oracle,-1.01%,47.79%,"20,808"
99,Rubick,-1.06%,49.70%,"75,092"
100,Puck,-1.11%,46.02%,"63,194"
101,Clinkz,-1.18%,42.52%,"25,640"
102,Axe,-1.21%,43.31%,"90,028"
103,Void Spirit,-1.24%,47.79%,"32,079"
104,Meepo,-1.27%,40.17%,"12,350"
105,Shadow Fiend,-1.27%,47.24%,"80,542"
106,Chaos Knight,-1.28%,42.09%,"38,841"
107,Phantom Assassin,-1.28%,48.10%,"82,893"
108,Slark,-1.42%,44.79%,"75,803"
