,counter_hero,disadv,certain_win,num_match
0,Phoenix,2.69%,53.15%,"23,937"
1,Batrider,2.51%,56.01%,"8,174"
2,Timbersaw,2.14%,52.71%,"52,615"
3,Slark,2.13%,49.85%,"72,209"
4,Morphling,2.01%,51.60%,"46,547"
5,Juggernaut,2.01%,49.69%,"103,463"
6,Huskar,1.77%,49.03%,"36,186"
7,Weaver,1.77%,51.82%,"34,846"
8,Brewmaster,1.62%,50.53%,"6,951"
9,Bristleback,1.45%,49.34%,"78,483"
10,Death Prophet,1.44%,54.94%,"16,007"
11,Leshrac,1.39%,53.75%,"24,144"
12,Ancient Apparition,1.32%,46.79%,"65,715"
13,Beastmaster,1.25%,57.83%,"5,644"
14,Viper,1.21%,52.73%,"57,111"
15,Rubick,1.21%,55.97%,"65,051"
16,Lina,1.04%,54.26%,"71,083"
17,Ursa,0.98%,51.41%,"59,780"
18,Skywrath Mage,0.96%,50.72%,"46,683"
19,Faceless Void,0.96%,52.18%,"67,927"
20,Mars,0.90%,54.32%,"51,188"
21,Grimstroke,0.86%,51.73%,"50,344"
22,Void Spirit,0.85%,54.16%,"26,334"
23,Keeper of the Light,0.80%,54.33%,"20,428"
24,Necrophos,0.79%,48.46%,"39,225"
25,Techies,0.78%,53.02%,"53,410"
26,Anti-Mage,0.76%,51.93%,"58,234"
27,Earth Spirit,0.71%,54.76%,"19,301"
28,Doom,0.70%,55.67%,"29,536"
29,Pugna,0.68%,53.81%,"22,346"
30,Storm Spirit,0.65%,54.83%,"44,636"
31,Magnus,0.63%,53.88%,"36,617"
32,Enigma,0.60%,47.77%,"25,217"
33,Lich,0.58%,52.74%,"38,701"
34,Dawnbreaker,0.58%,52.10%,"33,432"
35,Undying,0.56%,51.68%,"28,112"
36,Oracle,0.55%,54.69%,"18,449"
37,Snapfire,0.53%,55.63%,"40,063"
38,Windranger,0.51%,50.99%,"84,650"
39,Invoker,0.49%,52.51%,"97,554"
40,Nyx Assassin,0.49%,49.65%,"32,769"
41,Sniper,0.44%,52.25%,"82,610"
42,Lycan,0.42%,57.25%,"5,057"
43,Monkey King,0.40%,55.05%,"48,498"
44,Shadow Fiend,0.40%,54.10%,"79,525"
45,Outworld Destroyer,0.36%,52.00%,"32,452"
46,Tidehunter,0.34%,52.24%,"35,864"
47,Witch Doctor,0.31%,53.04%,"72,593"
48,Shadow Demon,0.30%,54.52%,"14,135"
49,Venomancer,0.29%,51.86%,"38,571"
50,Dark Seer,0.25%,46.78%,"17,853"
51,Clockwerk,0.24%,52.94%,"25,827"
52,Troll Warlord,0.22%,53.87%,"26,846"
53,Alchemist,0.22%,56.06%,"17,486"
54,Pudge,0.20%,52.03%,"142,257"
55,Puck,0.20%,53.23%,"50,254"
56,Sand King,0.18%,48.95%,"46,492"
57,Underlord,0.12%,47.03%,"25,686"
58,Silencer,0.12%,49.02%,"52,203"
59,Nature's Prophet,0.08%,60.21%,"31,384"
60,Warlock,0.08%,50.66%,"30,887"
61,Pangolier,0.07%,55.05%,"21,863"
62,Zeus,0.06%,50.57%,"59,726"
63,Tinker,0.04%,52.40%,"38,467"
64,Queen of Pain,0.03%,55.39%,"39,868"
65,Riki,-0.01%,49.36%,"40,359"
66,Hoodwink,-0.04%,51.35%,"61,816"
67,Omniknight,-0.04%,49.71%,"12,822"
68,Gyrocopter,-0.06%,53.99%,"28,614"
69,Disruptor,-0.06%,52.67%,"39,410"
70,Io,-0.08%,57.98%,"10,403"
71,Dark Willow,-0.14%,51.89%,"38,037"
72,Arc Warden,-0.15%,49.66%,"18,451"
73,Crystal Maiden,-0.17%,52.23%,"64,667"
74,Enchantress,-0.17%,57.17%,"20,090"
75,Visage,-0.21%,51.89%,"5,330"
76,Bounty Hunter,-0.26%,52.88%,"46,119"
77,Clinkz,-0.28%,50.08%,"25,172"
78,Jakiro,-0.30%,51.26%,"39,838"
79,Razor,-0.33%,52.47%,"24,764"
80,Drow Ranger,-0.33%,50.23%,"64,475"
81,Mirana,-0.36%,51.25%,"68,619"
82,Ogre Magi,-0.37%,49.94%,"96,592"
83,Dazzle,-0.37%,49.63%,"52,661"
84,Phantom Lancer,-0.40%,51.93%,"47,844"
85,Winter Wyvern,-0.42%,49.85%,"53,167"
86,Bloodseeker,-0.42%,51.32%,"29,300"
87,Chen,-0.45%,58.49%,"3,151"
88,Shadow Shaman,-0.47%,51.24%,"74,385"
89,Earthshaker,-0.48%,55.23%,"47,994"
90,Tiny,-0.49%,58.93%,"33,164"
91,Elder Titan,-0.51%,51.48%,"9,982"
92,Bane,-0.51%,54.50%,"10,750"
93,Phantom Assassin,-0.55%,55.84%,"79,977"
94,Abaddon,-0.60%,50.11%,"25,912"
95,Luna,-0.67%,50.64%,"60,748"
96,Lion,-0.69%,53.44%,"141,129"
97,Lone Druid,-0.73%,57.86%,"6,848"
98,Broodmother,-0.74%,52.59%,"13,092"
99,Kunkka,-0.76%,54.10%,"36,008"
100,Sven,-0.76%,55.97%,"31,737"
101,Vengeful Spirit,-0.77%,52.82%,"27,487"
102,Axe,-0.89%,51.49%,"81,449"
103,Terrorblade,-0.93%,55.59%,"27,310"
104,Slardar,-0.94%,53.03%,"42,618"
105,Ember Spirit,-0.99%,57.40%,"36,422"
106,Centaur Warrunner,-1.02%,51.72%,"37,590"
107,Night Stalker,-1.04%,52.95%,"16,548"
108,Legion Commander,-1.04%,53.51%,"69,350"
109,Naga Siren,-1.13%,51.86%,"12,323"
110,Medusa,-1.18%,51.12%,"51,154"
111,Spirit Breaker,-1.35%,53.13%,"44,597"
112,Tusk,-1.39%,58.26%,"25,511"
113,Lifestealer,-1.43%,52.95%,"47,036"
114,Dragon Knight,-1.62%,52.87%,"49,250"
115,Meepo,-2.06%,49.45%,"12,526"
116,Wraith King,-2.13%,51.19%,"69,307"
117,Chaos Knight,-2.24%,51.53%,"37,319"
118,Spectre,-2.38%,51.29%,"58,931"
119,Templar Assassin,-2.64%,56.02%,"44,359"
