,counter_hero,disadv,certain_win,num_match
0,Tinker,3.19%,45.22%,"31,795"
1,Outworld Destroyer,2.99%,45.30%,"27,755"
2,Pugna,2.93%,47.45%,"21,389"
3,Windranger,2.88%,44.70%,"72,283"
4,Razor,2.86%,45.19%,"24,966"
5,Beastmaster,2.85%,52.00%,"4,500"
6,Shadow Shaman,2.66%,44.19%,"57,772"
7,Ogre Magi,2.64%,43.08%,"77,618"
8,Ancient Apparition,2.21%,41.89%,"44,453"
9,Lion,1.86%,47.07%,"100,348"
10,Dragon Knight,1.81%,45.45%,"39,815"
11,Brewmaster,1.75%,46.32%,"5,572"
12,Pangolier,1.63%,49.38%,"16,824"
13,Invoker,1.57%,47.42%,"74,915"
14,Slark,1.54%,46.36%,"60,666"
15,Winter Wyvern,1.54%,43.89%,"37,609"
16,Grimstroke,1.54%,46.99%,"37,320"
17,Centaur Warrunner,1.53%,45.13%,"30,227"
18,Crystal Maiden,1.52%,46.52%,"52,437"
19,Doom,1.50%,50.76%,"22,821"
20,Gyrocopter,1.47%,48.36%,"23,841"
21,Bristleback,1.37%,45.37%,"71,473"
22,Lina,1.31%,49.90%,"59,253"
23,Jakiro,1.30%,45.61%,"31,353"
24,Underlord,1.23%,41.91%,"19,350"
25,Mars,1.22%,49.89%,"36,976"
26,Terrorblade,1.22%,49.32%,"21,147"
27,Axe,1.15%,45.51%,"71,713"
28,Clockwerk,1.11%,47.99%,"20,233"
29,Tidehunter,1.03%,47.49%,"29,314"
30,Techies,1.01%,48.70%,"45,475"
31,Nature's Prophet,0.96%,55.17%,"29,300"
32,Arc Warden,0.95%,44.50%,"14,694"
33,Dark Willow,0.93%,46.75%,"28,603"
34,Wraith King,0.80%,44.35%,"61,899"
35,Luna,0.77%,45.18%,"50,380"
36,Hoodwink,0.76%,46.51%,"45,049"
37,Leshrac,0.68%,50.34%,"17,444"
38,Venomancer,0.67%,47.40%,"31,727"
39,Phoenix,0.64%,51.10%,"20,239"
40,Skywrath Mage,0.63%,46.98%,"41,296"
41,Keeper of the Light,0.54%,50.47%,"16,805"
42,Spectre,0.52%,44.43%,"50,283"
43,Omniknight,0.52%,45.08%,"11,162"
44,Oracle,0.50%,50.62%,"13,239"
45,Enigma,0.47%,43.86%,"21,089"
46,Juggernaut,0.41%,47.10%,"87,148"
47,Bane,0.39%,49.48%,"8,831"
48,Viper,0.37%,49.45%,"52,734"
49,Batrider,0.30%,54.10%,"6,283"
50,Mirana,0.28%,46.57%,"51,963"
51,Medusa,0.24%,45.68%,"45,557"
52,Shadow Demon,0.24%,50.48%,"11,348"
53,Drow Ranger,0.21%,45.65%,"58,194"
54,Lich,0.18%,49.05%,"32,442"
55,Necrophos,0.16%,45.03%,"32,732"
56,Silencer,0.11%,44.98%,"45,288"
57,Witch Doctor,0.10%,49.15%,"56,853"
58,Enchantress,0.05%,52.82%,"17,957"
59,Rubick,0.05%,52.97%,"49,922"
60,Morphling,0.05%,49.44%,"36,140"
61,Disruptor,0.00%,48.52%,"29,388"
62,Nyx Assassin,-0.01%,46.10%,"25,687"
63,Death Prophet,-0.05%,52.34%,"14,628"
64,Treant Protector,-0.18%,46.13%,"26,846"
65,Kunkka,-0.23%,49.48%,"31,067"
66,Earthshaker,-0.27%,50.92%,"41,059"
67,Snapfire,-0.27%,52.31%,"31,145"
68,Timbersaw,-0.33%,51.00%,"31,838"
69,Dazzle,-0.41%,45.61%,"40,535"
70,Monkey King,-0.57%,51.88%,"43,272"
71,Vengeful Spirit,-0.58%,48.55%,"23,424"
72,Shadow Fiend,-0.67%,51.01%,"66,487"
73,Zeus,-0.69%,47.23%,"51,663"
74,Pudge,-0.70%,48.76%,"115,052"
75,Tiny,-0.70%,55.00%,"28,012"
76,Sand King,-0.70%,45.77%,"36,852"
77,Spirit Breaker,-0.74%,48.44%,"41,383"
78,Queen of Pain,-0.75%,52.04%,"33,456"
79,Sniper,-0.76%,49.29%,"77,409"
80,Weaver,-0.82%,50.30%,"33,249"
81,Phantom Lancer,-0.90%,48.34%,"42,850"
82,Puck,-0.93%,50.25%,"36,397"
83,Naga Siren,-0.94%,47.58%,"11,515"
84,Abaddon,-1.03%,46.48%,"22,102"
85,Visage,-1.04%,48.67%,"4,422"
86,Huskar,-1.09%,47.79%,"38,503"
87,Faceless Void,-1.25%,50.20%,"60,962"
88,Alchemist,-1.38%,53.57%,"17,703"
89,Phantom Assassin,-1.39%,52.48%,"80,708"
90,Chaos Knight,-1.42%,46.64%,"35,989"
91,Warlock,-1.42%,48.09%,"23,751"
92,Undying,-1.46%,49.61%,"24,247"
93,Tusk,-1.52%,54.26%,"22,338"
94,Lifestealer,-1.57%,48.99%,"42,575"
