,counter_hero,disadv,certain_win,num_match
0,Dark Seer,1.84%,38.45%,"13,491"
1,Winter Wyvern,1.63%,41.08%,"39,566"
2,Troll Warlord,1.53%,45.74%,"22,337"
3,Terrorblade,1.52%,46.29%,"22,691"
4,Treant Protector,1.50%,41.74%,"25,511"
5,Batrider,1.45%,50.21%,"6,947"
6,Lich,1.43%,45.08%,"33,794"
7,Beastmaster,1.43%,50.70%,"4,043"
8,Necrophos,1.36%,41.13%,"29,898"
9,Magnus,1.26%,46.42%,"33,693"
10,Meepo,1.14%,39.47%,"9,212"
11,Templar Assassin,1.13%,45.49%,"34,377"
12,Dark Willow,1.11%,43.85%,"30,199"
13,Pugna,1.07%,46.60%,"17,534"
14,Phantom Lancer,1.05%,43.71%,"38,548"
15,Monkey King,1.02%,47.60%,"38,614"
16,Dawnbreaker,1.00%,44.87%,"26,557"
17,Underlord,1.00%,39.39%,"22,096"
18,Ember Spirit,1.00%,48.58%,"31,035"
19,Jakiro,0.94%,43.24%,"33,618"
20,Kunkka,0.94%,45.59%,"31,817"
21,Omniknight,0.82%,42.08%,"9,737"
22,Sven,0.74%,47.64%,"27,500"
23,Puck,0.71%,45.91%,"45,084"
24,Void Spirit,0.70%,47.48%,"25,170"
25,Undying,0.68%,44.75%,"21,457"
26,Timbersaw,0.68%,47.25%,"40,257"
27,Venomancer,0.66%,44.69%,"30,383"
28,Earthshaker,0.65%,47.28%,"44,639"
29,Enigma,0.59%,41.02%,"20,482"
30,Riki,0.55%,42.05%,"29,963"
31,Naga Siren,0.54%,43.37%,"9,557"
32,Chaos Knight,0.54%,42.00%,"29,502"
33,Phoenix,0.48%,48.52%,"18,638"
34,Dragon Knight,0.48%,44.02%,"41,391"
35,Pangolier,0.42%,47.86%,"21,811"
36,Sand King,0.36%,42.00%,"40,610"
37,Leshrac,0.32%,47.97%,"19,884"
38,Lone Druid,0.30%,49.94%,"5,442"
39,Queen of Pain,0.28%,48.29%,"33,451"
40,Enchantress,0.28%,49.84%,"15,044"
41,Faceless Void,0.28%,46.01%,"59,539"
42,Shadow Shaman,0.28%,43.74%,"67,118"
43,Death Prophet,0.26%,49.29%,"13,306"
44,Night Stalker,0.22%,44.87%,"13,741"
45,Grimstroke,0.19%,45.58%,"41,231"
46,Weaver,0.16%,46.60%,"28,225"
47,Crystal Maiden,0.16%,45.11%,"50,820"
48,Elder Titan,0.16%,44.01%,"8,303"
49,Slark,0.13%,44.97%,"62,995"
50,Ursa,0.13%,45.42%,"54,090"
51,Techies,0.11%,46.86%,"38,438"
52,Clockwerk,0.09%,46.27%,"24,084"
53,Storm Spirit,0.08%,48.55%,"38,389"
54,Bane,0.06%,47.09%,"8,685"
55,Dazzle,0.00%,42.51%,"36,412"
56,Morphling,-0.02%,46.78%,"36,017"
57,Medusa,-0.03%,43.23%,"39,996"
58,Axe,-0.06%,43.92%,"68,724"
59,Doom,-0.08%,49.60%,"25,203"
60,Ogre Magi,-0.08%,42.90%,"78,497"
61,Luna,-0.08%,43.29%,"49,794"
62,Snapfire,-0.10%,49.40%,"35,784"
63,Witch Doctor,-0.11%,46.63%,"56,486"
