,counter_hero,disadv,certain_win,num_match
0,Juggernaut,4.68%,50.03%,"81,706"
1,Sniper,4.32%,51.36%,"62,344"
2,Rubick,4.08%,55.94%,"51,603"
3,Ursa,3.60%,51.67%,"49,473"
4,Tinker,3.20%,52.07%,"29,534"
5,Timbersaw,2.71%,54.87%,"33,863"
6,Ancient Apparition,2.61%,48.40%,"50,833"
7,Lifestealer,2.56%,51.83%,"38,861"
8,Clinkz,2.47%,50.14%,"20,115"
9,Bristleback,2.43%,51.23%,"63,543"
10,Alchemist,2.35%,56.64%,"13,888"
11,Pudge,1.96%,53.24%,"105,698"
12,Broodmother,1.90%,52.69%,"9,539"
13,Drow Ranger,1.86%,50.94%,"52,388"
14,Monkey King,1.68%,56.53%,"36,339"
15,Outworld Destroyer,1.67%,53.49%,"27,529"
16,Sven,1.65%,56.31%,"25,012"
17,Snapfire,1.62%,57.30%,"32,960"
18,Anti-Mage,1.62%,53.88%,"47,672"
19,Shadow Fiend,1.58%,55.72%,"56,234"
20,Morphling,1.57%,54.79%,"33,871"
21,Viper,1.55%,55.16%,"45,687"
22,Doom,1.40%,57.73%,"26,549"
23,Skywrath Mage,1.33%,53.15%,"36,517"
24,Grimstroke,1.32%,54.07%,"40,802"
25,Windranger,1.11%,53.22%,"66,408"
26,Huskar,1.04%,52.57%,"26,178"
27,Witch Doctor,0.93%,55.21%,"55,101"
28,Enchantress,0.91%,58.80%,"15,619"
29,Hoodwink,0.90%,53.23%,"46,353"
30,Enigma,0.83%,50.38%,"18,340"
31,Silencer,0.83%,51.16%,"42,025"
32,Invoker,0.82%,54.97%,"75,428"
33,Keeper of the Light,0.82%,57.05%,"15,900"
34,Lina,0.81%,57.23%,"55,739"
35,Arc Warden,0.77%,51.56%,"14,167"
36,Legion Commander,0.74%,54.58%,"56,606"
37,Magnus,0.69%,56.59%,"31,281"
38,Death Prophet,0.63%,58.52%,"13,381"
39,Bloodseeker,0.57%,53.13%,"22,688"
40,Dazzle,0.55%,51.54%,"38,453"
41,Slark,0.54%,54.17%,"56,714"
42,Slardar,0.53%,54.36%,"34,315"
43,Lich,0.51%,55.59%,"31,469"
44,Faceless Void,0.47%,55.42%,"52,305"
45,Leshrac,0.39%,57.51%,"19,892"
46,Pugna,0.37%,56.88%,"17,751"
47,Phantom Assassin,0.35%,57.73%,"61,070"
48,Shadow Shaman,0.32%,53.29%,"59,483"
49,Crystal Maiden,0.32%,54.53%,"48,976"
50,Techies,0.29%,56.25%,"36,399"
51,Bane,0.27%,56.47%,"8,654"
52,Nature's Prophet,0.21%,62.73%,"22,573"
53,Bounty Hunter,0.18%,55.22%,"33,071"
54,Undying,0.17%,54.86%,"22,222"
55,Storm Spirit,0.16%,58.06%,"36,061"
56,Night Stalker,0.12%,54.58%,"14,829"
57,Oracle,0.10%,57.89%,"14,760"
58,Pangolier,0.01%,57.87%,"18,723"
59,Disruptor,-0.02%,55.41%,"32,920"
60,Beastmaster,-0.07%,61.82%,"3,937"
61,Zeus,-0.09%,53.52%,"46,256"
62,Brewmaster,-0.14%,55.12%,"5,727"
63,Warlock,-0.15%,53.70%,"25,511"
64,Treant Protector,-0.16%,52.97%,"25,687"
65,Razor,-0.22%,55.15%,"21,463"
66,Dark Willow,-0.24%,54.78%,"31,271"
67,Phoenix,-0.28%,58.88%,"18,785"
68,Earth Spirit,-0.29%,58.50%,"14,745"
69,Venomancer,-0.31%,55.24%,"32,347"
70,Jakiro,-0.37%,54.14%,"33,938"
71,Dark Seer,-0.43%,50.33%,"14,650"
72,Lion,-0.44%,55.98%,"103,524"
73,Vengeful Spirit,-0.48%,55.31%,"21,387"
74,Mars,-0.51%,58.44%,"44,727"
75,Nyx Assassin,-0.55%,53.50%,"27,823"
76,Ogre Magi,-0.58%,52.95%,"76,390"
77,Winter Wyvern,-0.62%,52.86%,"43,203"
78,Tiny,-0.65%,61.80%,"28,072"
79,Weaver,-0.66%,57.00%,"26,008"
80,Axe,-0.76%,54.18%,"71,947"
81,Tidehunter,-0.79%,56.16%,"33,484"
82,Kunkka,-0.84%,56.94%,"29,874"
83,Templar Assassin,-0.84%,57.01%,"35,212"
84,Elder Titan,-0.90%,54.68%,"8,445"
85,Clockwerk,-0.92%,56.90%,"22,819"
86,Gyrocopter,-0.95%,57.64%,"23,717"
87,Luna,-0.95%,53.72%,"49,688"
88,Necrophos,-0.98%,53.04%,"30,534"
89,Batrider,-0.99%,62.27%,"6,152"
90,Tusk,-1.01%,60.61%,"22,096"
91,Queen of Pain,-1.04%,59.18%,"32,719"
92,Earthshaker,-1.09%,58.58%,"39,481"
93,Troll Warlord,-1.25%,58.09%,"19,349"
94,Mirana,-1.30%,54.95%,"55,084"
95,Chen,-1.40%,62.13%,"2,308"
96,Centaur Warrunner,-1.68%,55.18%,"33,933"
97,Io,-1.76%,62.36%,"7,580"
98,Lycan,-1.76%,62.18%,"4,006"
99,Ember Spirit,-1.81%,60.95%,"30,845"
100,Dawnbreaker,-1.88%,57.33%,"26,719"
101,Shadow Demon,-1.96%,59.58%,"12,109"
102,Dragon Knight,-2.00%,56.04%,"44,308"
103,Visage,-2.06%,56.57%,"3,949"
104,Puck,-2.08%,58.22%,"42,957"
105,Abaddon,-2.09%,54.42%,"22,011"
106,Sand King,-2.21%,54.12%,"41,268"
107,Omniknight,-2.21%,54.73%,"10,293"
108,Void Spirit,-2.83%,60.60%,"22,018"
109,Terrorblade,-2.95%,60.35%,"20,951"
110,Chaos Knight,-3.13%,55.21%,"30,965"
