,counter_hero,disadv,certain_win,num_match
0,Medusa,4.59%,43.30%,"47,660"
1,Luna,2.97%,44.91%,"52,783"
2,Meepo,2.49%,42.63%,"10,652"
3,Timbersaw,2.40%,50.16%,"37,921"
4,Morphling,2.16%,49.20%,"36,698"
5,Gyrocopter,2.15%,49.52%,"25,953"
6,Dawnbreaker,2.07%,48.38%,"27,001"
7,Pangolier,1.98%,50.86%,"17,920"
8,Phantom Lancer,1.90%,47.45%,"41,717"
9,Ancient Apparition,1.86%,44.08%,"51,317"
10,Lifestealer,1.73%,47.61%,"39,977"
11,Anti-Mage,1.62%,48.87%,"48,390"
12,Faceless Void,1.49%,49.42%,"55,513"
13,Phoenix,1.49%,52.08%,"19,073"
14,Troll Warlord,1.45%,50.39%,"24,248"
15,Weaver,1.34%,50.01%,"32,190"
16,Ember Spirit,1.27%,52.89%,"29,509"
17,Juggernaut,1.24%,48.18%,"85,737"
18,Windranger,1.15%,48.16%,"70,593"
19,Slark,1.12%,48.60%,"58,450"
20,Pugna,1.07%,51.17%,"19,582"
21,Nature's Prophet,1.04%,56.92%,"26,556"
22,Venomancer,1.04%,48.88%,"33,226"
23,Naga Siren,1.03%,47.43%,"10,651"
24,Bounty Hunter,0.98%,49.42%,"35,798"
25,Sniper,0.95%,49.54%,"75,382"
26,Clinkz,0.94%,46.64%,"22,497"
27,Lina,0.88%,52.15%,"60,307"
28,Snapfire,0.85%,53.05%,"39,238"
29,Enchantress,0.82%,53.88%,"17,269"
30,Elder Titan,0.77%,47.95%,"9,054"
31,Monkey King,0.77%,52.41%,"40,306"
32,Queen of Pain,0.77%,52.39%,"33,817"
33,Legion Commander,0.75%,49.55%,"58,745"
34,Riki,0.67%,46.48%,"34,451"
35,Arc Warden,0.63%,46.67%,"14,646"
36,Silencer,0.61%,46.34%,"45,984"
37,Batrider,0.53%,55.72%,"6,474"
38,Beastmaster,0.47%,56.29%,"4,415"
39,Slardar,0.44%,49.43%,"34,931"
40,Void Spirit,0.42%,52.33%,"20,847"
41,Alchemist,0.37%,53.64%,"16,130"
42,Techies,0.33%,51.21%,"42,629"
43,Lycan,0.31%,55.09%,"4,636"
44,Phantom Assassin,0.30%,52.77%,"67,031"
45,Hoodwink,0.23%,48.86%,"46,134"
46,Shadow Fiend,0.23%,52.00%,"62,013"
47,Dazzle,0.23%,46.83%,"42,798"
48,Warlock,0.22%,48.29%,"25,354"
49,Ogre Magi,0.18%,47.22%,"82,792"
50,Mirana,0.18%,48.51%,"55,395"
51,Rubick,0.16%,54.69%,"52,164"
52,Enigma,0.15%,46.03%,"19,904"
53,Dark Willow,0.09%,49.43%,"30,805"
54,Witch Doctor,0.08%,51.01%,"60,096"
55,Shadow Shaman,0.08%,48.50%,"62,837"
56,Bristleback,0.06%,48.45%,"70,586"
57,Disruptor,0.06%,50.30%,"32,159"
58,Magnus,0.02%,52.22%,"28,325"
59,Grimstroke,0.00%,50.33%,"39,706"
60,Terrorblade,-0.01%,52.39%,"21,726"
61,Brewmaster,-0.03%,49.98%,"5,800"
62,Axe,-0.07%,48.50%,"71,416"
63,Night Stalker,-0.09%,49.75%,"13,761"
64,Vengeful Spirit,-0.12%,49.93%,"22,908"
65,Nyx Assassin,-0.12%,48.05%,"26,373"
66,Tinker,-0.13%,50.34%,"29,968"
67,Broodmother,-0.15%,49.75%,"9,977"
68,Earthshaker,-0.18%,52.67%,"43,052"
69,Skywrath Mage,-0.19%,49.62%,"40,467"
70,Underlord,-0.19%,45.15%,"22,223"
71,Sand King,-0.20%,47.12%,"39,166"
72,Invoker,-0.27%,50.97%,"76,156"
73,Storm Spirit,-0.30%,53.50%,"37,318"
74,Dark Seer,-0.31%,45.17%,"14,522"
75,Jakiro,-0.35%,49.09%,"33,809"
76,Bloodseeker,-0.40%,49.08%,"26,025"
77,Keeper of the Light,-0.42%,53.28%,"17,422"
78,Drow Ranger,-0.45%,48.13%,"57,731"
79,Lich,-0.46%,51.52%,"33,186"
80,Treant Protector,-0.54%,48.32%,"28,110"
81,Earth Spirit,-0.54%,53.74%,"14,664"
82,Io,-0.56%,56.16%,"8,298"
83,Spirit Breaker,-0.58%,50.14%,"39,142"
84,Puck,-0.64%,51.80%,"38,184"
85,Outworld Destroyer,-0.67%,50.78%,"27,134"
86,Tusk,-0.68%,55.25%,"21,457"
87,Crystal Maiden,-0.72%,50.52%,"54,316"
88,Lone Druid,-0.81%,55.67%,"6,156"
89,Lion,-0.84%,51.33%,"112,572"
90,Ursa,-0.90%,50.99%,"50,123"
91,Templar Assassin,-0.98%,52.13%,"35,111"
92,Necrophos,-1.05%,48.07%,"33,564"
93,Chen,-1.08%,56.82%,"2,580"
94,Winter Wyvern,-1.11%,48.31%,"41,864"
95,Oracle,-1.17%,54.14%,"14,184"
96,Zeus,-1.18%,49.55%,"49,095"
97,Bane,-1.20%,52.94%,"9,093"
98,Razor,-1.27%,51.17%,"22,399"
99,Sven,-1.27%,54.21%,"28,761"
100,Tidehunter,-1.29%,51.62%,"31,649"
101,Clockwerk,-1.34%,52.29%,"21,015"
102,Kunkka,-1.35%,52.43%,"30,485"
103,Chaos Knight,-1.37%,48.44%,"33,601"
104,Huskar,-1.43%,49.99%,"30,723"
105,Doom,-1.53%,55.62%,"24,591"
106,Leshrac,-1.57%,54.44%,"18,527"
107,Viper,-1.59%,53.19%,"50,606"
108,Centaur Warrunner,-1.63%,50.10%,"32,532"
109,Abaddon,-1.74%,49.04%,"22,487"
110,Dragon Knight,-1.77%,50.78%,"43,198"
111,Omniknight,-1.77%,49.25%,"11,140"
112,Death Prophet,-1.77%,55.93%,"14,387"
113,Visage,-1.80%,51.29%,"4,180"
114,Tiny,-2.04%,58.16%,"26,927"
115,Mars,-2.05%,54.93%,"39,494"
116,Shadow Demon,-2.17%,54.76%,"11,478"
117,Pudge,-2.18%,51.90%,"120,941"
118,Wraith King,-3.90%,50.68%,"57,795"
119,Spectre,-5.84%,52.41%,"48,782"
