,counter_hero,disadv,certain_win,num_match
0,Brewmaster,3.97%,45.62%,"12,808"
1,Chen,3.71%,52.06%,"5,757"
2,Lycan,3.62%,51.79%,"9,199"
3,Beastmaster,3.39%,53.47%,"8,712"
4,Phantom Lancer,3.39%,45.70%,"88,895"
5,Venomancer,3.22%,46.48%,"64,256"
6,Naga Siren,3.21%,44.89%,"21,334"
7,Windranger,2.86%,46.28%,"148,299"
8,Templar Assassin,2.77%,48.31%,"83,610"
9,Troll Warlord,2.69%,49.07%,"58,741"
10,Lone Druid,2.69%,52.20%,"13,105"
11,Razor,2.69%,46.97%,"49,645"
12,Death Prophet,2.43%,51.74%,"28,915"
13,Riki,2.41%,44.37%,"73,022"
14,Batrider,2.39%,54.07%,"14,764"
15,Visage,2.20%,46.93%,"10,199"
16,Ogre Magi,2.08%,45.07%,"166,686"
17,Chaos Knight,2.03%,44.70%,"66,208"
18,Pangolier,2.03%,50.83%,"42,921"
19,Broodmother,2.03%,47.31%,"22,706"
20,Terrorblade,2.00%,50.35%,"50,144"
21,Weaver,1.84%,49.41%,"63,175"
22,Shadow Demon,1.78%,50.75%,"25,750"
23,Tinker,1.66%,48.39%,"77,097"
24,Slardar,1.37%,48.32%,"69,770"
25,Shadow Shaman,1.37%,47.00%,"127,943"
26,Drow Ranger,1.35%,46.07%,"114,592"
27,Doom,1.31%,52.90%,"55,081"
28,Nature's Prophet,1.27%,57.03%,"53,168"
29,Night Stalker,1.22%,48.23%,"30,350"
30,Wraith King,0.99%,45.64%,"133,545"
31,Alchemist,0.97%,53.20%,"37,547"
32,Queen of Pain,0.93%,52.28%,"71,575"
33,Dragon Knight,0.88%,47.97%,"95,258"
34,Dark Willow,0.88%,48.45%,"66,002"
35,Vengeful Spirit,0.86%,48.78%,"46,942"
36,Lina,0.85%,52.23%,"128,816"
37,Undying,0.83%,49.01%,"50,121"
38,Io,0.83%,54.99%,"18,669"
39,Phantom Assassin,0.82%,52.32%,"144,909"
40,Techies,0.81%,50.68%,"91,314"
41,Spectre,0.76%,45.65%,"119,004"
42,Keeper of the Light,0.72%,52.18%,"35,901"
43,Clinkz,0.55%,46.74%,"44,283"
44,Gyrocopter,0.54%,51.10%,"52,861"
45,Skywrath Mage,0.53%,48.73%,"82,790"
46,Mars,0.53%,52.48%,"100,608"
47,Pugna,0.53%,51.72%,"41,949"
48,Winter Wyvern,0.52%,46.39%,"92,628"
49,Necrophos,0.51%,46.19%,"65,582"
50,Viper,0.49%,51.14%,"103,351"
51,Bristleback,0.48%,47.79%,"161,612"
52,Lion,0.47%,50.06%,"223,977"
53,Void Spirit,0.44%,52.38%,"53,241"
54,Silencer,0.44%,46.16%,"88,846"
55,Lich,0.43%,50.57%,"71,742"
56,Elder Titan,0.40%,48.09%,"18,810"
57,Oracle,0.38%,52.67%,"34,817"
58,Omniknight,0.31%,46.84%,"22,086"
59,Slark,0.31%,49.21%,"144,786"
60,Mirana,0.29%,48.17%,"116,736"
61,Invoker,0.29%,50.37%,"179,631"
62,Arc Warden,0.25%,46.70%,"34,018"
63,Tusk,0.24%,54.59%,"54,089"
64,Meepo,0.23%,44.45%,"22,639"
65,Hoodwink,0.21%,48.68%,"105,254"
66,Grimstroke,0.19%,50.03%,"91,433"
67,Storm Spirit,0.18%,53.12%,"86,832"
68,Monkey King,0.16%,53.10%,"89,400"
69,Abaddon,0.13%,46.85%,"46,209"
70,Disruptor,0.12%,50.13%,"70,080"
71,Tiny,0.11%,56.37%,"67,593"
72,Crystal Maiden,0.00%,49.69%,"110,420"
73,Bane,-0.05%,51.77%,"19,792"
74,Spirit Breaker,-0.09%,49.49%,"84,818"
75,Enchantress,-0.13%,55.07%,"38,011"
76,Bounty Hunter,-0.13%,50.41%,"76,810"
77,Kunkka,-0.17%,51.21%,"67,119"
78,Faceless Void,-0.21%,50.99%,"134,039"
79,Earth Spirit,-0.21%,53.54%,"37,365"
80,Luna,-0.27%,47.75%,"112,855"
81,Sniper,-0.27%,50.59%,"134,671"
82,Clockwerk,-0.27%,51.17%,"49,631"
83,Earthshaker,-0.28%,52.82%,"87,633"
84,Witch Doctor,-0.31%,51.34%,"124,134"
85,Outworld Destroyer,-0.33%,50.33%,"62,021"
86,Snapfire,-0.34%,54.38%,"76,627"
87,Dazzle,-0.37%,47.10%,"87,108"
88,Huskar,-0.40%,48.75%,"66,663"
89,Enigma,-0.45%,46.25%,"44,667"
90,Puck,-0.47%,51.60%,"94,518"
91,Jakiro,-0.55%,49.08%,"72,078"
92,Magnus,-0.57%,52.86%,"68,612"
93,Bloodseeker,-0.59%,49.08%,"51,354"
94,Dawnbreaker,-0.60%,50.96%,"60,468"
95,Phoenix,-0.62%,54.45%,"52,971"
96,Nyx Assassin,-0.66%,48.32%,"61,532"
97,Rubick,-0.66%,55.72%,"121,357"
98,Zeus,-0.70%,48.88%,"96,984"
99,Leshrac,-0.73%,53.69%,"41,709"
100,Sand King,-0.75%,47.35%,"81,700"
101,Sven,-0.84%,53.87%,"58,049"
102,Ancient Apparition,-0.93%,46.37%,"119,478"
103,Ember Spirit,-1.00%,55.32%,"67,866"
104,Treant Protector,-1.06%,48.59%,"59,777"
105,Tidehunter,-1.43%,51.71%,"72,712"
106,Warlock,-1.44%,49.76%,"55,283"
107,Medusa,-1.46%,48.94%,"93,194"
108,Morphling,-1.65%,52.97%,"84,836"
109,Legion Commander,-1.68%,51.82%,"139,491"
110,Shadow Fiend,-1.75%,53.96%,"145,513"
111,Dark Seer,-1.78%,46.26%,"29,594"
112,Lifestealer,-2.02%,51.18%,"93,953"
113,Centaur Warrunner,-2.16%,50.46%,"74,823"
114,Axe,-2.46%,50.56%,"176,464"
115,Timbersaw,-2.49%,55.20%,"97,091"
116,Anti-Mage,-2.73%,53.05%,"116,924"
117,Juggernaut,-2.88%,51.87%,"211,362"
118,Pudge,-3.18%,52.74%,"268,114"
119,Underlord,-3.73%,48.33%,"49,473"
