,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,2.36%,47.18%,"40,564"
1,Terrorblade,1.95%,50.62%,"22,946"
2,Naga Siren,1.92%,46.72%,"10,869"
3,Lone Druid,1.84%,53.16%,"6,304"
4,Medusa,1.71%,46.28%,"43,217"
5,Meepo,1.70%,43.61%,"11,263"
6,Winter Wyvern,1.45%,46.00%,"43,487"
7,Chaos Knight,1.44%,45.86%,"32,273"
8,Magnus,1.25%,51.19%,"30,136"
9,Dark Willow,1.24%,48.48%,"31,375"
10,Spectre,1.18%,45.82%,"50,244"
11,Lich,1.13%,50.14%,"33,808"
12,Ember Spirit,1.12%,53.22%,"30,802"
13,Gyrocopter,1.05%,50.81%,"24,224"
14,Omniknight,1.02%,46.60%,"11,259"
15,Tidehunter,0.96%,49.58%,"31,928"
16,Luna,0.92%,47.07%,"49,212"
17,Enchantress,0.87%,54.03%,"17,195"
18,Drow Ranger,0.85%,47.07%,"53,936"
19,Leshrac,0.82%,52.24%,"19,131"
20,Treant Protector,0.80%,47.18%,"27,488"
21,Jakiro,0.77%,48.17%,"33,485"
22,Broodmother,0.75%,49.02%,"10,420"
23,Queen of Pain,0.75%,52.60%,"33,227"
24,Dawnbreaker,0.72%,49.91%,"27,444"
25,Witch Doctor,0.72%,50.59%,"61,699"
26,Warlock,0.61%,48.09%,"25,715"
27,Abaddon,0.61%,46.88%,"21,842"
28,Dragon Knight,0.60%,48.66%,"42,173"
29,Kunkka,0.59%,50.69%,"30,238"
30,Io,0.59%,55.19%,"8,858"
31,Troll Warlord,0.58%,51.45%,"23,425"
32,Sand King,0.56%,46.57%,"39,127"
33,Mars,0.55%,52.58%,"41,481"
34,Pangolier,0.54%,52.50%,"18,076"
35,Huskar,0.51%,48.26%,"29,660"
36,Disruptor,0.50%,50.06%,"32,707"
37,Underlord,0.46%,44.69%,"21,387"
38,Ogre Magi,0.46%,47.14%,"79,371"
39,Chen,0.44%,55.46%,"2,647"
40,Keeper of the Light,0.44%,52.61%,"17,394"
41,Visage,0.42%,49.20%,"4,396"
42,Clockwerk,0.42%,50.71%,"22,027"
43,Puck,0.42%,50.96%,"41,705"
44,Venomancer,0.40%,49.70%,"32,158"
45,Sniper,0.38%,50.26%,"72,583"
46,Tusk,0.34%,54.42%,"21,078"
47,Tiny,0.34%,56.00%,"28,710"
48,Spirit Breaker,0.30%,49.46%,"37,890"
49,Bloodseeker,0.30%,48.57%,"25,545"
50,Bane,0.29%,51.62%,"9,477"
51,Nature's Prophet,0.29%,57.87%,"26,792"
52,Outworld Destroyer,0.27%,50.03%,"26,005"
53,Necrophos,0.26%,46.97%,"32,194"
54,Earthshaker,0.25%,52.44%,"41,129"
55,Snapfire,0.22%,53.85%,"33,647"
56,Brewmaster,0.20%,49.94%,"5,827"
57,Bristleback,0.17%,48.53%,"66,343"
58,Viper,0.12%,51.72%,"49,754"
59,Undying,0.11%,50.08%,"22,906"
60,Templar Assassin,0.10%,51.26%,"36,775"
61,Rubick,0.10%,54.95%,"53,394"
62,Elder Titan,0.09%,48.83%,"8,847"
63,Phoenix,0.08%,53.69%,"19,369"
64,Crystal Maiden,0.05%,49.97%,"54,777"
65,Morphling,0.04%,51.48%,"37,048"
66,Dark Seer,0.04%,45.01%,"14,321"
67,Doom,0.00%,54.29%,"24,453"
68,Tinker,-0.01%,50.40%,"32,950"
69,Alchemist,-0.02%,54.21%,"15,216"
70,Beastmaster,-0.04%,56.99%,"4,357"
71,Void Spirit,-0.05%,53.00%,"22,887"
72,Arc Warden,-0.06%,47.55%,"15,463"
73,Dazzle,-0.10%,47.35%,"44,048"
74,Axe,-0.14%,48.75%,"68,286"
75,Wraith King,-0.15%,47.28%,"59,667"
76,Earth Spirit,-0.17%,53.56%,"15,830"
77,Night Stalker,-0.17%,50.03%,"13,727"
78,Silencer,-0.19%,47.31%,"43,832"
79,Monkey King,-0.20%,53.55%,"40,278"
80,Mirana,-0.21%,49.07%,"55,765"
81,Slark,-0.22%,50.07%,"56,996"
82,Sven,-0.24%,53.37%,"27,885"
83,Pugna,-0.29%,52.72%,"19,152"
84,Windranger,-0.36%,49.77%,"70,179"
85,Juggernaut,-0.39%,49.87%,"84,027"
86,Centaur Warrunner,-0.40%,49.08%,"32,193"
87,Shadow Shaman,-0.44%,49.18%,"62,760"
