,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,4.24%,45.19%,"61,611"
1,Lycan,3.21%,52.31%,"6,601"
2,Huskar,2.93%,45.70%,"42,412"
3,Arc Warden,2.85%,44.43%,"21,005"
4,Legion Commander,2.84%,47.63%,"86,660"
5,Nature's Prophet,2.72%,55.50%,"37,457"
6,Sniper,2.41%,48.25%,"104,797"
7,Juggernaut,2.28%,47.28%,"125,500"
8,Morphling,2.23%,49.23%,"51,156"
9,Broodmother,2.11%,47.52%,"14,201"
10,Io,1.94%,53.80%,"11,190"
11,Lifestealer,1.87%,47.54%,"60,536"
12,Terrorblade,1.82%,50.69%,"30,976"
13,Slark,1.55%,48.26%,"84,143"
14,Timbersaw,1.51%,51.16%,"45,499"
15,Chen,1.45%,54.44%,"3,639"
16,Viper,1.34%,50.48%,"70,599"
17,Pudge,1.33%,48.88%,"161,554"
18,Windranger,1.30%,48.09%,"102,916"
19,Enchantress,1.29%,53.61%,"24,790"
20,Clinkz,1.28%,46.32%,"32,087"
21,Dark Seer,1.24%,43.54%,"21,068"
22,Abaddon,1.21%,46.09%,"34,989"
23,Storm Spirit,1.18%,52.21%,"58,392"
24,Oracle,1.09%,52.03%,"22,025"
25,Techies,1.06%,50.61%,"61,796"
26,Chaos Knight,1.05%,46.08%,"44,633"
27,Weaver,0.96%,50.50%,"44,605"
28,Earth Spirit,0.86%,52.48%,"21,033"
29,Naga Siren,0.85%,47.67%,"14,624"
30,Tinker,0.77%,49.54%,"42,224"
31,Drow Ranger,0.68%,47.08%,"79,210"
32,Phantom Assassin,0.67%,52.58%,"93,782"
33,Warlock,0.59%,47.98%,"35,696"
34,Enigma,0.59%,45.60%,"27,629"
35,Brewmaster,0.54%,49.48%,"8,900"
36,Crystal Maiden,0.51%,49.42%,"74,027"
37,Pugna,0.46%,51.93%,"28,256"
38,Ancient Apparition,0.42%,45.46%,"73,091"
39,Shadow Demon,0.42%,52.29%,"17,530"
40,Snapfire,0.34%,53.72%,"47,185"
41,Skywrath Mage,0.33%,49.19%,"57,383"
42,Beastmaster,0.31%,56.70%,"6,041"
43,Tidehunter,0.27%,50.18%,"45,805"
44,Witch Doctor,0.24%,50.97%,"80,516"
45,Pangolier,0.22%,52.79%,"27,266"
46,Bane,0.18%,51.68%,"12,712"
47,Underlord,0.17%,44.76%,"32,348"
48,Zeus,0.16%,48.31%,"72,793"
49,Dawnbreaker,0.12%,50.42%,"37,256"
50,Phoenix,0.08%,53.68%,"27,989"
51,Lina,0.07%,53.08%,"84,750"
52,Rubick,0.04%,55.01%,"77,026"
53,Anti-Mage,0.03%,50.51%,"70,416"
54,Mirana,0.01%,48.73%,"82,936"
55,Queen of Pain,0.00%,53.32%,"50,181"
56,Ogre Magi,-0.01%,47.43%,"112,214"
57,Shadow Shaman,-0.03%,48.67%,"86,183"
58,Omniknight,-0.04%,47.51%,"16,427"
59,Invoker,-0.04%,50.88%,"109,015"
60,Disruptor,-0.06%,50.53%,"46,206"
61,Gyrocopter,-0.09%,51.89%,"34,466"
62,Hoodwink,-0.11%,49.26%,"69,628"
63,Elder Titan,-0.14%,48.94%,"12,699"
64,Silencer,-0.16%,47.12%,"64,382"
65,Lich,-0.18%,51.36%,"45,564"
66,Lone Druid,-0.18%,55.24%,"8,599"
67,Faceless Void,-0.19%,51.15%,"78,821"
68,Luna,-0.23%,48.04%,"72,495"
69,Alchemist,-0.25%,54.45%,"21,745"
70,Mars,-0.26%,53.34%,"57,773"
71,Jakiro,-0.27%,49.07%,"47,758"
72,Medusa,-0.27%,48.07%,"61,481"
73,Treant Protector,-0.31%,48.14%,"38,571"
74,Shadow Fiend,-0.38%,52.73%,"87,203"
75,Vengeful Spirit,-0.40%,50.30%,"32,158"
76,Grimstroke,-0.40%,50.83%,"56,241"
77,Batrider,-0.40%,56.92%,"9,306"
78,Death Prophet,-0.41%,54.76%,"20,207"
79,Necrophos,-0.41%,47.47%,"44,138"
80,Bloodseeker,-0.42%,49.16%,"35,326"
81,Tusk,-0.53%,55.31%,"30,382"
82,Magnus,-0.54%,52.93%,"41,449"
83,Troll Warlord,-0.61%,52.60%,"31,727"
84,Keeper of the Light,-0.72%,53.76%,"24,497"
85,Earthshaker,-0.73%,53.37%,"58,259"
86,Sand King,-0.80%,47.74%,"56,089"
87,Void Spirit,-0.82%,53.74%,"31,881"
88,Dazzle,-0.85%,47.92%,"59,129"
89,Clockwerk,-0.88%,51.95%,"31,597"
90,Lion,-0.94%,51.54%,"158,131"
