,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,4.29%,43.16%,"85,230"
1,Morphling,3.63%,45.96%,"75,871"
2,Terrorblade,3.50%,47.16%,"48,284"
3,Clinkz,3.02%,42.46%,"52,135"
4,Juggernaut,2.97%,44.69%,"183,128"
5,Chaos Knight,2.91%,42.14%,"71,495"
6,Arc Warden,2.68%,42.53%,"33,264"
7,Weaver,2.58%,47.00%,"71,397"
8,Brewmaster,2.51%,45.53%,"12,310"
9,Nature's Prophet,2.40%,54.29%,"58,417"
10,Windranger,2.05%,45.44%,"163,498"
11,Naga Siren,2.01%,44.49%,"22,651"
12,Lycan,1.95%,51.96%,"9,933"
13,Pudge,1.73%,46.63%,"238,657"
14,Legion Commander,1.58%,46.97%,"124,484"
15,Undying,1.37%,46.81%,"50,605"
16,Drow Ranger,1.31%,44.44%,"133,400"
17,Invoker,1.27%,47.79%,"171,070"
18,Death Prophet,1.23%,51.39%,"32,334"
19,Broodmother,1.21%,46.54%,"21,257"
20,Lifestealer,1.20%,46.28%,"87,174"
21,Witch Doctor,1.08%,48.33%,"123,129"
22,Shadow Demon,1.01%,49.91%,"25,071"
23,Slardar,0.92%,47.15%,"73,377"
24,Shadow Shaman,0.90%,45.83%,"132,695"
25,Enchantress,0.79%,52.47%,"39,224"
26,Magnus,0.75%,49.86%,"60,238"
27,Pangolier,0.74%,50.50%,"37,945"
28,Dark Seer,0.73%,42.00%,"29,697"
29,Beastmaster,0.70%,54.70%,"9,007"
30,Doom,0.68%,51.90%,"53,111"
31,Tusk,0.61%,52.48%,"45,607"
32,Sniper,0.61%,48.10%,"174,425"
33,Silencer,0.60%,44.34%,"99,207"
34,Skywrath Mage,0.54%,47.08%,"90,497"
35,Mars,0.49%,50.85%,"86,363"
36,Sven,0.48%,50.89%,"62,833"
37,Snapfire,0.47%,51.88%,"69,376"
38,Kunkka,0.44%,48.95%,"67,448"
39,Techies,0.41%,49.46%,"91,969"
40,Phantom Assassin,0.40%,51.10%,"152,340"
41,Mirana,0.36%,46.48%,"118,941"
42,Medusa,0.33%,45.49%,"100,614"
43,Lina,0.32%,51.12%,"136,932"
44,Bane,0.31%,49.75%,"19,361"
45,Riki,0.24%,44.93%,"76,819"
46,Bounty Hunter,0.23%,48.40%,"78,923"
47,Rubick,0.21%,53.20%,"112,609"
48,Enigma,0.21%,43.96%,"42,234"
49,Alchemist,0.18%,52.34%,"34,267"
50,Outworld Destroyer,0.18%,48.17%,"63,001"
51,Void Spirit,0.09%,51.07%,"46,385"
52,Crystal Maiden,0.06%,47.99%,"113,750"
53,Puck,0.01%,49.49%,"88,424"
54,Tinker,-0.05%,48.51%,"67,303"
55,Earth Spirit,-0.07%,51.71%,"31,736"
56,Storm Spirit,-0.07%,51.72%,"77,180"
57,Queen of Pain,-0.08%,51.69%,"76,776"
58,Hoodwink,-0.09%,47.35%,"100,653"
59,Ember Spirit,-0.10%,52.74%,"63,098"
60,Oracle,-0.12%,51.51%,"30,671"
61,Phoenix,-0.16%,52.21%,"39,709"
62,Timbersaw,-0.20%,51.13%,"79,374"
63,Ancient Apparition,-0.23%,44.07%,"108,191"
64,Nyx Assassin,-0.24%,46.27%,"59,079"
65,Vengeful Spirit,-0.24%,48.28%,"49,751"
66,Dawnbreaker,-0.26%,48.97%,"55,915"
67,Lich,-0.26%,49.64%,"69,972"
68,Keeper of the Light,-0.27%,51.59%,"38,433"
69,Visage,-0.30%,47.96%,"9,118"
70,Troll Warlord,-0.33%,50.55%,"52,734"
71,Shadow Fiend,-0.37%,50.97%,"146,234"
72,Io,-0.40%,54.62%,"17,777"
73,Dazzle,-0.41%,45.50%,"88,804"
74,Spirit Breaker,-0.42%,48.19%,"82,790"
75,Tidehunter,-0.43%,49.04%,"66,923"
76,Pugna,-0.49%,51.14%,"45,238"
77,Elder Titan,-0.49%,47.40%,"17,949"
78,Dark Willow,-0.49%,48.22%,"65,957"
79,Disruptor,-0.49%,49.12%,"67,888"
80,Ursa,-0.49%,48.86%,"103,353"
81,Lion,-0.50%,49.33%,"231,611"
82,Sand King,-0.51%,45.47%,"83,331"
83,Faceless Void,-0.54%,49.69%,"119,310"
84,Grimstroke,-0.55%,49.15%,"83,472"
85,Zeus,-0.58%,47.09%,"114,473"
86,Leshrac,-0.61%,51.93%,"41,231"
87,Wraith King,-0.62%,45.61%,"124,824"
88,Jakiro,-0.65%,47.55%,"70,590"
89,Clockwerk,-0.66%,49.93%,"45,394"
90,Chen,-0.69%,55.08%,"5,606"
91,Centaur Warrunner,-0.70%,47.34%,"68,338"
92,Anti-Mage,-0.73%,49.44%,"104,896"
93,Ogre Magi,-0.78%,46.19%,"171,696"
94,Gyrocopter,-0.82%,50.87%,"54,452"
95,Razor,-0.84%,48.98%,"52,858"
96,Abaddon,-0.86%,46.23%,"48,220"
97,Omniknight,-0.90%,46.44%,"23,886"
98,Slark,-0.94%,48.81%,"120,051"
99,Night Stalker,-1.04%,48.96%,"29,686"
100,Warlock,-1.04%,47.72%,"52,909"
101,Bloodseeker,-1.07%,47.91%,"58,900"
102,Treant Protector,-1.36%,47.27%,"57,110"
103,Venomancer,-1.36%,49.52%,"70,596"
104,Luna,-1.43%,47.28%,"112,628"
