,counter_hero,disadv,certain_win,num_match
0,Lycan,7.67%,48.03%,989
1,Naga Siren,7.05%,42.08%,"2,065"
2,Alchemist,4.64%,49.78%,"2,736"
3,Medusa,3.96%,44.58%,"7,781"
4,Bristleback,3.95%,45.40%,"11,955"
5,Clinkz,3.85%,44.46%,"4,175"
6,Terrorblade,3.57%,49.32%,"4,564"
7,Beastmaster,3.56%,53.42%,876
8,Enchantress,3.38%,51.70%,"3,441"
9,Phantom Lancer,3.29%,46.71%,"7,583"
10,Batrider,3.28%,53.25%,"1,461"
11,Winter Wyvern,3.22%,44.82%,"8,660"
12,Axe,3.06%,46.18%,"12,777"
13,Bloodseeker,2.94%,46.39%,"4,574"
14,Broodmother,2.86%,47.32%,"2,646"
15,Lone Druid,2.56%,52.61%,"1,456"
16,Keeper of the Light,2.42%,50.88%,"3,343"
17,Brewmaster,2.38%,48.11%,"1,270"
18,Underlord,2.32%,43.43%,"3,949"
19,Drow Ranger,2.30%,46.17%,"10,497"
20,Chaos Knight,2.21%,45.60%,"5,732"
21,Venomancer,2.14%,48.36%,"5,810"
22,Disruptor,2.08%,48.86%,"5,878"
23,Death Prophet,1.97%,52.53%,"2,722"
24,Undying,1.85%,48.72%,"4,181"
25,Razor,1.79%,48.68%,"3,823"
26,Sven,1.71%,51.69%,"4,835"
27,Meepo,1.66%,44.26%,"2,551"
28,Pangolier,1.57%,51.72%,"3,925"
29,Sniper,1.54%,49.51%,"12,420"
30,Jakiro,1.50%,47.87%,"6,004"
31,Sand King,1.47%,46.17%,"7,414"
32,Dazzle,1.43%,46.35%,"8,248"
33,Ember Spirit,1.42%,53.12%,"5,830"
34,Dark Seer,1.32%,44.31%,"2,880"
35,Chen,1.24%,54.78%,743
36,Weaver,1.16%,50.68%,"5,527"
37,Dark Willow,1.16%,48.95%,"6,068"
38,Warlock,1.03%,48.10%,"5,060"
39,Spirit Breaker,0.99%,49.15%,"6,793"
40,Troll Warlord,0.98%,51.33%,"4,422"
41,Earth Spirit,0.97%,52.64%,"3,566"
42,Magnus,0.92%,51.79%,"5,756"
43,Earthshaker,0.90%,52.06%,"7,140"
44,Phantom Assassin,0.88%,52.64%,"12,364"
45,Riki,0.85%,46.96%,"6,407"
46,Crystal Maiden,0.85%,49.56%,"9,679"
47,Tusk,0.80%,54.13%,"3,911"
48,Monkey King,0.73%,52.86%,"7,455"
49,Faceless Void,0.70%,50.69%,"10,365"
