,counter_hero,disadv,certain_win,num_match
0,Underlord,2.79%,39.40%,"22,019"
1,Night Stalker,2.08%,44.79%,"14,805"
2,Meepo,2.00%,40.34%,"11,147"
3,Ember Spirit,1.93%,49.48%,"36,483"
4,Necrophos,1.90%,42.39%,"31,349"
5,Alchemist,1.83%,49.39%,"14,821"
6,Sven,1.80%,48.39%,"26,061"
7,Riki,1.78%,42.62%,"34,496"
8,Techies,1.78%,47.04%,"40,073"
9,Troll Warlord,1.75%,47.33%,"21,950"
10,Huskar,1.60%,44.24%,"28,348"
11,Lone Druid,1.52%,50.52%,"5,974"
12,Leshrac,1.51%,48.60%,"21,731"
13,Oracle,1.50%,48.70%,"17,592"
14,Anti-Mage,1.46%,46.27%,"52,638"
15,Omniknight,1.43%,43.25%,"10,493"
16,Templar Assassin,1.30%,47.13%,"38,747"
17,Wraith King,1.24%,43.00%,"59,735"
18,Tiny,1.20%,52.20%,"32,081"
19,Nyx Assassin,1.18%,43.98%,"30,401"
20,Centaur Warrunner,1.16%,44.58%,"32,706"
21,Pugna,1.14%,48.34%,"19,114"
22,Monkey King,1.14%,49.30%,"41,600"
23,Doom,1.10%,50.25%,"27,864"
24,Beastmaster,1.09%,52.88%,"4,359"
25,Lycan,1.05%,51.56%,"4,457"
26,Axe,1.04%,44.69%,"70,523"
27,Silencer,1.00%,43.20%,"41,182"
28,Death Prophet,1.00%,50.36%,"13,741"
29,Dawnbreaker,0.99%,46.69%,"28,529"
30,Dragon Knight,0.97%,45.35%,"41,973"
31,Venomancer,0.90%,46.25%,"31,881"
32,Ogre Magi,0.89%,43.78%,"74,735"
33,Grimstroke,0.84%,46.75%,"43,738"
34,Bloodseeker,0.82%,45.10%,"24,607"
35,Lion,0.81%,47.11%,"111,670"
36,Visage,0.80%,45.86%,"4,651"
37,Luna,0.72%,44.31%,"53,069"
38,Legion Commander,0.68%,46.86%,"60,574"
39,Shadow Fiend,0.59%,48.90%,"65,655"
40,Dazzle,0.56%,43.75%,"40,244"
41,Disruptor,0.56%,47.05%,"34,545"
42,Earthshaker,0.55%,49.20%,"42,664"
43,Bane,0.49%,48.47%,"9,565"
44,Bristleback,0.48%,45.29%,"60,677"
45,Warlock,0.40%,45.35%,"25,303"
46,Tinker,0.37%,47.08%,"35,212"
47,Medusa,0.34%,44.67%,"39,471"
48,Gyrocopter,0.34%,48.57%,"24,951"
49,Chaos Knight,0.34%,44.01%,"30,087"
50,Io,0.32%,52.51%,"8,918"
51,Kunkka,0.27%,48.06%,"31,483"
52,Razor,0.27%,46.88%,"21,123"
53,Spirit Breaker,0.23%,46.57%,"39,258"
54,Abaddon,0.21%,44.32%,"21,928"
55,Batrider,0.16%,53.36%,"7,316"
56,Earth Spirit,0.14%,50.31%,"18,330"
57,Jakiro,0.08%,45.90%,"33,385"
58,Spectre,0.07%,43.95%,"49,378"
59,Vengeful Spirit,0.05%,47.00%,"22,887"
60,Crystal Maiden,0.02%,47.05%,"52,146"
61,Winter Wyvern,0.02%,44.44%,"45,999"
62,Slardar,0.01%,47.08%,"34,068"
63,Shadow Shaman,-0.02%,45.84%,"63,692"
64,Viper,-0.03%,48.93%,"46,387"
65,Dark Willow,-0.04%,46.80%,"32,749"
66,Lina,-0.06%,50.29%,"61,931"
67,Elder Titan,-0.22%,46.19%,"8,963"
68,Storm Spirit,-0.24%,50.67%,"43,276"
69,Bounty Hunter,-0.24%,47.85%,"35,940"
70,Ursa,-0.28%,47.63%,"53,245"
71,Nature's Prophet,-0.31%,55.51%,"25,165"
72,Magnus,-0.35%,49.83%,"34,423"
73,Enchantress,-0.36%,52.31%,"17,280"
74,Lifestealer,-0.36%,46.90%,"39,632"
75,Sand King,-0.42%,44.57%,"42,091"
76,Undying,-0.42%,47.67%,"20,847"
77,Skywrath Mage,-0.43%,47.10%,"39,861"
78,Faceless Void,-0.47%,48.54%,"59,519"
79,Zeus,-0.47%,46.11%,"46,933"
80,Puck,-0.49%,48.87%,"54,554"
81,Keeper of the Light,-0.52%,50.63%,"17,168"
82,Timbersaw,-0.53%,50.27%,"34,792"
83,Queen of Pain,-0.53%,50.92%,"34,418"
84,Rubick,-0.54%,52.60%,"57,858"
85,Slark,-0.59%,47.47%,"60,893"
86,Snapfire,-0.60%,51.71%,"36,244"
87,Weaver,-0.65%,49.22%,"28,489"
88,Sniper,-0.65%,48.29%,"66,197"
89,Pangolier,-0.66%,50.76%,"21,893"
90,Terrorblade,-0.66%,50.29%,"23,719"
91,Lich,-0.67%,48.97%,"33,581"
92,Hoodwink,-0.67%,46.97%,"53,487"
93,Tusk,-0.69%,52.52%,"25,171"
94,Mirana,-0.70%,46.60%,"57,361"
95,Treant Protector,-0.82%,45.84%,"26,333"
96,Enigma,-0.83%,44.25%,"20,388"
97,Phoenix,-0.86%,51.68%,"20,318"
98,Drow Ranger,-0.87%,45.78%,"51,884"
99,Witch Doctor,-0.90%,49.19%,"57,058"
100,Clinkz,-0.96%,45.80%,"20,403"
101,Phantom Assassin,-1.01%,51.26%,"66,262"
102,Tidehunter,-1.02%,48.59%,"32,979"
103,Pudge,-1.06%,48.17%,"114,381"
104,Windranger,-1.18%,47.59%,"75,448"
105,Shadow Demon,-1.23%,51.06%,"12,747"
106,Naga Siren,-1.31%,47.06%,"9,887"
107,Chen,-1.32%,54.32%,"2,708"
108,Outworld Destroyer,-1.40%,48.75%,"27,520"
109,Morphling,-1.45%,49.98%,"39,775"
110,Dark Seer,-1.47%,43.57%,"15,151"
111,Phantom Lancer,-1.62%,48.14%,"38,482"
112,Mars,-1.71%,51.82%,"48,835"
113,Ancient Apparition,-1.80%,44.84%,"57,457"
114,Juggernaut,-1.88%,48.30%,"87,743"
115,Clockwerk,-2.02%,50.20%,"25,566"
116,Broodmother,-2.10%,48.97%,"11,005"
117,Arc Warden,-2.19%,46.73%,"16,470"
118,Brewmaster,-2.36%,49.59%,"6,477"
119,Invoker,-2.56%,50.30%,"97,221"
