,counter_hero,disadv,certain_win,num_match
0,Broodmother,4.63%,46.38%,"12,618"
1,Lycan,3.74%,53.09%,"4,796"
2,Bristleback,3.07%,47.07%,"73,230"
3,Slark,2.38%,48.88%,"64,557"
4,Huskar,2.37%,47.71%,"31,715"
5,Bounty Hunter,1.92%,49.98%,"37,750"
6,Weaver,1.87%,50.97%,"31,220"
7,Monkey King,1.85%,52.86%,"42,522"
8,Legion Commander,1.78%,50.06%,"64,374"
9,Nature's Prophet,1.61%,57.87%,"26,318"
10,Phoenix,1.60%,53.50%,"22,734"
11,Slardar,1.50%,49.86%,"37,517"
12,Troll Warlord,1.43%,51.91%,"23,750"
13,Ursa,1.42%,50.24%,"55,284"
14,Tidehunter,1.42%,50.44%,"36,690"
15,Sven,1.33%,53.13%,"29,134"
16,Alchemist,1.26%,54.23%,"15,594"
17,Shadow Fiend,1.15%,52.63%,"71,967"
18,Morphling,1.14%,51.71%,"43,160"
19,Oracle,1.11%,53.38%,"18,862"
20,Io,1.08%,56.02%,"9,386"
21,Jakiro,1.02%,49.22%,"39,795"
22,Clinkz,1.02%,48.05%,"23,462"
23,Phantom Assassin,0.98%,53.63%,"73,665"
24,Riki,0.97%,47.66%,"37,854"
25,Faceless Void,0.97%,51.42%,"60,535"
26,Enchantress,0.93%,55.29%,"18,933"
27,Pangolier,0.92%,53.45%,"20,957"
28,Viper,0.90%,52.28%,"52,912"
29,Brewmaster,0.87%,50.55%,"6,937"
30,Batrider,0.81%,56.96%,"7,189"
31,Lina,0.80%,53.74%,"65,769"
32,Leshrac,0.79%,53.59%,"22,478"
33,Lifestealer,0.77%,50.04%,"42,196"
34,Ancient Apparition,0.74%,46.64%,"62,902"
35,Tusk,0.69%,55.39%,"22,093"
36,Omniknight,0.68%,48.24%,"12,102"
37,Sniper,0.68%,51.28%,"72,717"
38,Snapfire,0.68%,54.73%,"38,082"
39,Death Prophet,0.68%,54.97%,"14,884"
40,Abaddon,0.67%,48.10%,"25,540"
41,Templar Assassin,0.59%,52.09%,"42,804"
42,Dark Willow,0.57%,50.45%,"36,399"
43,Razor,0.51%,50.89%,"23,111"
44,Magnus,0.45%,53.31%,"35,576"
45,Beastmaster,0.37%,57.90%,"4,551"
46,Storm Spirit,0.32%,54.40%,"42,709"
47,Juggernaut,0.28%,50.55%,"92,931"
48,Medusa,0.27%,48.98%,"48,625"
49,Rubick,0.26%,56.13%,"68,058"
50,Shadow Demon,0.25%,53.82%,"13,648"
51,Lich,0.25%,52.33%,"39,363"
52,Bane,0.23%,53.00%,"10,494"
53,Ember Spirit,0.22%,55.45%,"35,563"
54,Earth Spirit,0.21%,54.51%,"17,908"
55,Dawnbreaker,0.20%,51.74%,"31,388"
56,Sand King,0.19%,48.22%,"43,861"
57,Anti-Mage,0.15%,51.78%,"55,966"
58,Nyx Assassin,0.15%,49.26%,"30,812"
59,Invoker,0.13%,52.10%,"88,286"
60,Kunkka,0.13%,52.46%,"32,801"
61,Underlord,0.12%,46.30%,"25,511"
62,Drow Ranger,0.11%,49.07%,"59,680"
63,Keeper of the Light,0.06%,54.32%,"19,067"
64,Techies,0.05%,52.98%,"45,024"
65,Earthshaker,0.03%,53.97%,"43,696"
66,Phantom Lancer,0.03%,50.77%,"44,409"
67,Dazzle,0.02%,48.51%,"50,797"
68,Windranger,-0.01%,50.75%,"77,284"
69,Doom,-0.03%,55.65%,"29,279"
70,Night Stalker,-0.03%,51.19%,"15,696"
71,Tiny,-0.07%,57.74%,"31,104"
72,Treant Protector,-0.08%,49.35%,"30,886"
73,Crystal Maiden,-0.09%,51.41%,"61,011"
74,Elder Titan,-0.11%,50.34%,"10,024"
75,Mirana,-0.13%,50.30%,"63,395"
76,Disruptor,-0.20%,52.07%,"38,351"
77,Chen,-0.21%,57.47%,"2,925"
78,Undying,-0.21%,51.71%,"25,354"
79,Lone Druid,-0.29%,56.65%,"6,501"
80,Bloodseeker,-0.32%,50.49%,"25,073"
81,Void Spirit,-0.38%,54.65%,"25,303"
82,Pugna,-0.40%,54.15%,"20,681"
83,Queen of Pain,-0.40%,55.06%,"36,481"
84,Tinker,-0.49%,52.19%,"35,646"
85,Lion,-0.51%,52.53%,"125,890"
86,Hoodwink,-0.53%,51.09%,"56,838"
87,Gyrocopter,-0.54%,53.71%,"26,543"
88,Outworld Destroyer,-0.56%,52.17%,"29,717"
89,Skywrath Mage,-0.60%,51.52%,"42,445"
90,Vengeful Spirit,-0.60%,51.91%,"25,717"
91,Venomancer,-0.62%,52.02%,"35,696"
92,Timbersaw,-0.63%,54.65%,"35,780"
93,Witch Doctor,-0.65%,53.21%,"69,676"
94,Luna,-0.66%,49.90%,"56,341"
95,Naga Siren,-0.73%,50.72%,"10,740"
96,Spirit Breaker,-0.73%,51.77%,"38,741"
97,Grimstroke,-0.74%,52.56%,"49,536"
98,Silencer,-0.82%,49.21%,"49,195"
99,Necrophos,-0.88%,49.39%,"34,586"
100,Shadow Shaman,-0.93%,50.95%,"70,159"
101,Visage,-0.93%,51.90%,"5,060"
102,Winter Wyvern,-0.93%,49.62%,"53,170"
103,Ogre Magi,-0.98%,49.77%,"87,180"
104,Puck,-1.13%,53.79%,"48,416"
105,Clockwerk,-1.19%,53.64%,"24,807"
106,Arc Warden,-1.28%,50.07%,"17,008"
107,Pudge,-1.33%,52.65%,"129,267"
108,Wraith King,-1.33%,49.70%,"64,671"
109,Chaos Knight,-1.35%,49.92%,"34,146"
110,Dragon Knight,-1.36%,51.88%,"47,682"
111,Dark Seer,-1.42%,47.75%,"16,790"
112,Terrorblade,-1.48%,55.38%,"25,404"
113,Zeus,-1.57%,51.42%,"50,941"
114,Centaur Warrunner,-1.66%,51.62%,"36,374"
115,Mars,-1.89%,56.29%,"47,679"
116,Axe,-2.08%,51.88%,"74,916"
117,Enigma,-3.07%,50.74%,"22,217"
118,Spectre,-3.28%,51.43%,"56,015"
119,Meepo,-4.59%,51.32%,"10,185"
