,counter_hero,disadv,certain_win,num_match
0,Faceless Void,4.07%,45.59%,"82,318"
1,Techies,3.90%,46.36%,"54,961"
2,Drow Ranger,2.38%,44.00%,"77,628"
3,Clinkz,2.26%,43.89%,"31,629"
4,Mars,2.23%,49.42%,"49,997"
5,Zeus,1.94%,45.14%,"67,157"
6,Axe,1.91%,45.24%,"90,844"
7,Nyx Assassin,1.76%,44.78%,"33,766"
8,Nature's Prophet,1.67%,55.09%,"36,935"
9,Silencer,1.62%,43.94%,"57,661"
10,Puck,1.58%,48.29%,"50,092"
11,Riki,1.52%,44.22%,"50,469"
12,Naga Siren,1.38%,45.68%,"14,053"
13,Shadow Shaman,1.36%,45.89%,"77,871"
14,Bounty Hunter,1.31%,47.73%,"50,695"
15,Gyrocopter,1.27%,49.07%,"31,682"
16,Ogre Magi,1.26%,44.80%,"99,804"
17,Slardar,1.15%,47.35%,"47,950"
18,Medusa,1.14%,45.24%,"59,644"
19,Morphling,1.12%,48.88%,"45,762"
20,Skywrath Mage,1.10%,46.99%,"53,200"
21,Lion,1.01%,48.34%,"134,933"
22,Legion Commander,1.00%,47.96%,"80,846"
23,Luna,0.92%,45.49%,"66,291"
24,Vengeful Spirit,0.89%,47.56%,"29,735"
25,Disruptor,0.89%,48.13%,"37,940"
26,Storm Spirit,0.88%,51.03%,"50,018"
27,Bane,0.87%,49.50%,"11,422"
28,Bloodseeker,0.87%,46.40%,"41,818"
29,Troll Warlord,0.82%,49.70%,"33,248"
30,Bristleback,0.80%,46.36%,"84,579"
31,Mirana,0.78%,46.55%,"70,824"
32,Earthshaker,0.71%,50.48%,"52,830"
33,Rubick,0.66%,52.94%,"64,854"
34,Void Spirit,0.66%,50.79%,"28,490"
35,Clockwerk,0.57%,49.03%,"26,372"
36,Alchemist,0.56%,52.16%,"21,136"
37,Underlord,0.54%,43.00%,"26,010"
38,Lone Druid,0.45%,53.12%,"8,514"
39,Crystal Maiden,0.42%,48.06%,"68,101"
40,Centaur Warrunner,0.42%,46.69%,"40,347"
41,Wraith King,0.38%,45.19%,"80,821"
42,Shadow Fiend,0.30%,50.61%,"83,228"
43,Tiny,0.28%,54.60%,"35,885"
44,Spirit Breaker,0.27%,47.94%,"50,263"
45,Dragon Knight,0.24%,47.45%,"52,858"
46,Necrophos,0.08%,45.54%,"41,911"
47,Earth Spirit,0.06%,51.82%,"17,991"
48,Anti-Mage,0.03%,49.06%,"68,529"
49,Enchantress,-0.05%,53.49%,"22,036"
50,Spectre,-0.05%,45.43%,"62,036"
51,Tusk,-0.10%,53.40%,"28,226"
52,Queen of Pain,-0.22%,52.06%,"44,290"
53,Enigma,-0.29%,45.06%,"26,650"
54,Night Stalker,-0.30%,48.61%,"17,607"
55,Dark Willow,-0.33%,48.49%,"37,875"
56,Witch Doctor,-0.36%,50.09%,"75,656"
57,Lina,-0.46%,52.13%,"76,948"
58,Meepo,-0.47%,44.17%,"14,683"
59,Tidehunter,-0.47%,49.47%,"38,322"
60,Beastmaster,-0.47%,56.01%,"5,706"
61,Phantom Assassin,-0.49%,52.20%,"96,334"
62,Io,-0.50%,54.84%,"10,993"
63,Magnus,-0.59%,51.51%,"34,865"
64,Slark,-0.62%,48.90%,"78,598"
65,Sand King,-0.66%,46.17%,"49,197"
66,Sven,-0.72%,52.36%,"38,186"
67,Hoodwink,-0.72%,48.42%,"60,284"
68,Outworld Destroyer,-0.75%,49.52%,"33,213"
69,Doom,-0.75%,53.56%,"31,152"
70,Phoenix,-0.79%,53.08%,"24,992"
71,Ember Spirit,-0.79%,53.64%,"37,054"
72,Monkey King,-0.80%,52.65%,"52,669"
73,Snapfire,-0.80%,53.38%,"40,774"
74,Terrorblade,-0.81%,51.88%,"26,132"
75,Abaddon,-0.83%,46.73%,"28,865"
76,Elder Titan,-0.84%,48.23%,"10,712"
77,Chaos Knight,-0.84%,46.53%,"42,860"
78,Huskar,-0.86%,48.04%,"43,920"
79,Keeper of the Light,-0.86%,52.43%,"22,536"
80,Leshrac,-0.90%,52.46%,"22,952"
81,Pangolier,-0.95%,52.50%,"22,189"
82,Venomancer,-0.96%,49.50%,"44,606"
83,Kunkka,-0.96%,50.71%,"40,181"
84,Grimstroke,-0.99%,49.96%,"46,863"
85,Arc Warden,-1.00%,46.92%,"18,772"
86,Pugna,-1.01%,51.94%,"25,538"
87,Invoker,-1.06%,50.38%,"100,812"
88,Phantom Lancer,-1.10%,49.03%,"50,840"
89,Lycan,-1.12%,55.32%,"6,352"
90,Tinker,-1.13%,49.98%,"39,682"
91,Oracle,-1.19%,52.86%,"17,665"
92,Visage,-1.21%,49.33%,"5,528"
93,Jakiro,-1.24%,48.60%,"41,001"
94,Templar Assassin,-1.25%,51.07%,"44,874"
