,counter_hero,disadv,certain_win,num_match
0,Mars,2.97%,51.08%,"134,946"
1,Centaur Warrunner,2.91%,46.03%,"113,589"
2,Shadow Demon,2.62%,50.93%,"38,251"
3,Axe,2.32%,46.75%,"223,143"
4,Spectre,2.30%,44.82%,"168,474"
5,Ember Spirit,2.25%,53.20%,"102,992"
6,Queen of Pain,2.16%,52.19%,"114,899"
7,Nature's Prophet,2.12%,57.67%,"83,635"
8,Oracle,1.72%,52.36%,"46,868"
9,Weaver,1.67%,50.62%,"97,895"
10,Clockwerk,1.57%,50.25%,"69,739"
11,Void Spirit,1.50%,52.41%,"75,444"
12,Bane,1.47%,51.21%,"28,160"
13,Puck,1.42%,50.72%,"137,837"
14,Bristleback,1.31%,47.83%,"205,190"
15,Arc Warden,1.27%,46.42%,"48,053"
16,Storm Spirit,1.25%,53.21%,"126,349"
17,Tusk,1.24%,54.75%,"70,130"
18,Wraith King,1.21%,46.18%,"189,775"
19,Morphling,1.20%,51.11%,"121,677"
20,Beastmaster,1.20%,57.20%,"12,987"
21,Tinker,1.16%,49.87%,"107,784"
22,Faceless Void,1.15%,50.65%,"187,763"
23,Tiny,1.06%,56.73%,"93,516"
24,Pugna,0.97%,52.38%,"63,872"
25,Broodmother,0.93%,49.40%,"31,786"
26,Ogre Magi,0.88%,47.02%,"248,593"
27,Bloodseeker,0.87%,48.40%,"89,862"
28,Io,0.82%,56.29%,"25,952"
29,Earth Spirit,0.77%,53.67%,"49,908"
30,Phoenix,0.76%,54.09%,"60,189"
31,Shadow Shaman,0.75%,48.48%,"194,120"
32,Clinkz,0.70%,47.33%,"72,478"
33,Chen,0.67%,56.59%,"7,969"
34,Pudge,0.65%,50.21%,"357,091"
35,Spirit Breaker,0.64%,49.69%,"122,196"
36,Lion,0.62%,50.92%,"345,299"
37,Techies,0.60%,51.96%,"135,798"
38,Lycan,0.57%,56.35%,"13,626"
39,Legion Commander,0.57%,50.58%,"193,466"
40,Naga Siren,0.52%,48.57%,"31,982"
41,Terrorblade,0.48%,53.02%,"66,468"
42,Mirana,0.45%,48.90%,"177,983"
43,Enchantress,0.40%,55.78%,"53,575"
44,Doom,0.40%,55.10%,"82,904"
45,Vengeful Spirit,0.39%,50.23%,"70,179"
46,Tidehunter,0.39%,50.84%,"96,598"
47,Zeus,0.32%,48.71%,"161,982"
