,counter_hero,disadv,certain_win,num_match
0,Timbersaw,3.80%,51.74%,"68,204"
1,Pugna,3.39%,51.80%,"38,817"
2,Anti-Mage,3.34%,50.08%,"103,623"
3,Tinker,3.26%,49.84%,"67,410"
4,Huskar,2.39%,48.99%,"53,176"
5,Chen,2.11%,56.72%,"4,896"
6,Ancient Apparition,1.89%,46.71%,"112,485"
7,Necrophos,1.85%,47.91%,"61,301"
8,Batrider,1.84%,57.63%,"13,308"
9,Sand King,1.72%,47.94%,"79,132"
10,Outworld Destroyer,1.71%,51.30%,"54,292"
11,Slark,1.52%,51.07%,"114,587"
12,Weaver,1.51%,52.76%,"51,526"
13,Sniper,1.48%,51.91%,"122,139"
14,Morphling,1.40%,52.92%,"76,618"
15,Viper,1.39%,53.26%,"89,065"
16,Death Prophet,1.32%,55.88%,"24,718"
17,Zeus,1.31%,49.93%,"89,842"
18,Phantom Assassin,1.22%,54.92%,"120,582"
19,Undying,1.19%,51.69%,"41,865"
20,Phantom Lancer,1.18%,51.00%,"74,817"
21,Venomancer,1.14%,51.66%,"59,889"
22,Ember Spirit,1.13%,56.14%,"61,431"
23,Gyrocopter,1.11%,53.55%,"47,670"
24,Phoenix,1.01%,55.69%,"41,381"
25,Alchemist,1.01%,56.04%,"26,262"
26,Keeper of the Light,0.99%,54.91%,"32,242"
27,Lich,0.98%,53.05%,"63,497"
28,Warlock,0.95%,50.38%,"53,172"
29,Oracle,0.90%,55.19%,"34,637"
30,Enchantress,0.83%,57.02%,"32,345"
31,Bristleback,0.83%,50.53%,"120,178"
32,Axe,0.80%,50.49%,"132,491"
33,Grimstroke,0.77%,52.52%,"87,731"
34,Io,0.73%,58.09%,"17,102"
35,Monkey King,0.73%,55.50%,"71,927"
36,Bounty Hunter,0.72%,52.58%,"62,595"
37,Leshrac,0.69%,55.28%,"42,090"
38,Ogre Magi,0.66%,49.53%,"149,820"
39,Centaur Warrunner,0.64%,50.68%,"61,482"
40,Tidehunter,0.64%,52.63%,"60,115"
41,Skywrath Mage,0.62%,51.71%,"74,304"
42,Arc Warden,0.62%,49.43%,"31,577"
43,Queen of Pain,0.59%,55.63%,"63,163"
44,Earth Spirit,0.56%,55.75%,"33,055"
45,Windranger,0.53%,51.60%,"132,591"
46,Snapfire,0.52%,56.48%,"66,192"
47,Tiny,0.50%,58.88%,"56,213"
48,Spectre,0.48%,49.05%,"104,883"
49,Underlord,0.45%,47.14%,"43,205"
50,Puck,0.44%,53.73%,"87,475"
51,Omniknight,0.44%,49.78%,"20,643"
52,Treant Protector,0.43%,50.15%,"53,168"
53,Doom,0.42%,56.84%,"52,805"
54,Abaddon,0.36%,49.70%,"41,832"
55,Rubick,0.36%,57.69%,"114,496"
56,Shadow Demon,0.33%,55.36%,"27,178"
57,Razor,0.33%,52.48%,"38,462"
58,Void Spirit,0.28%,55.56%,"45,999"
59,Storm Spirit,0.27%,56.02%,"74,789"
60,Pangolier,0.24%,55.69%,"36,942"
61,Luna,0.21%,50.36%,"103,578"
62,Dark Seer,0.19%,47.28%,"29,116"
63,Brewmaster,0.14%,52.73%,"11,578"
64,Bane,0.13%,54.62%,"18,186"
65,Techies,0.12%,54.39%,"78,779"
66,Hoodwink,0.11%,51.85%,"102,270"
67,Spirit Breaker,0.04%,52.41%,"65,986"
68,Nature's Prophet,0.03%,61.20%,"45,794"
69,Clinkz,0.02%,50.36%,"38,446"
70,Dark Willow,0.00%,52.42%,"63,179"
71,Pudge,0.00%,52.89%,"222,388"
72,Silencer,-0.03%,49.72%,"83,499"
73,Faceless Void,-0.06%,53.86%,"103,181"
74,Dazzle,-0.18%,49.99%,"86,620"
75,Clockwerk,-0.22%,54.13%,"42,243"
76,Mirana,-0.23%,51.75%,"111,676"
77,Earthshaker,-0.23%,55.75%,"75,540"
78,Crystal Maiden,-0.26%,52.98%,"100,534"
79,Nyx Assassin,-0.27%,51.01%,"55,163"
80,Lycan,-0.27%,58.84%,"7,831"
81,Jakiro,-0.33%,51.93%,"64,858"
82,Witch Doctor,-0.36%,54.42%,"116,551"
83,Dragon Knight,-0.36%,52.29%,"82,487"
84,Shadow Shaman,-0.38%,51.79%,"118,730"
85,Slardar,-0.42%,53.18%,"59,737"
86,Bloodseeker,-0.45%,51.98%,"42,176"
87,Shadow Fiend,-0.47%,55.71%,"125,276"
88,Night Stalker,-0.50%,53.09%,"28,356"
89,Disruptor,-0.51%,53.83%,"65,709"
90,Riki,-0.53%,50.44%,"63,990"
91,Beastmaster,-0.54%,60.56%,"7,693"
92,Lina,-0.54%,56.59%,"115,202"
93,Broodmother,-0.56%,53.09%,"21,402"
94,Ursa,-0.58%,53.61%,"92,628"
95,Templar Assassin,-0.59%,54.74%,"70,997"
96,Juggernaut,-0.60%,52.76%,"152,225"
97,Invoker,-0.62%,54.26%,"159,802"
98,Naga Siren,-0.75%,52.11%,"17,692"
99,Lion,-0.91%,54.35%,"219,095"
100,Drow Ranger,-0.92%,51.40%,"100,098"
101,Elder Titan,-1.16%,52.81%,"16,905"
102,Medusa,-1.18%,51.73%,"81,825"
103,Tusk,-1.18%,58.92%,"39,564"
104,Vengeful Spirit,-1.24%,53.99%,"43,484"
105,Troll Warlord,-1.27%,56.11%,"37,609"
106,Lifestealer,-1.38%,53.56%,"68,409"
107,Wraith King,-1.38%,51.05%,"112,667"
108,Kunkka,-1.39%,55.46%,"55,613"
109,Dawnbreaker,-1.39%,54.80%,"52,976"
110,Sven,-1.40%,57.40%,"46,477"
111,Terrorblade,-1.41%,56.88%,"42,384"
112,Chaos Knight,-1.47%,51.36%,"55,009"
113,Magnus,-1.56%,56.89%,"62,037"
114,Mars,-1.78%,57.79%,"84,734"
115,Enigma,-1.89%,50.85%,"38,814"
116,Visage,-2.70%,55.19%,"8,661"
117,Legion Commander,-3.15%,56.26%,"102,515"
118,Lone Druid,-3.25%,61.35%,"10,496"
119,Meepo,-9.73%,57.95%,"15,173"
