,counter_hero,disadv,certain_win,num_match
0,Nature's Prophet,1.56%,55.57%,"68,751"
1,Morphling,1.54%,48.49%,"94,818"
2,Faceless Void,1.36%,49.16%,"132,943"
3,Puck,1.18%,50.14%,"83,602"
4,Bristleback,1.10%,47.14%,"158,355"
5,Mars,0.98%,50.92%,"93,273"
6,Riki,0.94%,45.33%,"95,711"
7,Chen,0.86%,50.39%,"8,563"
8,Brewmaster,0.83%,47.42%,"19,989"
9,Broodmother,0.82%,48.72%,"24,375"
10,Techies,0.81%,49.59%,"119,852"
11,Dark Willow,0.76%,48.06%,"90,002"
12,Phoenix,0.75%,51.50%,"40,316"
13,Drow Ranger,0.73%,47.49%,"145,406"
14,Snapfire,0.70%,52.41%,"60,291"
15,Ember Spirit,0.65%,52.74%,"70,338"
16,Hoodwink,0.63%,47.88%,"136,517"
17,Bounty Hunter,0.61%,49.20%,"101,634"
18,Winter Wyvern,0.56%,45.74%,"115,419"
19,Elder Titan,0.56%,47.84%,"18,539"
20,Pangolier,0.53%,50.82%,"58,255"
21,Rubick,0.47%,53.76%,"144,727"
22,Timbersaw,0.47%,51.98%,"69,099"
23,Mirana,0.44%,46.77%,"158,023"
24,Tusk,0.44%,53.34%,"52,948"
25,Slark,0.42%,46.33%,"178,924"
26,Clinkz,0.42%,45.81%,"78,792"
27,Windranger,0.42%,48.30%,"185,556"
28,Sniper,0.41%,48.02%,"203,037"
29,Phantom Lancer,0.41%,47.62%,"98,169"
30,Shadow Fiend,0.40%,50.63%,"173,463"
31,Zeus,0.37%,46.88%,"128,968"
32,Void Spirit,0.37%,49.39%,"66,584"
33,Warlock,0.37%,47.52%,"54,193"
34,Undying,0.35%,49.51%,"76,854"
35,Weaver,0.34%,49.76%,"80,015"
36,Phantom Assassin,0.32%,51.84%,"179,515"
37,Tiny,0.28%,54.68%,"62,964"
38,Tinker,0.27%,50.58%,"107,305"
39,Ancient Apparition,0.25%,45.09%,"134,352"
40,Invoker,0.22%,50.08%,"223,458"
41,Nyx Assassin,0.20%,46.75%,"65,649"
42,Ursa,0.15%,48.87%,"98,443"
43,Keeper of the Light,0.12%,51.17%,"79,593"
44,Night Stalker,0.11%,46.88%,"45,659"
45,Lina,0.11%,52.05%,"175,687"
46,Medusa,0.08%,46.27%,"117,095"
47,Gyrocopter,0.08%,51.11%,"87,636"
48,Oracle,0.07%,51.72%,"38,480"
49,Juggernaut,0.06%,48.18%,"201,366"
50,Anti-Mage,0.04%,48.62%,"141,233"
51,Clockwerk,0.02%,49.83%,"49,279"
52,Death Prophet,0.01%,53.79%,"27,052"
53,Shadow Demon,0.01%,50.91%,"30,855"
54,Lifestealer,0.00%,49.02%,"89,156"
55,Monkey King,-0.05%,50.26%,"125,184"
56,Terrorblade,-0.05%,52.89%,"43,938"
57,Lion,-0.08%,50.27%,"283,552"
58,Jakiro,-0.11%,47.04%,"97,421"
59,Troll Warlord,-0.12%,50.48%,"50,353"
60,Slardar,-0.16%,48.98%,"84,318"
61,Abaddon,-0.17%,46.19%,"63,768"
62,Wraith King,-0.17%,46.58%,"127,408"
63,Skywrath Mage,-0.18%,47.47%,"109,652"
64,Magnus,-0.18%,50.98%,"78,995"
65,Sand King,-0.19%,46.16%,"110,779"
66,Doom,-0.20%,54.13%,"50,098"
67,Leshrac,-0.20%,52.02%,"39,013"
68,Silencer,-0.24%,45.03%,"143,549"
69,Venomancer,-0.29%,47.80%,"84,488"
70,Lich,-0.30%,49.87%,"96,202"
71,Kunkka,-0.33%,49.82%,"88,538"
72,Disruptor,-0.33%,48.47%,"91,823"
73,Templar Assassin,-0.40%,50.51%,"95,153"
74,Earthshaker,-0.40%,50.94%,"112,322"
75,Bane,-0.41%,48.99%,"30,751"
76,Grimstroke,-0.41%,49.83%,"110,852"
77,Alchemist,-0.41%,53.50%,"36,827"
78,Visage,-0.41%,49.09%,"11,232"
79,Enchantress,-0.43%,54.62%,"32,786"
80,Storm Spirit,-0.47%,51.68%,"96,688"
81,Arc Warden,-0.48%,46.97%,"40,325"
82,Pugna,-0.53%,52.95%,"48,440"
83,Dawnbreaker,-0.54%,49.55%,"72,987"
84,Outworld Destroyer,-0.56%,49.95%,"65,193"
85,Queen of Pain,-0.56%,51.77%,"92,210"
86,Omniknight,-0.59%,45.62%,"34,240"
87,Enigma,-0.60%,45.76%,"65,215"
88,Batrider,-0.61%,54.31%,"18,861"
89,Shadow Shaman,-0.62%,48.25%,"176,748"
90,Sven,-0.64%,49.01%,"92,926"
91,Treant Protector,-0.65%,47.18%,"69,701"
92,Bloodseeker,-0.67%,47.55%,"65,157"
93,Earth Spirit,-0.68%,52.24%,"38,805"
94,Ogre Magi,-0.68%,46.53%,"227,449"
95,Spirit Breaker,-0.69%,49.41%,"111,563"
96,Dragon Knight,-0.70%,49.97%,"97,227"
97,Luna,-0.70%,46.72%,"167,942"
98,Razor,-0.74%,50.43%,"45,612"
99,Legion Commander,-0.84%,48.91%,"159,784"
100,Pudge,-0.86%,49.17%,"324,519"
101,Necrophos,-0.86%,46.58%,"83,369"
102,Dazzle,-0.87%,46.67%,"125,245"
103,Lone Druid,-0.89%,53.06%,"14,964"
104,Beastmaster,-0.91%,50.72%,"17,961"
105,Dark Seer,-0.92%,45.65%,"38,158"
106,Underlord,-0.97%,45.59%,"50,508"
107,Crystal Maiden,-0.97%,49.89%,"145,709"
108,Io,-1.01%,53.39%,"22,742"
109,Tidehunter,-1.02%,50.11%,"92,363"
110,Spectre,-1.03%,47.55%,"126,475"
111,Vengeful Spirit,-1.08%,47.82%,"85,382"
112,Naga Siren,-1.16%,48.43%,"23,672"
113,Viper,-1.17%,52.27%,"117,602"
114,Huskar,-1.56%,48.65%,"76,562"
115,Axe,-1.60%,48.89%,"165,754"
116,Chaos Knight,-1.83%,49.30%,"79,414"
117,Lycan,-1.88%,49.55%,"29,729"
118,Centaur Warrunner,-2.40%,49.68%,"64,586"
119,Meepo,-3.17%,48.85%,"25,053"
