,counter_hero,disadv,certain_win,num_match
0,Phantom Lancer,4.14%,48.35%,"126,928"
1,Bristleback,3.87%,47.86%,"173,168"
2,Underlord,3.84%,43.78%,"56,443"
3,Undying,3.84%,49.33%,"57,795"
4,Alchemist,3.62%,53.94%,"41,411"
5,Timbersaw,3.44%,52.55%,"89,259"
6,Naga Siren,3.35%,48.09%,"29,797"
7,Dark Seer,2.72%,44.81%,"37,554"
8,Tidehunter,2.71%,50.92%,"82,229"
9,Chen,2.55%,56.88%,"6,619"
10,Monkey King,2.52%,54.27%,"109,225"
11,Anti-Mage,2.51%,51.33%,"159,727"
12,Io,2.41%,56.90%,"21,436"
13,Venomancer,2.24%,50.92%,"79,211"
14,Terrorblade,2.19%,53.68%,"58,448"
15,Broodmother,2.13%,50.65%,"27,604"
16,Ember Spirit,2.08%,55.72%,"79,864"
17,Leshrac,2.05%,54.33%,"49,568"
18,Jakiro,2.05%,49.85%,"83,723"
19,Treant Protector,2.03%,48.81%,"69,306"
20,Keeper of the Light,1.95%,54.42%,"42,295"
21,Meepo,1.92%,45.96%,"28,364"
22,Enchantress,1.85%,56.53%,"41,387"
23,Batrider,1.78%,58.31%,"16,691"
24,Lone Druid,1.72%,56.86%,"16,118"
25,Dawnbreaker,1.66%,52.10%,"72,206"
26,Bounty Hunter,1.59%,52.13%,"95,449"
27,Phoenix,1.59%,55.57%,"47,041"
28,Dazzle,1.56%,48.52%,"108,287"
29,Sniper,1.47%,52.36%,"185,897"
30,Slark,1.42%,51.57%,"165,302"
31,Oracle,1.37%,55.15%,"39,420"
32,Crystal Maiden,1.36%,51.77%,"134,977"
33,Warlock,1.36%,50.30%,"64,671"
34,Winter Wyvern,1.33%,48.95%,"112,668"
35,Lifestealer,1.32%,51.24%,"111,359"
36,Brewmaster,1.29%,51.92%,"15,276"
37,Pangolier,1.27%,55.14%,"48,081"
38,Omniknight,1.15%,49.34%,"27,759"
39,Tusk,1.12%,57.21%,"57,126"
40,Invoker,1.11%,53.05%,"213,754"
41,Shadow Demon,1.10%,54.98%,"29,962"
42,Abaddon,0.98%,49.35%,"59,071"
43,Chaos Knight,0.97%,49.15%,"86,997"
44,Rubick,0.95%,57.70%,"140,968"
45,Queen of Pain,0.92%,55.85%,"87,558"
46,Beastmaster,0.90%,59.81%,"10,927"
47,Nature's Prophet,0.90%,61.17%,"68,801"
48,Grimstroke,0.85%,52.84%,"107,803"
49,Kunkka,0.79%,53.74%,"82,821"
50,Pugna,0.77%,54.99%,"49,231"
51,Huskar,0.77%,50.99%,"82,215"
52,Death Prophet,0.76%,57.10%,"35,968"
53,Gyrocopter,0.76%,54.40%,"63,455"
54,Viper,0.75%,54.39%,"124,823"
55,Snapfire,0.74%,56.84%,"87,171"
56,Dragon Knight,0.67%,51.63%,"111,427"
57,Lycan,0.58%,58.68%,"11,637"
58,Slardar,0.52%,52.66%,"91,987"
59,Earth Spirit,0.48%,56.39%,"42,207"
60,Vengeful Spirit,0.41%,52.72%,"59,667"
61,Sand King,0.39%,49.57%,"105,807"
62,Necrophos,0.38%,49.69%,"86,671"
63,Visage,0.35%,52.38%,"11,684"
64,Morphling,0.33%,54.47%,"96,626"
65,Templar Assassin,0.31%,54.32%,"99,568"
66,Medusa,0.28%,50.60%,"116,842"
67,Lina,0.27%,56.37%,"156,740"
68,Lich,0.26%,54.25%,"85,213"
69,Witch Doctor,0.22%,54.31%,"152,141"
70,Luna,0.21%,50.69%,"138,730"
71,Tiny,0.20%,59.93%,"78,361"
72,Disruptor,0.11%,53.64%,"86,115"
