,counter_hero,disadv,certain_win,num_match
0,Anti-Mage,5.68%,46.52%,"120,867"
1,Chen,4.13%,53.43%,"5,482"
2,Lone Druid,3.91%,52.77%,"13,605"
3,Storm Spirit,3.47%,51.63%,"89,366"
4,Broodmother,3.40%,47.72%,"20,322"
5,Io,3.08%,54.40%,"17,130"
6,Lycan,2.69%,54.66%,"10,040"
7,Visage,2.56%,48.42%,"8,751"
8,Templar Assassin,2.50%,50.41%,"79,619"
9,Ember Spirit,2.48%,53.60%,"69,961"
10,Oracle,2.36%,52.37%,"28,826"
11,Enchantress,2.30%,54.37%,"38,724"
12,Spectre,2.29%,45.97%,"118,036"
13,Lifestealer,2.11%,48.82%,"84,228"
14,Meepo,2.05%,44.38%,"22,564"
15,Juggernaut,1.83%,49.23%,"182,845"
16,Huskar,1.76%,48.37%,"66,818"
17,Centaur Warrunner,1.69%,48.37%,"68,081"
18,Wraith King,1.65%,46.82%,"130,377"
19,Phantom Assassin,1.65%,53.37%,"158,142"
20,Warlock,1.49%,48.58%,"50,939"
21,Bristleback,1.48%,48.65%,"140,963"
22,Tusk,1.40%,55.08%,"41,181"
23,Alchemist,1.39%,54.52%,"32,126"
24,Dazzle,1.37%,47.17%,"88,160"
25,Pudge,1.37%,50.40%,"230,545"
26,Mars,1.35%,53.44%,"84,465"
27,Abaddon,1.23%,47.55%,"47,437"
28,Undying,1.21%,50.45%,"49,095"
29,Brewmaster,1.20%,50.38%,"12,274"
30,Nature's Prophet,1.18%,59.07%,"60,643"
31,Phoenix,1.15%,54.28%,"37,507"
32,Beastmaster,1.12%,57.77%,"9,367"
33,Keeper of the Light,1.03%,53.69%,"36,437"
34,Batrider,0.98%,57.33%,"13,528"
35,Tidehunter,0.92%,51.13%,"67,965"
36,Troll Warlord,0.89%,52.77%,"51,663"
37,Clockwerk,0.77%,51.91%,"46,214"
38,Void Spirit,0.72%,53.89%,"46,931"
39,Ursa,0.70%,51.12%,"96,983"
40,Earth Spirit,0.69%,54.36%,"30,252"
41,Slardar,0.62%,50.92%,"76,899"
42,Vengeful Spirit,0.59%,50.89%,"49,705"
43,Chaos Knight,0.58%,48.00%,"71,817"
44,Sven,0.58%,54.27%,"63,047"
45,Bane,0.58%,52.94%,"19,480"
46,Skywrath Mage,0.58%,50.52%,"91,941"
47,Viper,0.58%,52.91%,"114,475"
48,Morphling,0.55%,52.55%,"75,615"
49,Faceless Void,0.55%,52.06%,"122,623"
50,Bounty Hunter,0.53%,51.59%,"93,426"
51,Doom,0.47%,55.61%,"56,447"
52,Magnus,0.45%,53.62%,"61,846"
53,Snapfire,0.42%,55.39%,"68,382"
54,Dragon Knight,0.42%,50.28%,"91,616"
55,Tiny,0.39%,57.85%,"61,283"
56,Lion,0.37%,51.98%,"237,937"
57,Death Prophet,0.33%,55.80%,"30,889"
58,Night Stalker,0.31%,51.02%,"31,126"
59,Crystal Maiden,0.29%,51.23%,"113,390"
60,Timbersaw,0.25%,54.10%,"65,147"
61,Omniknight,0.24%,48.72%,"23,792"
62,Legion Commander,0.22%,51.77%,"127,012"
63,Ogre Magi,0.20%,48.71%,"170,912"
64,Dawnbreaker,0.16%,52.00%,"56,901"
65,Arc Warden,0.16%,48.65%,"31,800"
66,Techies,0.11%,53.31%,"131,289"
67,Queen of Pain,0.01%,55.08%,"77,431"
68,Shadow Shaman,-0.05%,50.23%,"131,938"
69,Venomancer,-0.08%,51.69%,"72,790"
70,Shadow Demon,-0.09%,54.54%,"26,031"
71,Treant Protector,-0.09%,49.43%,"59,727"
72,Kunkka,-0.11%,52.99%,"67,641"
73,Underlord,-0.15%,46.48%,"46,252"
74,Pugna,-0.18%,54.34%,"48,400"
75,Grimstroke,-0.19%,52.24%,"82,151"
76,Razor,-0.29%,51.91%,"50,050"
77,Pangolier,-0.30%,55.04%,"37,100"
78,Invoker,-0.32%,52.78%,"171,811"
79,Jakiro,-0.40%,50.76%,"68,910"
80,Windranger,-0.41%,51.29%,"161,979"
81,Witch Doctor,-0.41%,53.26%,"124,500"
82,Medusa,-0.41%,49.72%,"96,879"
83,Lich,-0.46%,53.30%,"66,815"
84,Clinkz,-0.47%,49.60%,"51,698"
